DEFICIENT,SATISFIED,BLOATED,COMMUNITY,SALARY,TIMES_TRADED,INTROVERSION
4,5,1,7,27.332,7998,1
4,5,1,2,52.7963,13682,1
2,7,1,4,32.3771,13978,1
0,9,1,1,39.0224,9537,1
4,5,1,8,44.0521,5865,1
3,6,1,1,54.8477,13255,1
1,8,1,0,32.0687,9742,1
2,7,1,7,34.0245,7749,1
2,7,1,6,57.4944,10367,1
10,0,0,7,10.9275,5785,1
3,6,1,0,42.1582,9166,1
1,8,1,5,38.1496,12219,1
2,7,1,5,33.215,5034,1
4,5,1,2,32.6296,6690,1
2,7,1,4,52.5303,9516,1
5,4,1,6,17.8636,11041,1
10,0,0,0,0.118497,8045,1
3,6,1,4,27.8463,6897,1
4,5,1,5,23.4595,8421,1
3,6,1,4,44.9275,7902,1
1,8,1,1,50.492,10701,1
6,3,1,1,17.0499,7803,1
5,4,1,6,41.7724,5809,1
3,6,1,8,49.1161,12697,1
3,6,1,1,23.5342,10960,1
4,5,1,8,55.157,4607,1
1,8,1,6,33.5221,13405,1
2,7,1,5,59.5602,13552,1
3,6,1,3,31.9636,10914,1
4,5,1,0,31.7659,12394,1
1,8,1,8,56.407,13390,1
1,8,1,3,50.3165,5550,1
4,5,1,3,44.7355,7828,1
3,6,1,4,41.5373,7983,1
7,2,1,0,40.8269,5535,1
2,7,1,8,27.2196,12566,1
4,5,1,4,35.545,5934,1
2,7,1,6,30.9587,5389,1
5,4,1,5,37.0143,10090,1
4,5,1,5,56.0989,9758,1
5,4,1,5,41.3091,5645,1
5,4,1,0,40.706,7653,1
0,9,1,4,37.6026,12293,1
5,4,1,4,50.415,7473,1
1,8,1,7,34.854,12836,1
3,6,1,9,38.8241,7030,1
2,7,1,5,21.3407,12823,1
1,8,1,8,28.7644,8680,1
3,6,1,4,16.3513,11576,1
1,8,1,2,32.9933,8236,1
3,6,1,2,43.2957,9280,1
4,5,1,3,59.6694,9030,1
5,4,1,5,44.7818,7172,1
8,2,0,6,16.0581,13374,1
3,6,1,1,18.5907,5441,1
4,5,1,3,40.2876,9102,1
2,7,1,3,36.1259,9966,1
3,6,1,8,61.1725,4853,1
4,5,1,8,52.5445,10601,1
7,2,1,6,17.5169,4962,1
3,6,1,3,31.6769,6398,1
6,3,1,2,23.1998,6694,1
3,6,1,5,42.7668,5036,1
2,7,1,1,28.2023,14241,1
4,5,1,4,26.6816,6505,1
7,2,1,8,34.7399,6810,1
3,6,1,6,70.2226,13176,1
3,6,1,2,49.3274,12987,1
7,2,1,7,37.6376,4672,1
3,6,1,4,31.5905,5954,1
3,6,1,3,30.7117,7006,1
9,1,0,7,7.89192,4678,1
3,6,1,1,47.2191,9283,1
1,8,1,5,51.2756,14261,1
3,6,1,7,58.4169,8884,1
4,5,1,1,28.9999,7160,1
5,5,0,8,20.5868,6114,1
3,7,0,4,21.7266,9816,1
2,7,1,1,45.6296,11530,1
0,9,1,8,61.3272,14476,1
6,4,0,0,15.288,8848,1
0,9,1,9,48.5884,10707,1
3,6,1,4,19.1491,10547,1
5,4,1,9,35.0848,10820,1
6,3,1,0,53.0782,13548,1
5,4,1,1,27.813,9855,1
1,8,1,5,43.5733,9968,1
5,4,1,5,10.9935,6792,1
0,9,1,8,52.0414,11067,1
