amtProduced_need, avg_price, sd, char
0.884269, 3.270911, 0.366212, A
0.866223, 3.813342, 0.403201, A
0.841419, 4.397317, 0.531745, A
0.807620, 5.029231, 0.655146, A
0.924392, 6.585624, 1.335188, A
0.916922, 8.569697, 1.964289, A
0.914462, 10.901831, 3.384194, A
0.989299, 14.471624, 4.031194, A
0.958831, 17.264122, 4.713939, A
0.928553, 19.624714, 5.564689, A
0.901661, 22.879899, 6.570853, A
0.883598, 27.876579, 8.780342, A
0.862011, 34.165734, 12.185750, A
0.836137, 42.377509, 17.314730, A
0.810528, 54.223617, 26.052894, A
0.845102, 66.400429, 34.228604, A
0.845102, 82.096131, 46.803529, A
0.845102, 99.258601, 63.720800, A
0.809686, 115.964328, 91.484898, A
0.792507, 138.525655, 124.137394, A
