amtProduced_need, avg_price, sd, char
1.027285, 3.285549, 0.429754, B
1.007744, 3.614841, 0.195386, B
0.978496, 3.948270, 0.204376, B
0.948465, 4.496413, 0.451579, B
0.908946, 5.026602, 0.811105, B
0.904512, 5.916723, 0.776951, B
0.858449, 6.764308, 1.306269, B
0.831502, 7.815835, 1.516742, B
0.795815, 9.240224, 2.139322, B
0.770998, 10.563720, 2.553028, B
0.753760, 12.387527, 3.315359, B
0.741700, 14.899329, 4.457875, B
0.721498, 17.798320, 6.650467, B
0.705038, 22.042162, 9.309683, B
0.686759, 26.752425, 13.664662, B
0.677971, 35.688896, 19.146882, B
0.677971, 49.559078, 28.998285, B
0.677971, 72.092624, 44.975251, B
0.642721, 92.274553, 67.272498, B
0.689896, 145.484060, 104.331124, B
