amtProduced_need, avg_price, sd, char
0.765650, 3.613148, 0.502877, C
0.748823, 4.112234, 0.577708, C
0.726857, 4.545912, 0.637773, C
0.780790, 5.127874, 0.781210, C
0.750096, 5.904077, 0.998295, C
0.742796, 7.119777, 1.178732, C
0.709974, 8.830696, 2.195764, C
0.693839, 10.808375, 2.736928, C
0.665118, 13.147885, 4.026289, C
0.641363, 16.107152, 5.211414, C
0.625592, 19.347638, 6.653883, C
0.610578, 24.295951, 9.290193, C
0.592794, 30.563256, 13.659262, C
0.573851, 36.198069, 18.350260, C
0.553060, 43.150230, 25.694526, C
0.546134, 50.416932, 32.010172, C
0.546134, 59.899142, 44.209642, C
0.546134, 81.014865, 66.000459, C
0.517439, 104.144452, 99.875675, C
0.534028, 164.572480, 172.212986, C
