amtProduced_need, avg_price, sd, char
1.249901, 3.120284, 0.405811, D
1.223587, 3.270327, 0.570289, D
1.192213, 3.387091, 0.212126, D
1.153754, 3.495783, 0.403053, D
1.104425, 3.710771, 0.292963, D
1.094031, 3.971594, 0.424572, D
1.037864, 4.212812, 0.561652, D
1.015203, 4.493522, 0.649648, D
0.978870, 4.737871, 0.910578, D
0.954750, 5.066838, 1.051439, D
0.926221, 5.320529, 1.173087, D
0.911692, 5.763781, 1.425253, D
0.890734, 6.277617, 1.864626, D
0.867468, 6.976002, 2.552858, D
0.837771, 8.122060, 3.541611, D
0.825867, 9.390293, 4.594491, D
0.825867, 12.453845, 7.117263, D
0.825867, 16.988280, 10.570787, D
0.782766, 22.474365, 16.526070, D
0.766002, 32.159102, 25.591552, D
