amtProduced_need, avg_price, sd, char
1.038067, 3.221167, 0.366557, E
1.026722, 3.444756, 0.239455, E
0.996765, 3.649166, 0.226353, E
0.966016, 3.984675, 0.498604, E
0.932458, 4.577293, 0.553492, E
0.925567, 5.418603, 0.706198, E
0.873908, 6.409940, 1.387771, E
0.850182, 7.672211, 1.425430, E
0.820481, 8.774516, 2.050284, E
0.796145, 9.879278, 2.310831, E
0.770042, 11.157826, 2.811467, E
0.753067, 13.661766, 3.941220, E
0.731090, 16.528345, 6.081502, E
0.707684, 19.257918, 8.071480, E
0.689505, 23.115322, 11.202652, E
0.679531, 27.648219, 15.041909, E
0.679531, 36.444313, 22.439772, E
0.679531, 48.018251, 33.931731, E
0.642360, 61.885116, 51.309799, E
0.626301, 98.543397, 83.256348, E
