amtProduced_need, avg_price, sd, char
0.770448, 3.256983, 0.320571, F
0.756047, 3.620572, 0.289064, F
0.735427, 4.211126, 0.541136, F
0.709623, 5.147529, 0.998651, F
0.685568, 6.777711, 2.887494, F
0.679807, 9.753312, 7.953557, F
0.647176, 14.607341, 19.478850, F
0.632008, 26.413274, 47.434870, F
0.898144, 35.557421, 34.344367, F
1.088145, 40.654002, 14.125596, F
1.284402, 42.137456, 11.788750, F
1.326772, 42.812991, 11.066714, F
1.423948, 42.657765, 11.731996, F
1.386476, 42.385279, 12.089072, F
1.342321, 41.856207, 12.768595, F
1.325436, 41.866796, 12.351754, F
1.325436, 42.763899, 12.620519, F
1.325436, 43.927464, 13.870431, F
1.261942, 42.980247, 17.629995, F
1.232423, 42.003900, 17.749990, F
