amtProduced_need, avg_price, sd, char
0.767142, 3.457401, 0.479497, G
0.749588, 3.997523, 0.401457, G
0.724712, 4.786750, 0.651119, G
0.813703, 6.251065, 1.078864, G
0.878796, 7.959664, 1.995602, G
0.944849, 10.753332, 2.789043, G
1.277687, 13.546965, 4.264152, G
1.364892, 14.637460, 3.913829, G
1.320060, 14.894587, 3.816640, G
1.282612, 15.234724, 4.056164, G
1.251545, 15.714460, 4.381686, G
1.228171, 16.289310, 4.850177, G
1.191751, 17.211805, 5.674810, G
1.159284, 18.230357, 6.695951, G
1.118073, 19.175933, 7.876987, G
1.104417, 20.275005, 8.797951, G
1.104417, 21.927676, 10.441530, G
1.104417, 23.843529, 12.499264, G
1.054509, 24.823969, 15.627650, G
1.029008, 26.623987, 19.160942, G
