amtProduced_need, avg_price, sd, char
0.894718, 3.028734, 0.336043, H
0.878081, 3.454757, 0.338490, H
0.855113, 3.933835, 0.404311, H
0.825225, 4.396377, 0.688466, H
0.897538, 5.712013, 1.725423, H
0.889181, 7.217550, 2.544106, H
0.848118, 9.236400, 3.979957, H
0.828976, 11.796813, 5.615163, H
0.798479, 14.053996, 4.893465, H
0.775147, 17.188075, 4.994147, H
0.750771, 21.458270, 7.265409, H
0.795500, 28.123843, 8.634237, H
0.775164, 39.070348, 14.447726, H
0.941302, 55.465531, 22.903159, H
1.178204, 66.738590, 29.904550, H
1.247096, 72.541198, 34.497321, H
1.247096, 78.708935, 40.342711, H
1.247096, 84.772971, 46.306785, H
1.185818, 85.531567, 55.510299, H
1.159638, 87.864251, 64.376543, H
