amtProduced_need, avg_price, sd, char
0.568011, 4.196915, 0.528241, I
0.698872, 5.266333, 0.557684, I
0.804064, 5.831327, 0.721710, I
0.956657, 6.178000, 0.968087, I
0.927502, 6.384518, 1.117650, I
0.918752, 6.973992, 1.337096, I
0.874216, 7.295084, 2.029445, I
0.854278, 7.793614, 2.700741, I
0.822531, 8.865937, 4.036715, I
0.798260, 10.854197, 5.358293, I
0.775380, 13.234816, 6.640663, I
0.759654, 15.417355, 8.755546, I
0.738905, 18.537094, 12.334222, I
0.719259, 23.547325, 18.387281, I
0.697619, 27.146351, 24.325294, I
0.689714, 31.436579, 31.887598, I
0.689714, 40.974953, 48.424482, I
0.689714, 54.689171, 71.726353, I
0.656251, 70.401907, 104.682033, I
0.640708, 92.137790, 161.322134, I
