amtProduced_need, avg_price, sd, char
1.000075, 3.349101, 0.464480, J
0.981457, 3.489162, 0.309442, J
0.946225, 3.741980, 0.264007, J
0.915702, 4.011033, 0.423980, J
0.878638, 4.380806, 0.537165, J
0.872406, 5.164636, 0.684494, J
0.844457, 5.756495, 0.974743, J
0.823723, 6.620957, 1.236881, J
0.793608, 7.439478, 1.654602, J
0.768808, 8.458687, 1.974969, J
0.748535, 9.913968, 2.540249, J
0.735115, 11.657973, 3.283061, J
0.712409, 14.095441, 4.894635, J
0.697595, 17.620291, 7.278078, J
0.670960, 24.634269, 11.489686, J
0.666115, 35.619835, 17.516418, J
0.666115, 54.197742, 28.535427, J
0.666115, 88.867410, 48.914743, J
1.094698, 132.785116, 84.766395, J
1.139206, 148.352098, 94.933886, J
