amount produced/need, avg price, sd, char
 year: 1, pop: 104
0.884269, 3.270911, 0.366212, A
1.027285, 3.285549, 0.429754, B
0.765650, 3.613148, 0.502877, C
1.249901, 3.120284, 0.405811, D
1.038067, 3.221167, 0.366557, E
0.770448, 3.256983, 0.320571, F
0.767142, 3.457401, 0.479497, G
0.894718, 3.028734, 0.336043, H
0.568011, 4.196915, 0.528241, I
1.000075, 3.349101, 0.464480, J
amount produced/need, avg price, sd, char
 year: 2, pop: 106
0.866223, 3.813342, 0.403201, A
1.007744, 3.614841, 0.195386, B
0.748823, 4.112234, 0.577708, C
1.223587, 3.270327, 0.570289, D
1.026722, 3.444756, 0.239455, E
0.756047, 3.620572, 0.289064, F
0.749588, 3.997523, 0.401457, G
0.878081, 3.454757, 0.338490, H
0.698872, 5.266333, 0.557684, I
0.981457, 3.489162, 0.309442, J
amount produced/need, avg price, sd, char
 year: 3, pop: 107
0.841419, 4.397317, 0.531745, A
0.978496, 3.948270, 0.204376, B
0.726857, 4.545912, 0.637773, C
1.192213, 3.387091, 0.212126, D
0.996765, 3.649166, 0.226353, E
0.735427, 4.211126, 0.541136, F
0.724712, 4.786750, 0.651119, G
0.855113, 3.933835, 0.404311, H
0.804064, 5.831327, 0.721710, I
0.946225, 3.741980, 0.264007, J
amount produced/need, avg price, sd, char
 year: 4, pop: 108
0.807620, 5.029231, 0.655146, A
0.948465, 4.496413, 0.451579, B
0.780790, 5.127874, 0.781210, C
1.153754, 3.495783, 0.403053, D
0.966016, 3.984675, 0.498604, E
0.709623, 5.147529, 0.998651, F
0.813703, 6.251065, 1.078864, G
0.825225, 4.396377, 0.688466, H
0.956657, 6.178000, 0.968087, I
0.915702, 4.011033, 0.423980, J
amount produced/need, avg price, sd, char
 year: 5, pop: 110
0.924392, 6.585624, 1.335188, A
0.908946, 5.026602, 0.811105, B
0.750096, 5.904077, 0.998295, C
1.104425, 3.710771, 0.292963, D
0.932458, 4.577293, 0.553492, E
0.685568, 6.777711, 2.887494, F
0.878796, 7.959664, 1.995602, G
0.897538, 5.712013, 1.725423, H
0.927502, 6.384518, 1.117650, I
0.878638, 4.380806, 0.537165, J
amount produced/need, avg price, sd, char
 year: 6, pop: 111
0.916922, 8.569697, 1.964289, A
