amtProduced_need, avg_price, sd, char
0.884269, 2.347922, 0.952629, A
0.866223, 1.897974, 0.774753, A
0.841419, 1.483154, 0.581272, A
0.807620, 1.287277, 0.714388, A
0.778013, 1.324974, 0.938564, A
0.771726, 1.408193, 1.180599, A
0.730410, 1.559833, 1.370467, A
0.714027, 1.857455, 1.838585, A
0.841760, 2.173114, 2.128730, A
1.020947, 2.163690, 1.527440, A
1.207306, 1.888062, 0.977003, A
1.246548, 1.482679, 0.786201, A
1.216094, 1.211145, 0.787577, A
1.179592, 1.030765, 0.813059, A
1.143464, 0.899647, 0.802916, A
1.126217, 0.772154, 0.823401, A
1.126217, 0.642205, 0.770155, A
1.126217, 0.567965, 0.798981, A
1.079020, 0.650114, 1.039800, A
1.056127, 0.590764, 0.925339, A
1.039947, 0.544899, 0.907384, A
1.017278, 0.542830, 0.979597, A
0.990294, 0.539025, 0.982515, A
0.968459, 0.527595, 0.961849, A
0.936866, 0.512164, 0.888310, A
0.920693, 0.500513, 0.930373, A
0.891029, 0.527750, 1.005384, A
0.882603, 0.455797, 0.863385, A
0.866220, 0.440124, 0.859822, A
0.856287, 0.415050, 0.839533, A
0.834282, 0.418965, 0.846226, A
0.820530, 0.414745, 0.834094, A
0.813379, 0.396510, 0.838758, A
0.790977, 0.420683, 0.864716, A
0.768983, 0.478122, 0.974754, A
0.748178, 0.567953, 1.039520, A
0.724231, 0.780603, 1.388036, A
0.712483, 1.028208, 1.922312, A
0.703753, 1.400580, 2.733245, A
0.680038, 1.784289, 3.495367, A
0.735548, 2.147033, 4.244694, A
0.795150, 2.734894, 5.860438, A
0.867063, 3.100919, 6.702619, A
1.009175, 2.848369, 5.709455, A
1.037615, 2.203350, 2.557993, A
1.167498, 1.665718, 1.935031, A
1.150468, 1.255266, 1.506496, A
1.133023, 1.012051, 1.274851, A
1.109123, 0.865966, 1.103150, A
1.122981, 0.749210, 0.991384, A
1.115272, 0.643824, 0.913852, A
1.083855, 0.620588, 0.927802, A
1.064135, 0.566841, 0.869571, A
1.050374, 0.541283, 0.887042, A
1.036965, 0.506238, 0.852092, A
1.015362, 0.503144, 0.881954, A
1.002826, 0.483932, 0.856404, A
0.993289, 0.456302, 0.805759, A
0.972155, 0.474681, 0.843417, A
0.947583, 0.473502, 0.825813, A
0.936657, 0.442494, 0.767708, A
0.917265, 0.464274, 0.830007, A
0.899213, 0.483199, 0.810374, A
0.886134, 0.500810, 0.775499, A
0.870310, 0.581907, 0.942990, A
0.854542, 0.651600, 0.893513, A
0.834544, 0.647632, 0.775702, A
0.818199, 0.744647, 0.952315, A
0.806910, 0.863681, 1.055157, A
0.795063, 0.913649, 1.086285, A
0.784400, 1.095939, 1.528911, A
0.777310, 1.158755, 1.636983, A
0.775661, 1.433767, 2.485554, A
0.769943, 1.929297, 3.882468, A
0.750961, 2.318532, 5.527991, A
0.740314, 2.609200, 5.726578, A
0.734365, 3.026456, 7.336277, A
0.718840, 3.499464, 8.897391, A
0.710803, 4.003377, 10.944557, A
0.702268, 4.576725, 13.685103, A
