amtProduced_need, avg_price, sd, char
1.027285, 2.203781, 0.737887, B
1.007744, 1.544925, 0.542117, B
0.978496, 1.128959, 0.651264, B
0.948465, 0.929863, 0.709794, B
0.908946, 0.826567, 0.756400, B
0.904512, 0.709615, 0.725113, B
0.858449, 0.704076, 0.860926, B
0.831502, 0.674372, 0.947479, B
0.795815, 0.621839, 0.781268, B
0.770998, 0.555839, 0.666950, B
0.753760, 0.521308, 0.627909, B
0.741700, 0.505705, 0.670008, B
0.721498, 0.493918, 0.618873, B
0.705038, 0.523761, 0.752461, B
0.686759, 0.533875, 0.722789, B
0.677971, 0.541062, 0.577167, B
0.677971, 0.546981, 0.624287, B
0.677971, 0.568337, 0.715940, B
0.682840, 0.771113, 0.937128, B
0.692882, 0.940317, 1.090293, B
0.791196, 1.117827, 1.340898, B
0.856379, 1.293246, 1.579900, B
0.916068, 1.283556, 1.450037, B
0.966219, 1.216412, 0.960854, B
0.981529, 1.023757, 1.014540, B
0.959973, 0.818148, 0.917024, B
0.920873, 0.744148, 0.986496, B
0.911907, 0.618940, 0.913386, B
0.894490, 0.580258, 0.952256, B
0.880083, 0.526212, 0.921400, B
0.855955, 0.540061, 1.011136, B
0.839515, 0.490939, 0.899880, B
0.832058, 0.458234, 0.913681, B
0.802523, 0.491747, 0.990140, B
0.781480, 0.492698, 0.948876, B
0.755370, 0.504309, 0.949285, B
0.730135, 0.521218, 0.977879, B
0.722094, 0.469285, 0.883602, B
0.710359, 0.453020, 0.897148, B
0.686557, 0.484301, 0.946395, B
0.664297, 0.471438, 0.883590, B
0.660283, 0.484996, 0.908110, B
0.652399, 0.501573, 0.850086, B
0.635947, 0.590607, 0.935972, B
0.630444, 0.754952, 1.197951, B
0.619718, 1.000526, 1.635255, B
0.612768, 1.027179, 1.518882, B
0.604854, 1.197169, 1.688310, B
0.590154, 1.397943, 1.968724, B
0.581260, 1.560796, 1.748283, B
0.578695, 1.786312, 2.008188, B
0.562800, 2.406932, 2.982427, B
0.553768, 3.237993, 4.402451, B
0.588511, 3.679163, 3.945837, B
0.580264, 4.693389, 5.433087, B
0.633143, 5.365632, 6.457803, B
0.703128, 5.473962, 6.948688, B
0.808834, 4.273868, 5.334421, B
1.011831, 3.268011, 4.194654, B
1.057144, 2.467933, 2.845403, B
1.045363, 1.965031, 2.392297, B
1.024060, 1.685722, 2.159825, B
1.002893, 1.456031, 1.990603, B
0.990189, 1.290856, 1.888453, B
0.972397, 1.185657, 1.844837, B
0.950715, 1.111805, 1.793811, B
0.928751, 1.062222, 1.764619, B
0.914268, 0.999597, 1.743752, B
0.900229, 0.954673, 1.732635, B
0.887174, 0.928926, 1.722900, B
0.875581, 0.911999, 1.712694, B
0.868019, 0.891458, 1.717585, B
0.866415, 0.883810, 1.769181, B
0.859010, 0.902030, 1.859304, B
0.838533, 1.034297, 2.171069, B
0.824770, 1.195335, 2.603561, B
0.818533, 1.444088, 3.513428, B
0.802657, 1.861845, 4.948698, B
0.796298, 2.476561, 7.153587, B
0.786506, 3.428183, 10.724304, B
