amtProduced_need, avg_price, sd, char
0.694641, 2.752932, 0.963620, C
0.679374, 2.299257, 0.831705, C
0.659446, 1.749169, 0.688251, C
0.632461, 1.482404, 0.636062, C
0.607597, 1.391245, 0.690722, C
0.601684, 1.408046, 0.775322, C
0.631813, 1.482885, 0.978347, C
0.617453, 1.398567, 0.866503, C
0.591894, 1.314319, 0.829254, C
0.570755, 1.305839, 0.803338, C
0.556720, 1.315453, 0.817592, C
0.543359, 1.357223, 0.822343, C
0.564906, 1.449867, 0.896651, C
0.546855, 1.282042, 0.815791, C
0.611106, 1.259991, 0.859638, C
0.712772, 1.121499, 0.949048, C
0.712772, 0.990145, 0.889898, C
0.712772, 0.925193, 0.955500, C
0.824169, 0.930596, 1.091745, C
0.833649, 0.901702, 1.138753, C
0.818738, 0.823936, 1.149794, C
0.795457, 0.766046, 1.186579, C
0.777043, 0.747554, 1.224010, C
0.762915, 0.741199, 1.254556, C
0.740476, 0.740846, 1.270982, C
0.726586, 0.700854, 1.230279, C
0.706205, 0.750848, 1.353343, C
0.699339, 0.667454, 1.239190, C
0.685067, 0.643416, 1.233909, C
0.671365, 0.600068, 1.197441, C
0.655630, 0.593751, 1.202123, C
0.645544, 0.600615, 1.237874, C
0.640616, 0.557018, 1.173946, C
0.620868, 0.554025, 1.169408, C
0.608121, 0.554635, 1.156436, C
0.589607, 0.573573, 1.171886, C
0.567032, 0.595969, 1.189166, C
0.557612, 0.580821, 1.152205, C
0.547904, 0.621313, 1.113081, C
0.530025, 0.758011, 1.197207, C
0.510673, 0.974546, 1.455615, C
0.521814, 1.274855, 1.952052, C
0.514095, 1.478886, 2.177269, C
0.499322, 1.771277, 2.775554, C
0.494585, 2.332871, 3.701675, C
0.528342, 2.739947, 4.571667, C
0.634817, 2.845970, 3.216771, C
0.738837, 2.622330, 2.584564, C
0.939382, 2.185647, 1.913829, C
1.032035, 1.666778, 1.664076, C
1.024875, 1.313326, 1.517321, C
1.000576, 1.120197, 1.411844, C
1.019693, 0.963091, 1.322503, C
1.003799, 0.851044, 1.257989, C
0.988394, 0.778576, 1.240029, C
0.966533, 0.736127, 1.228940, C
0.952984, 0.691049, 1.191637, C
0.943432, 0.653922, 1.179708, C
0.922104, 0.660805, 1.204211, C
0.899068, 0.648893, 1.175836, C
0.891210, 0.603298, 1.130160, C
0.869674, 0.587454, 1.121935, C
0.855088, 0.582238, 1.130248, C
0.842721, 0.552007, 1.097812, C
0.826220, 0.556754, 1.097548, C
0.810889, 0.607409, 1.173324, C
0.791994, 0.735651, 1.412299, C
0.778391, 0.934305, 1.883913, C
0.767167, 1.137369, 2.416641, C
0.759077, 1.482717, 3.430957, C
0.747484, 2.095482, 5.536091, C
0.742946, 3.000524, 8.745590, C
0.740697, 4.400995, 13.947968, C
0.732275, 6.587846, 22.151100, C
0.714738, 9.868421, 33.333841, C
0.704857, 11.918652, 32.118865, C
0.700419, 13.650351, 38.101631, C
0.709007, 9.819216, 23.977593, C
0.730051, 7.597262, 22.752002, C
0.750437, 6.247133, 22.817209, C
