amtProduced_need, avg_price, sd, char
1.249901, 1.973507, 0.620809, D
1.223587, 1.304814, 0.625026, D
1.192213, 0.895037, 0.554040, D
1.153754, 0.654537, 0.489902, D
1.104425, 0.616370, 0.734515, D
1.094031, 0.468857, 0.461855, D
1.037864, 0.495116, 0.694660, D
1.015203, 0.449656, 0.694611, D
0.978870, 0.385372, 0.598354, D
0.954750, 0.355858, 0.552469, D
0.926221, 0.333321, 0.605079, D
0.911692, 0.287410, 0.505982, D
0.890734, 0.295863, 0.561845, D
0.867468, 0.290139, 0.503954, D
0.837771, 0.304207, 0.506131, D
0.825867, 0.271131, 0.453395, D
0.825867, 0.252867, 0.467658, D
0.825867, 0.240055, 0.345600, D
0.782766, 0.344388, 0.649360, D
0.766002, 0.371770, 0.611318, D
0.752367, 0.394152, 0.581470, D
0.739210, 0.415166, 0.613163, D
0.719757, 0.480997, 0.722224, D
0.709867, 0.542716, 0.823066, D
0.683769, 0.518451, 0.649253, D
0.669012, 0.569207, 0.818304, D
0.646680, 0.599282, 0.882264, D
0.638685, 0.544163, 0.723386, D
0.624111, 0.662390, 0.787594, D
0.730666, 0.866473, 1.066102, D
0.947541, 0.937849, 1.063561, D
1.062276, 0.831777, 0.655456, D
1.083781, 0.654598, 0.603146, D
1.144109, 0.577540, 0.656736, D
1.200541, 0.503628, 0.634865, D
1.170252, 0.470602, 0.683510, D
1.133844, 0.480137, 0.805013, D
1.118925, 0.387063, 0.571546, D
1.099633, 0.353587, 0.608734, D
1.060769, 0.374148, 0.691434, D
1.032854, 0.343709, 0.588310, D
1.021481, 0.284791, 0.473234, D
1.013366, 0.267969, 0.519480, D
0.993631, 0.301923, 0.646637, D
0.979328, 0.267529, 0.554211, D
0.963607, 0.276897, 0.571930, D
0.950148, 0.250118, 0.484760, D
0.933632, 0.242644, 0.512436, D
0.912754, 0.261363, 0.552732, D
0.895926, 0.255416, 0.549169, D
0.889677, 0.235029, 0.498112, D
0.865530, 0.298896, 0.712584, D
0.849675, 0.377028, 0.945182, D
0.837128, 0.450047, 1.048013, D
0.826283, 0.559098, 1.348912, D
0.807326, 0.704811, 1.459108, D
0.795990, 0.808230, 1.365580, D
0.787392, 0.875842, 1.124043, D
0.768997, 1.148401, 1.558406, D
0.750890, 1.496772, 2.017850, D
0.744861, 1.731749, 2.056207, D
0.726823, 2.176016, 2.712081, D
0.778542, 2.700219, 3.557051, D
0.800540, 2.768558, 3.412518, D
0.835442, 2.683483, 3.407920, D
0.952088, 2.444306, 3.366192, D
1.052304, 1.888154, 2.383535, D
1.073017, 1.499927, 1.874769, D
1.059637, 1.211703, 1.514383, D
1.047232, 1.049678, 1.340680, D
1.035115, 0.929855, 1.233847, D
1.027605, 0.827284, 1.160513, D
1.025126, 0.755071, 1.127908, D
1.017759, 0.708016, 1.111162, D
0.995116, 0.642820, 1.086210, D
0.981327, 0.618846, 1.078935, D
0.973458, 0.593642, 1.078328, D
0.951656, 0.589157, 1.067764, D
0.942161, 0.570190, 1.062861, D
0.930810, 0.565906, 1.060563, D
