amtProduced_need, avg_price, sd, char
1.038067, 2.123692, 0.627677, E
1.026722, 1.488957, 0.525460, E
0.996765, 1.076020, 0.562429, E
0.966016, 0.812639, 0.539727, E
0.932458, 0.762087, 0.796688, E
0.925567, 0.639101, 0.587655, E
0.873908, 0.616965, 0.615455, E
0.850182, 0.569068, 0.632975, E
0.820481, 0.520307, 0.624706, E
0.796145, 0.477063, 0.652390, E
0.770042, 0.427407, 0.502355, E
0.753067, 0.423064, 0.623162, E
0.731090, 0.420617, 0.542145, E
0.707684, 0.376280, 0.444554, E
0.689505, 0.434667, 0.702799, E
0.679531, 0.381526, 0.502561, E
0.679531, 0.354419, 0.365407, E
0.679531, 0.358774, 0.388825, E
0.642360, 0.518967, 0.784728, E
0.626301, 0.721755, 1.140550, E
0.616033, 0.956422, 1.564890, E
0.689354, 1.316420, 2.189042, E
0.774104, 1.654851, 2.551164, E
0.943030, 1.858557, 2.411083, E
1.273623, 1.716329, 1.317132, E
1.447954, 1.282134, 0.873974, E
1.571302, 0.995981, 0.814522, E
1.658839, 0.741838, 0.760247, E
1.631533, 0.590035, 0.738842, E
1.602948, 0.505417, 0.772893, E
1.569113, 0.512245, 0.890125, E
1.542656, 0.493363, 0.886107, E
1.524856, 0.430435, 0.790212, E
1.473839, 0.453492, 0.882151, E
1.438196, 0.455263, 0.860093, E
1.395995, 0.453243, 0.872069, E
1.345461, 0.471866, 0.908675, E
1.327442, 0.415618, 0.794826, E
1.307020, 0.374665, 0.748239, E
1.262620, 0.408546, 0.847529, E
1.227438, 0.401538, 0.805714, E
1.214901, 0.362401, 0.753265, E
1.200189, 0.337735, 0.729555, E
1.168357, 0.361422, 0.805282, E
1.158119, 0.318598, 0.683483, E
1.135996, 0.332923, 0.733116, E
1.118897, 0.372644, 0.787787, E
1.104353, 0.411887, 0.857461, E
1.085208, 0.538384, 1.126377, E
1.070556, 0.534451, 0.950322, E
1.065760, 0.680931, 1.289398, E
1.032455, 0.852539, 1.389768, E
1.012245, 0.923120, 1.269468, E
1.002856, 0.867693, 0.995203, E
0.987864, 0.856283, 0.927649, E
0.970929, 0.799268, 0.909857, E
0.956869, 0.763835, 0.826648, E
0.941716, 0.761723, 0.824037, E
0.921292, 0.755476, 0.842799, E
0.896974, 0.717750, 0.801982, E
0.886280, 0.678944, 0.796327, E
0.868166, 0.642424, 0.727837, E
0.852608, 0.602097, 0.688609, E
0.839370, 0.571046, 0.644557, E
0.825964, 0.569050, 0.653803, E
0.804728, 0.570957, 0.681412, E
0.785074, 0.580014, 0.703742, E
0.771328, 0.605266, 0.761065, E
0.760965, 0.747529, 1.089476, E
0.748985, 0.881974, 1.059930, E
0.735552, 1.032487, 1.335347, E
0.730134, 1.185394, 1.719778, E
0.728792, 1.347555, 1.771605, E
0.722593, 1.595892, 2.368213, E
0.707548, 2.236118, 3.895965, E
0.697179, 3.115743, 5.784785, E
0.693521, 4.424300, 9.010594, E
0.676173, 6.045927, 12.874327, E
0.671970, 8.705016, 20.150325, E
0.664834, 12.558116, 30.837496, E
