amtProduced_need, avg_price, sd, char
0.770448, 2.485373, 0.892543, F
0.756047, 2.139563, 0.961926, F
0.735427, 1.984163, 0.856669, F
0.810154, 1.917004, 0.983378, F
0.822643, 1.837539, 1.066884, F
0.877511, 1.705023, 1.022786, F
0.969685, 1.628043, 1.109358, F
1.026663, 1.447000, 1.084618, F
0.988066, 1.169306, 0.825081, F
0.959218, 0.978853, 0.701273, F
0.932006, 0.894774, 0.777841, F
0.912589, 0.801395, 0.765633, F
0.887924, 0.742288, 0.730793, F
0.864558, 0.704172, 0.776159, F
0.837024, 0.709847, 0.795202, F
0.826496, 0.648205, 0.805287, F
0.826496, 0.592301, 0.723842, F
0.826496, 0.576714, 0.762565, F
0.786903, 0.704583, 1.033957, F
0.845178, 0.715606, 0.953394, F
0.876328, 0.705887, 0.976819, F
0.856635, 0.706689, 1.043569, F
0.833230, 0.759042, 1.181860, F
0.815407, 0.700379, 1.044645, F
0.790057, 0.713366, 1.038718, F
0.774015, 0.772264, 1.119538, F
0.747456, 0.827846, 1.155804, F
0.740199, 0.732129, 1.003985, F
0.787137, 0.712800, 1.061291, F
0.776051, 0.674156, 1.083374, F
0.754789, 0.677649, 1.067420, F
0.741250, 0.694299, 1.128299, F
0.734661, 0.703908, 1.027277, F
0.784864, 0.810186, 1.059607, F
0.783216, 0.904376, 1.075458, F
0.827025, 1.027241, 1.161019, F
0.879735, 1.080674, 1.056545, F
0.866096, 1.066432, 1.005877, F
0.862731, 1.080378, 1.067100, F
0.906129, 1.033348, 1.106753, F
0.930963, 1.000659, 1.161027, F
0.921059, 0.983319, 1.233750, F
0.942157, 1.004565, 1.385811, F
0.944766, 0.975204, 1.525573, F
0.935159, 0.967352, 1.701324, F
0.916518, 1.026752, 2.037771, F
0.904498, 1.036288, 2.370859, F
0.892789, 1.081570, 2.969648, F
0.873012, 1.184553, 3.703985, F
0.859414, 1.269220, 4.975111, F
0.854092, 1.390548, 6.411097, F
0.830939, 1.537766, 8.120225, F
0.816189, 1.782152, 11.322632, F
0.804291, 2.092884, 15.609714, F
0.792735, 2.340166, 20.334425, F
0.808638, 2.590269, 17.111698, F
0.797407, 2.766941, 14.356263, F
0.788644, 3.027906, 16.760615, F
0.771684, 3.221673, 18.643150, F
0.751483, 3.539864, 22.868604, F
0.743695, 3.995832, 29.425788, F
0.726750, 4.745050, 39.896873, F
0.712323, 6.074882, 60.266031, F
0.701874, 7.684764, 87.012769, F
0.688408, 10.665695, 138.261701, F
0.673865, 14.033483, 199.199484, F
0.656902, 17.059449, 259.965228, F
0.645093, 24.397593, 401.655014, F
0.636511, 36.719941, 649.453234, F
0.628154, 53.567528, 992.785536, F
0.618677, 84.715619, 1634.310776, F
0.630529, 125.892697, 2482.442238, F
0.654615, 202.488452, 4077.209237, F
0.694504, 308.378378, 6325.035016, F
0.806921, 415.298107, 8745.708101, F
0.899282, 457.547946, 9788.778864, F
0.963638, 499.410274, 10794.638477, F
1.073228, 506.060440, 11101.017001, F
1.120404, 517.969811, 11451.105742, F
1.160721, 520.105485, 11591.110006, F
