amtProduced_need, avg_price, sd, char
0.826344, 2.485624, 0.803524, G
0.807435, 1.905555, 0.691726, G
0.780640, 1.594677, 0.692884, G
0.755566, 1.536307, 0.727938, G
0.727524, 1.536357, 0.841598, G
0.720100, 1.556167, 0.876376, G
0.822863, 1.721534, 1.100875, G
0.876054, 1.635321, 1.033563, G
1.048252, 1.435689, 0.914718, G
1.073169, 1.291866, 0.744111, G
1.047175, 1.116429, 0.725615, G
1.027619, 0.969828, 0.753266, G
0.997146, 0.865514, 0.744696, G
0.969980, 0.818150, 0.828878, G
0.935498, 0.839897, 0.966651, G
0.924072, 0.749686, 0.800761, G
0.924072, 0.663112, 0.742220, G
0.924072, 0.619375, 0.784029, G
0.882314, 0.703387, 1.002240, G
0.860978, 0.681114, 0.899287, G
0.845345, 0.681177, 0.950926, G
0.826868, 0.709576, 1.012249, G
0.804877, 0.756612, 1.077658, G
0.791199, 0.798616, 1.094338, G
0.773011, 0.858322, 1.237969, G
0.759432, 0.795531, 1.005943, G
0.735440, 0.793886, 1.054159, G
0.728360, 0.755296, 1.043146, G
0.714601, 0.767773, 1.115498, G
0.706263, 0.714905, 0.982358, G
0.686244, 0.721672, 1.037416, G
0.674769, 0.704775, 1.045847, G
0.668804, 0.665305, 1.043388, G
0.704337, 0.709390, 1.049446, G
0.713767, 0.747350, 1.037158, G
0.694261, 0.806520, 0.997264, G
0.669200, 0.931171, 1.114021, G
0.680536, 0.971770, 0.988085, G
0.745386, 1.043020, 0.927968, G
0.848032, 1.183048, 0.972817, G
0.977672, 1.187502, 0.952116, G
0.967354, 1.038979, 0.892485, G
0.958084, 0.934553, 0.935035, G
0.933685, 0.863077, 0.969745, G
0.922719, 0.792427, 0.950580, G
0.903764, 0.757526, 0.977763, G
0.893486, 0.720043, 0.996810, G
0.880609, 0.682794, 0.973641, G
0.860627, 0.677839, 1.002043, G
0.846062, 0.637621, 0.950909, G
0.840245, 0.611201, 0.970113, G
0.816541, 0.649995, 1.034755, G
0.801663, 0.649256, 1.024047, G
0.790712, 0.650991, 1.041481, G
0.778953, 0.641468, 1.013182, G
0.764337, 0.667261, 1.065678, G
0.753343, 0.695725, 1.119480, G
0.745682, 0.717619, 1.193210, G
0.729364, 0.815998, 1.441120, G
0.712820, 0.970165, 1.820729, G
0.704600, 1.206600, 2.607773, G
0.688717, 1.581424, 3.757569, G
0.676018, 2.143538, 5.812879, G
0.665385, 2.995246, 9.059729, G
0.653136, 4.311545, 14.302137, G
0.638723, 4.656058, 17.391220, G
0.644259, 4.507739, 22.314053, G
0.657135, 5.502892, 32.586928, G
0.685831, 6.498985, 47.852216, G
0.756045, 6.782391, 63.731005, G
0.802357, 7.063594, 82.193272, G
0.839509, 6.560344, 83.774582, G
0.837295, 6.616571, 92.550069, G
0.831158, 6.534669, 98.012091, G
0.812858, 6.287917, 102.564800, G
0.801369, 6.339779, 107.477743, G
0.795347, 6.433530, 112.638557, G
0.779338, 6.402125, 115.144583, G
0.771761, 6.807083, 126.112602, G
0.761762, 7.383709, 140.499648, G
