amtProduced_need, avg_price, sd, char
0.906855, 2.101153, 0.657878, H
0.889992, 1.741661, 0.719787, H
0.866712, 1.475739, 0.631820, H
0.836420, 1.343609, 0.709045, H
0.809692, 1.319321, 0.982366, H
0.802153, 1.299777, 1.207644, H
0.765108, 1.381494, 1.451187, H
0.790193, 1.422827, 1.726483, H
0.761123, 1.216506, 0.899851, H
0.738882, 1.208625, 0.802559, H
0.768124, 1.247886, 0.725714, H
0.830709, 1.338552, 0.796828, H
0.928568, 1.473143, 0.848028, H
1.090445, 1.468544, 0.857880, H
1.256971, 1.363788, 0.968098, H
1.282751, 1.105069, 0.845245, H
1.282751, 0.876875, 0.819436, H
1.282751, 0.734620, 0.837497, H
1.264411, 0.771184, 1.055689, H
1.236496, 0.673493, 0.963239, H
1.214416, 0.606930, 0.981936, H
1.187159, 0.551867, 0.937015, H
1.154063, 0.565015, 1.030734, H
1.129421, 0.541217, 1.002650, H
1.093113, 0.511879, 0.943817, H
1.069777, 0.499884, 1.002172, H
1.031530, 0.510864, 0.988986, H
1.021568, 0.443018, 0.893661, H
1.002212, 0.434163, 0.911846, H
0.988683, 0.424367, 0.933211, H
0.962691, 0.448163, 0.964936, H
0.945483, 0.424487, 0.902937, H
0.937108, 0.397252, 0.889766, H
0.909362, 0.417988, 0.922432, H
0.885676, 0.412295, 0.897695, H
0.859298, 0.424031, 0.914095, H
0.827195, 0.457830, 0.966820, H
0.814458, 0.418645, 0.825498, H
0.801432, 0.466017, 0.852585, H
0.772810, 0.487607, 0.893071, H
0.750277, 0.549657, 0.907661, H
0.742669, 0.605659, 0.986469, H
0.734646, 0.556966, 0.831117, H
0.718567, 0.658382, 0.865943, H
0.712118, 0.846693, 1.088466, H
0.699047, 1.136479, 1.490507, H
0.690429, 1.534894, 2.156884, H
0.681046, 2.102663, 3.180807, H
0.665805, 2.940288, 4.785853, H
0.663398, 2.396157, 2.579559, H
0.721343, 3.108300, 3.244451, H
0.874881, 3.843109, 4.068010, H
1.009573, 3.761825, 3.839546, H
1.070180, 2.991584, 2.827118, H
1.143793, 2.405212, 2.607482, H
1.186544, 1.892202, 2.270422, H
1.169105, 1.556685, 1.973484, H
1.156359, 1.289953, 1.765797, H
1.133026, 1.144441, 1.631414, H
1.102917, 1.037372, 1.512786, H
1.092816, 0.930832, 1.447862, H
1.066564, 0.888014, 1.430433, H
1.045536, 0.856192, 1.410730, H
1.030302, 0.804630, 1.382223, H
1.010666, 0.784823, 1.384554, H
0.988684, 0.759523, 1.367891, H
0.964704, 0.728983, 1.341269, H
0.946529, 0.753608, 1.367166, H
0.934026, 0.851464, 1.520677, H
0.921849, 1.008533, 1.875582, H
0.908254, 1.081751, 2.051759, H
0.900542, 1.122402, 2.343802, H
0.898423, 1.198413, 2.708054, H
0.890877, 1.466844, 3.991927, H
0.869376, 1.967457, 5.885781, H
0.857274, 2.576884, 7.750052, H
0.851159, 3.501877, 11.334738, H
0.832236, 4.467160, 14.918998, H
0.824330, 6.122812, 20.303597, H
0.814483, 7.755760, 26.554688, H
