amtProduced_need, avg_price, sd, char
0.555640, 3.260168, 1.220241, I
0.686761, 3.272812, 1.206261, I
0.792299, 3.003447, 1.072130, I
1.000036, 2.525899, 1.103659, I
1.249590, 2.098184, 1.054244, I
1.237801, 1.556419, 0.747632, I
1.250742, 1.241460, 0.863820, I
1.222216, 0.982974, 0.900685, I
1.176796, 0.812753, 0.845598, I
1.142071, 0.713065, 0.877726, I
1.109336, 0.616732, 0.816310, I
1.086838, 0.511606, 0.726810, I
1.057152, 0.520740, 0.902683, I
1.029044, 0.453567, 0.764906, I
0.998085, 0.459414, 0.839038, I
0.986775, 0.382082, 0.730746, I
0.986775, 0.325915, 0.706431, I
0.986775, 0.296027, 0.713707, I
0.938899, 0.398817, 0.930832, I
0.916662, 0.384860, 0.850588, I
0.900081, 0.372676, 0.862858, I
0.878516, 0.367025, 0.826640, I
0.853754, 0.366107, 0.835421, I
0.834327, 0.363117, 0.814953, I
0.809132, 0.380949, 0.847481, I
0.792563, 0.364857, 0.827095, I
0.763048, 0.418886, 0.952544, I
0.756420, 0.360825, 0.769022, I
0.741920, 0.374654, 0.834692, I
0.731789, 0.333314, 0.710351, I
0.711607, 0.367099, 0.740485, I
0.697360, 0.440951, 0.837633, I
0.716595, 0.510071, 0.804877, I
0.738143, 0.656306, 0.958996, I
0.772869, 0.825831, 1.155175, I
0.860055, 0.997055, 1.070166, I
1.013559, 1.114492, 1.064253, I
1.116672, 0.896993, 0.816838, I
1.149066, 0.710815, 0.825487, I
1.179109, 0.619255, 0.753904, I
1.144152, 0.549595, 0.772621, I
1.132356, 0.456921, 0.692720, I
1.119923, 0.406931, 0.720103, I
1.092503, 0.415668, 0.824896, I
1.081743, 0.354355, 0.684393, I
1.060848, 0.359870, 0.745535, I
1.046848, 0.324406, 0.658798, I
1.033214, 0.314594, 0.685205, I
1.010546, 0.311843, 0.655724, I
0.995053, 0.299109, 0.650999, I
0.989537, 0.278936, 0.628224, I
0.962198, 0.338733, 0.804248, I
0.944379, 0.327380, 0.710256, I
0.931442, 0.317324, 0.683818, I
0.917085, 0.304663, 0.645980, I
0.899749, 0.331326, 0.699246, I
0.886895, 0.396315, 0.854936, I
0.876551, 0.429688, 0.836880, I
0.856569, 0.534534, 1.081766, I
0.834542, 0.749742, 1.593942, I
0.826810, 1.029978, 2.401433, I
0.807636, 1.418037, 3.505296, I
0.790643, 1.945659, 5.182788, I
0.778997, 2.855200, 8.152752, I
0.763992, 4.204548, 12.566033, I
0.747592, 6.272671, 19.433394, I
0.728521, 7.002942, 16.071405, I
0.818559, 6.356550, 14.977062, I
0.887340, 4.272769, 7.640077, I
0.886339, 3.350632, 6.543253, I
0.914646, 2.759733, 5.740201, I
0.925679, 2.522864, 6.231149, I
0.923483, 2.438929, 6.749320, I
0.920834, 2.301180, 7.333613, I
0.934743, 2.073340, 8.110477, I
0.920798, 2.132698, 9.112123, I
0.912956, 2.252427, 10.743219, I
0.908056, 2.379654, 12.418995, I
0.898605, 2.523190, 14.489187, I
0.888586, 2.713793, 17.025997, I
