amtProduced_need, avg_price, sd, char
1.000075, 2.222142, 0.690350, J
0.981457, 1.523876, 0.550156, J
0.946225, 1.096819, 0.548480, J
0.915702, 0.848395, 0.597683, J
0.878638, 0.769858, 0.737513, J
0.872406, 0.640884, 0.567649, J
0.844457, 0.663946, 0.851523, J
0.823723, 0.586011, 0.671941, J
0.793608, 0.509408, 0.650619, J
0.768808, 0.485532, 0.673641, J
0.748535, 0.456019, 0.662200, J
0.735115, 0.410292, 0.576020, J
0.712409, 0.438751, 0.743518, J
0.697595, 0.413216, 0.590684, J
0.670960, 0.468751, 0.725618, J
0.666115, 0.519691, 0.834550, J
0.666115, 0.529018, 0.784207, J
0.666115, 0.549998, 0.767386, J
0.846634, 0.687576, 0.967882, J
0.824019, 0.765212, 1.059179, J
0.813159, 0.741881, 0.992753, J
0.858153, 0.765318, 1.109918, J
0.832435, 0.807235, 1.223195, J
0.813196, 0.850373, 1.317682, J
0.787708, 0.881028, 1.307982, J
0.769335, 0.944538, 1.340975, J
0.851166, 1.086116, 1.593345, J
0.842810, 0.943314, 1.184846, J
0.959415, 0.844728, 1.149342, J
1.005021, 0.717222, 1.070362, J
0.977141, 0.655612, 1.104972, J
0.956916, 0.596286, 1.073140, J
0.948328, 0.519276, 1.014892, J
0.920020, 0.525849, 1.060227, J
0.893352, 0.543381, 1.101619, J
0.864131, 0.531048, 1.060703, J
0.833930, 0.540695, 1.083536, J
0.820062, 0.469108, 0.964798, J
0.810182, 0.456335, 1.020109, J
0.787748, 0.471114, 1.031505, J
0.764149, 0.494783, 1.051502, J
0.754792, 0.464842, 0.978895, J
0.745661, 0.425453, 0.917882, J
0.728764, 0.449025, 0.975729, J
0.721654, 0.440648, 0.969893, J
0.708521, 0.459159, 0.984823, J
0.699145, 0.450589, 0.960945, J
0.690659, 0.469070, 0.943178, J
0.677998, 0.555835, 1.073808, J
0.668199, 0.662801, 1.162649, J
0.664000, 0.802603, 1.413314, J
0.644334, 1.076908, 1.947095, J
0.629528, 1.406195, 2.690508, J
0.621071, 1.918096, 4.046480, J
0.612331, 2.678814, 6.162105, J
0.601379, 3.838336, 9.575699, J
0.593656, 5.538839, 14.660306, J
0.587993, 7.923115, 22.222693, J
0.605471, 10.471550, 32.459736, J
0.818296, 14.105959, 47.861880, J
0.909165, 13.433689, 46.440899, J
1.091924, 9.325142, 20.764563, J
1.196595, 6.769356, 14.118174, J
1.300290, 5.144058, 11.048674, J
1.414759, 4.022254, 8.797350, J
1.459970, 3.193015, 7.166214, J
1.514716, 2.590545, 6.128262, J
1.514605, 2.173895, 5.522961, J
1.496217, 1.916744, 5.216545, J
1.518474, 1.733902, 5.040082, J
1.515735, 1.606942, 4.926805, J
1.502628, 1.502590, 4.859901, J
1.498925, 1.439613, 4.836108, J
1.484292, 1.397452, 4.808150, J
1.449794, 1.352807, 4.758617, J
1.425164, 1.322109, 4.729903, J
1.415215, 1.305976, 4.715768, J
1.382247, 1.288983, 4.666031, J
1.367484, 1.267117, 4.647298, J
1.349282, 1.259221, 4.624640, J
