amount produced/need, avg price, sd, char
 year: 1, pop: 104
0.884269, 2.347922, 0.952629, A
1.027285, 2.203781, 0.737887, B
0.694641, 2.752932, 0.963620, C
1.249901, 1.973507, 0.620809, D
1.038067, 2.123692, 0.627677, E
0.770448, 2.485373, 0.892543, F
0.826344, 2.485624, 0.803524, G
0.906855, 2.101153, 0.657878, H
0.555640, 3.260168, 1.220241, I
1.000075, 2.222142, 0.690350, J
amount produced/need, avg price, sd, char
 year: 2, pop: 106
0.866223, 1.897974, 0.774753, A
1.007744, 1.544925, 0.542117, B
0.679374, 2.299257, 0.831705, C
1.223587, 1.304814, 0.625026, D
1.026722, 1.488957, 0.525460, E
0.756047, 2.139563, 0.961926, F
0.807435, 1.905555, 0.691726, G
0.889992, 1.741661, 0.719787, H
0.686761, 3.272812, 1.206261, I
0.981457, 1.523876, 0.550156, J
amount produced/need, avg price, sd, char
 year: 3, pop: 107
0.841419, 1.483154, 0.581272, A
0.978496, 1.128959, 0.651264, B
0.659446, 1.749169, 0.688251, C
1.192213, 0.895037, 0.554040, D
0.996765, 1.076020, 0.562429, E
0.735427, 1.984163, 0.856669, F
0.780640, 1.594677, 0.692884, G
0.866712, 1.475739, 0.631820, H
0.792299, 3.003447, 1.072130, I
0.946225, 1.096819, 0.548480, J
amount produced/need, avg price, sd, char
 year: 4, pop: 108
0.807620, 1.287277, 0.714388, A
0.948465, 0.929863, 0.709794, B
0.632461, 1.482404, 0.636062, C
1.153754, 0.654537, 0.489902, D
0.966016, 0.812639, 0.539727, E
0.810154, 1.917004, 0.983378, F
0.755566, 1.536307, 0.727938, G
0.836420, 1.343609, 0.709045, H
1.000036, 2.525899, 1.103659, I
0.915702, 0.848395, 0.597683, J
amount produced/need, avg price, sd, char
 year: 5, pop: 110
0.778013, 1.324974, 0.938564, A
0.908946, 0.826567, 0.756400, B
0.607597, 1.391245, 0.690722, C
1.104425, 0.616370, 0.734515, D
0.932458, 0.762087, 0.796688, E
0.822643, 1.837539, 1.066884, F
0.727524, 1.536357, 0.841598, G
0.809692, 1.319321, 0.982366, H
1.249590, 2.098184, 1.054244, I
0.878638, 0.769858, 0.737513, J
amount produced/need, avg price, sd, char
 year: 6, pop: 111
0.771726, 1.408193, 1.180599, A
0.904512, 0.709615, 0.725113, B
0.601684, 1.408046, 0.775322, C
1.094031, 0.468857, 0.461855, D
0.925567, 0.639101, 0.587655, E
0.877511, 1.705023, 1.022786, F
0.720100, 1.556167, 0.876376, G
0.802153, 1.299777, 1.207644, H
1.237801, 1.556419, 0.747632, I
0.872406, 0.640884, 0.567649, J
amount produced/need, avg price, sd, char
 year: 7, pop: 113
0.730410, 1.559833, 1.370467, A
0.858449, 0.704076, 0.860926, B
0.631813, 1.482885, 0.978347, C
1.037864, 0.495116, 0.694660, D
0.873908, 0.616965, 0.615455, E
0.969685, 1.628043, 1.109358, F
0.822863, 1.721534, 1.100875, G
0.765108, 1.381494, 1.451187, H
1.250742, 1.241460, 0.863820, I
0.844457, 0.663946, 0.851523, J
amount produced/need, avg price, sd, char
 year: 8, pop: 115
0.714027, 1.857455, 1.838585, A
0.831502, 0.674372, 0.947479, B
0.617453, 1.398567, 0.866503, C
1.015203, 0.449656, 0.694611, D
0.850182, 0.569068, 0.632975, E
1.026663, 1.447000, 1.084618, F
0.876054, 1.635321, 1.033563, G
0.790193, 1.422827, 1.726483, H
1.222216, 0.982974, 0.900685, I
0.823723, 0.586011, 0.671941, J
amount produced/need, avg price, sd, char
 year: 9, pop: 118
0.841760, 2.173114, 2.128730, A
0.795815, 0.621839, 0.781268, B
0.591894, 1.314319, 0.829254, C
0.978870, 0.385372, 0.598354, D
0.820481, 0.520307, 0.624706, E
0.988066, 1.169306, 0.825081, F
1.048252, 1.435689, 0.914718, G
0.761123, 1.216506, 0.899851, H
1.176796, 0.812753, 0.845598, I
0.793608, 0.509408, 0.650619, J
amount produced/need, avg price, sd, char
 year: 10, pop: 121
1.020947, 2.163690, 1.527440, A
0.770998, 0.555839, 0.666950, B
0.570755, 1.305839, 0.803338, C
0.954750, 0.355858, 0.552469, D
0.796145, 0.477063, 0.652390, E
0.959218, 0.978853, 0.701273, F
1.073169, 1.291866, 0.744111, G
0.738882, 1.208625, 0.802559, H
1.142071, 0.713065, 0.877726, I
0.768808, 0.485532, 0.673641, J
amount produced/need, avg price, sd, char
 year: 11, pop: 122
1.207306, 1.888062, 0.977003, A
0.753760, 0.521308, 0.627909, B
0.556720, 1.315453, 0.817592, C
0.926221, 0.333321, 0.605079, D
0.770042, 0.427407, 0.502355, E
0.932006, 0.894774, 0.777841, F
1.047175, 1.116429, 0.725615, G
0.768124, 1.247886, 0.725714, H
1.109336, 0.616732, 0.816310, I
0.748535, 0.456019, 0.662200, J
amount produced/need, avg price, sd, char
 year: 12, pop: 123
1.246548, 1.482679, 0.786201, A
0.741700, 0.505705, 0.670008, B
0.543359, 1.357223, 0.822343, C
0.911692, 0.287410, 0.505982, D
0.753067, 0.423064, 0.623162, E
0.912589, 0.801395, 0.765633, F
1.027619, 0.969828, 0.753266, G
0.830709, 1.338552, 0.796828, H
1.086838, 0.511606, 0.726810, I
0.735115, 0.410292, 0.576020, J
amount produced/need, avg price, sd, char
 year: 13, pop: 125
1.216094, 1.211145, 0.787577, A
0.721498, 0.493918, 0.618873, B
0.564906, 1.449867, 0.896651, C
0.890734, 0.295863, 0.561845, D
0.731090, 0.420617, 0.542145, E
0.887924, 0.742288, 0.730793, F
0.997146, 0.865514, 0.744696, G
0.928568, 1.473143, 0.848028, H
1.057152, 0.520740, 0.902683, I
0.712409, 0.438751, 0.743518, J
amount produced/need, avg price, sd, char
 year: 14, pop: 127
1.179592, 1.030765, 0.813059, A
0.705038, 0.523761, 0.752461, B
0.546855, 1.282042, 0.815791, C
0.867468, 0.290139, 0.503954, D
0.707684, 0.376280, 0.444554, E
0.864558, 0.704172, 0.776159, F
0.969980, 0.818150, 0.828878, G
1.090445, 1.468544, 0.857880, H
1.029044, 0.453567, 0.764906, I
0.697595, 0.413216, 0.590684, J
amount produced/need, avg price, sd, char
 year: 15, pop: 127
1.143464, 0.899647, 0.802916, A
0.686759, 0.533875, 0.722789, B
0.611106, 1.259991, 0.859638, C
0.837771, 0.304207, 0.506131, D
0.689505, 0.434667, 0.702799, E
0.837024, 0.709847, 0.795202, F
0.935498, 0.839897, 0.966651, G
1.256971, 1.363788, 0.968098, H
0.998085, 0.459414, 0.839038, I
0.670960, 0.468751, 0.725618, J
amount produced/need, avg price, sd, char
 year: 16, pop: 128
1.126217, 0.772154, 0.823401, A
0.677971, 0.541062, 0.577167, B
0.712772, 1.121499, 0.949048, C
0.825867, 0.271131, 0.453395, D
0.679531, 0.381526, 0.502561, E
0.826496, 0.648205, 0.805287, F
0.924072, 0.749686, 0.800761, G
1.282751, 1.105069, 0.845245, H
0.986775, 0.382082, 0.730746, I
0.666115, 0.519691, 0.834550, J
amount produced/need, avg price, sd, char
 year: 17, pop: 127
1.126217, 0.642205, 0.770155, A
0.677971, 0.546981, 0.624287, B
0.712772, 0.990145, 0.889898, C
0.825867, 0.252867, 0.467658, D
0.679531, 0.354419, 0.365407, E
0.826496, 0.592301, 0.723842, F
0.924072, 0.663112, 0.742220, G
1.282751, 0.876875, 0.819436, H
0.986775, 0.325915, 0.706431, I
0.666115, 0.529018, 0.784207, J
amount produced/need, avg price, sd, char
 year: 18, pop: 125
1.126217, 0.567965, 0.798981, A
0.677971, 0.568337, 0.715940, B
0.712772, 0.925193, 0.955500, C
0.825867, 0.240055, 0.345600, D
0.679531, 0.358774, 0.388825, E
0.826496, 0.576714, 0.762565, F
0.924072, 0.619375, 0.784029, G
1.282751, 0.734620, 0.837497, H
0.986775, 0.296027, 0.713707, I
0.666115, 0.549998, 0.767386, J
amount produced/need, avg price, sd, char
 year: 19, pop: 131
1.079020, 0.650114, 1.039800, A
0.682840, 0.771113, 0.937128, B
0.824169, 0.930596, 1.091745, C
0.782766, 0.344388, 0.649360, D
0.642360, 0.518967, 0.784728, E
0.786903, 0.704583, 1.033957, F
0.882314, 0.703387, 1.002240, G
1.264411, 0.771184, 1.055689, H
0.938899, 0.398817, 0.930832, I
0.846634, 0.687576, 0.967882, J
amount produced/need, avg price, sd, char
 year: 20, pop: 134
1.056127, 0.590764, 0.925339, A
0.692882, 0.940317, 1.090293, B
0.833649, 0.901702, 1.138753, C
0.766002, 0.371770, 0.611318, D
0.626301, 0.721755, 1.140550, E
0.845178, 0.715606, 0.953394, F
0.860978, 0.681114, 0.899287, G
1.236496, 0.673493, 0.963239, H
0.916662, 0.384860, 0.850588, I
0.824019, 0.765212, 1.059179, J
amount produced/need, avg price, sd, char
 year: 21, pop: 137
1.039947, 0.544899, 0.907384, A
0.791196, 1.117827, 1.340898, B
0.818738, 0.823936, 1.149794, C
0.752367, 0.394152, 0.581470, D
0.616033, 0.956422, 1.564890, E
0.876328, 0.705887, 0.976819, F
0.845345, 0.681177, 0.950926, G
1.214416, 0.606930, 0.981936, H
0.900081, 0.372676, 0.862858, I
0.813159, 0.741881, 0.992753, J
amount produced/need, avg price, sd, char
 year: 22, pop: 141
1.017278, 0.542830, 0.979597, A
0.856379, 1.293246, 1.579900, B
0.795457, 0.766046, 1.186579, C
0.739210, 0.415166, 0.613163, D
0.689354, 1.316420, 2.189042, E
0.856635, 0.706689, 1.043569, F
0.826868, 0.709576, 1.012249, G
1.187159, 0.551867, 0.937015, H
0.878516, 0.367025, 0.826640, I
0.858153, 0.765318, 1.109918, J
amount produced/need, avg price, sd, char
 year: 23, pop: 143
0.990294, 0.539025, 0.982515, A
0.916068, 1.283556, 1.450037, B
0.777043, 0.747554, 1.224010, C
0.719757, 0.480997, 0.722224, D
0.774104, 1.654851, 2.551164, E
0.833230, 0.759042, 1.181860, F
0.804877, 0.756612, 1.077658, G
1.154063, 0.565015, 1.030734, H
0.853754, 0.366107, 0.835421, I
0.832435, 0.807235, 1.223195, J
amount produced/need, avg price, sd, char
 year: 24, pop: 143
0.968459, 0.527595, 0.961849, A
0.966219, 1.216412, 0.960854, B
0.762915, 0.741199, 1.254556, C
0.709867, 0.542716, 0.823066, D
0.943030, 1.858557, 2.411083, E
0.815407, 0.700379, 1.044645, F
0.791199, 0.798616, 1.094338, G
1.129421, 0.541217, 1.002650, H
0.834327, 0.363117, 0.814953, I
0.813196, 0.850373, 1.317682, J
amount produced/need, avg price, sd, char
 year: 25, pop: 147
0.936866, 0.512164, 0.888310, A
0.981529, 1.023757, 1.014540, B
0.740476, 0.740846, 1.270982, C
0.683769, 0.518451, 0.649253, D
1.273623, 1.716329, 1.317132, E
0.790057, 0.713366, 1.038718, F
0.773011, 0.858322, 1.237969, G
1.093113, 0.511879, 0.943817, H
0.809132, 0.380949, 0.847481, I
0.787708, 0.881028, 1.307982, J
amount produced/need, avg price, sd, char
 year: 26, pop: 148
0.920693, 0.500513, 0.930373, A
0.959973, 0.818148, 0.917024, B
0.726586, 0.700854, 1.230279, C
0.669012, 0.569207, 0.818304, D
1.447954, 1.282134, 0.873974, E
0.774015, 0.772264, 1.119538, F
0.759432, 0.795531, 1.005943, G
1.069777, 0.499884, 1.002172, H
0.792563, 0.364857, 0.827095, I
0.769335, 0.944538, 1.340975, J
amount produced/need, avg price, sd, char
 year: 27, pop: 148
0.891029, 0.527750, 1.005384, A
0.920873, 0.744148, 0.986496, B
0.706205, 0.750848, 1.353343, C
0.646680, 0.599282, 0.882264, D
1.571302, 0.995981, 0.814522, E
0.747456, 0.827846, 1.155804, F
0.735440, 0.793886, 1.054159, G
1.031530, 0.510864, 0.988986, H
0.763048, 0.418886, 0.952544, I
0.851166, 1.086116, 1.593345, J
amount produced/need, avg price, sd, char
 year: 28, pop: 149
0.882603, 0.455797, 0.863385, A
0.911907, 0.618940, 0.913386, B
0.699339, 0.667454, 1.239190, C
0.638685, 0.544163, 0.723386, D
1.658839, 0.741838, 0.760247, E
0.740199, 0.732129, 1.003985, F
0.728360, 0.755296, 1.043146, G
1.021568, 0.443018, 0.893661, H
0.756420, 0.360825, 0.769022, I
0.842810, 0.943314, 1.184846, J
amount produced/need, avg price, sd, char
 year: 29, pop: 150
0.866220, 0.440124, 0.859822, A
0.894490, 0.580258, 0.952256, B
0.685067, 0.643416, 1.233909, C
0.624111, 0.662390, 0.787594, D
1.631533, 0.590035, 0.738842, E
0.787137, 0.712800, 1.061291, F
0.714601, 0.767773, 1.115498, G
1.002212, 0.434163, 0.911846, H
0.741920, 0.374654, 0.834692, I
0.959415, 0.844728, 1.149342, J
amount produced/need, avg price, sd, char
 year: 30, pop: 148
0.856287, 0.415050, 0.839533, A
0.880083, 0.526212, 0.921400, B
0.671365, 0.600068, 1.197441, C
0.730666, 0.866473, 1.066102, D
1.602948, 0.505417, 0.772893, E
0.776051, 0.674156, 1.083374, F
0.706263, 0.714905, 0.982358, G
0.988683, 0.424367, 0.933211, H
0.731789, 0.333314, 0.710351, I
1.005021, 0.717222, 1.070362, J
amount produced/need, avg price, sd, char
 year: 31, pop: 149
0.834282, 0.418965, 0.846226, A
0.855955, 0.540061, 1.011136, B
0.655630, 0.593751, 1.202123, C
0.947541, 0.937849, 1.063561, D
1.569113, 0.512245, 0.890125, E
0.754789, 0.677649, 1.067420, F
0.686244, 0.721672, 1.037416, G
0.962691, 0.448163, 0.964936, H
