amount produced/need, avg price, sd, char
 year: 1
0.873396, 3.264553, 0.260479, A
1.076404, 3.012581, 0.204434, B
0.552480, 4.731238, 0.882274, C
1.319914, 3.378956, 0.337539, D
0.998943, 3.225054, 0.391849, E
1.059761, 3.319560, 0.236273, F
1.241988, 3.097764, 0.178417, G
1.015411, 3.040983, 0.243802, H
0.465079, 3.860711, 0.537871, I
1.162011, 3.319495, 0.388707, J
amount produced/need, avg price, sd, char
 year: 2
0.873396, 3.409127, 0.190438, A
1.076404, 3.127924, 0.103042, B
0.552480, 6.367094, 0.687651, C
1.319914, 3.537013, 0.150992, D
0.998943, 3.439068, 0.268778, E
1.059761, 3.483973, 0.125160, F
1.241988, 3.121147, 0.080831, G
1.015411, 3.183650, 0.145175, H
0.465079, 5.178675, 0.572446, I
1.162011, 3.441709, 0.197195, J
amount produced/need, avg price, sd, char
 year: 3
0.873396, 3.540071, 0.131481, A
1.076404, 3.248858, 0.073978, B
0.552480, 8.330526, 1.123305, C
1.319914, 3.631052, 0.086420, D
0.998943, 3.763091, 0.244540, E
1.059761, 3.632200, 0.123288, F
1.241988, 3.195141, 0.072213, G
1.015411, 3.306298, 0.105194, H
0.465079, 6.606319, 0.456509, I
1.162011, 3.544335, 0.109322, J
amount produced/need, avg price, sd, char
 year: 4
0.873396, 3.833638, 0.247175, A
1.076404, 3.375710, 0.094752, B
0.552480, 11.019398, 1.187749, C
1.319914, 3.761842, 0.093011, D
0.998943, 3.956791, 0.171846, E
1.059761, 3.832001, 0.155855, F
1.241988, 3.226202, 0.063689, G
1.015411, 3.338325, 0.115835, H
0.465079, 8.386149, 0.680199, I
1.162011, 3.698980, 0.117252, J
amount produced/need, avg price, sd, char
 year: 5
0.873396, 4.154900, 0.233576, A
1.076404, 3.479648, 0.092467, B
0.552480, 14.023435, 1.535733, C
1.319914, 3.832476, 0.073229, D
0.998943, 4.296301, 0.155525, E
1.059761, 3.892396, 0.129504, F
1.241988, 3.300556, 0.064667, G
1.015411, 3.388085, 0.089077, H
0.465079, 11.420502, 1.307910, I
1.162011, 3.802547, 0.088648, J
amount produced/need, avg price, sd, char
 year: 6
0.873396, 4.474117, 0.165520, A
1.076404, 3.692500, 0.101897, B
0.552480, 17.690286, 2.210734, C
1.319914, 3.928136, 0.107133, D
0.998943, 4.514855, 0.148674, E
1.059761, 4.169392, 0.197951, F
1.241988, 3.342154, 0.084728, G
1.015411, 3.451313, 0.059477, H
0.465079, 14.427689, 1.277969, I
1.162011, 4.001885, 0.136610, J
amount produced/need, avg price, sd, char
 year: 7
0.873396, 4.573696, 0.118231, A
1.076404, 3.774679, 0.089395, B
0.552480, 21.572735, 2.122967, C
1.319914, 3.961568, 0.080659, D
0.998943, 4.728920, 0.194784, E
1.059761, 4.389591, 0.136128, F
1.241988, 3.403734, 0.057456, G
1.015411, 3.492611, 0.096117, H
0.465079, 17.775368, 1.272513, I
1.162011, 4.085361, 0.095865, J
amount produced/need, avg price, sd, char
 year: 8
0.873396, 4.886888, 0.231360, A
1.076404, 3.952592, 0.128024, B
0.552480, 29.354749, 4.041222, C
1.319914, 4.063684, 0.085009, D
0.998943, 4.901737, 0.189234, E
1.059761, 4.564099, 0.184688, F
1.241988, 3.452730, 0.082113, G
1.015411, 3.496067, 0.094861, H
0.465079, 22.987450, 2.482847, I
1.162011, 4.363813, 0.144483, J
amount produced/need, avg price, sd, char
 year: 9
0.873396, 5.286027, 0.268992, A
1.076404, 4.306364, 0.231803, B
0.552480, 38.316756, 4.595473, C
1.319914, 4.187829, 0.134805, D
0.998943, 5.109468, 0.142004, E
1.059761, 4.820510, 0.286530, F
1.241988, 3.528405, 0.098651, G
1.015411, 3.576456, 0.107769, H
0.465079, 29.683257, 2.946653, I
1.162011, 4.627404, 0.185683, J
amount produced/need, avg price, sd, char
 year: 10
0.873396, 5.590101, 0.255010, A
1.076404, 4.590283, 0.182796, B
0.552480, 49.154508, 5.521305, C
1.319914, 4.428573, 0.125446, D
0.998943, 5.382083, 0.224572, E
1.059761, 4.991925, 0.181594, F
1.241988, 3.621212, 0.087107, G
1.015411, 3.673444, 0.090642, H
0.465079, 37.492297, 4.412731, I
1.162011, 4.836057, 0.238860, J
