"switch","partners","total.cons"
0,0,28429.721841
0,1,211291.16533
0,2,233859.838702
0,3,242337.197889
0,4,247059.862266
0,5,249197.647471
0,6,250286.671669
0,7,250849.291918
0,8,251809.530074
0,9,252032.280529
0,10,252299.491171
0,11,251997.846713
0,12,252309.620644
0,13,252415.578818
0,14,251604.491464
0,15,250539.559119
0,16,251097.6997
0,17,249275.501689
0,18,250512.589351
0,19,251022.006506
0,20,248635.001985
0,21,246285.612793
0,22,246652.129336
0,23,249676.42468
0,24,246645.482696
0,25,245515.581259
0,26,244954.108638
0,27,246806.010502
0,28,243529.134316
0,29,244024.880755
0,30,244664.531719
0,31,243253.499484
0,32,242743.550835
0,33,241856.651646
0,34,241087.964009
0,35,242280.976872
0,36,245055.388755
0,37,241987.238583
0,38,242666.963129
0,39,241586.413355
0,40,241067.003176
0,41,240391.456446
0,42,241267.45749
0,43,243107.391665
0,44,240335.379059
0,45,238601.161315
0,46,240417.469576
0,47,241617.807587
0,48,240408.606801
0,49,243194.014649
0,50,240401.150781
0,51,240290.91912
0,52,240906.757952
0,53,241691.230863
0,54,238309.009874
0,55,237462.367362
0,56,239409.965346
0,57,239811.461359
0,58,241882.514915
0,59,238174.266708
0,60,238697.577835
0,61,243204.441123
0,62,237092.597077
0,63,239364.271569
0,64,239946.693087
0,65,239815.721191
0,66,240010.062105
0,67,239302.533701
0,68,239604.751672
0,69,235496.506517
0,70,239386.680129
0,71,236755.240192
0,72,234560.701231
0,73,238238.430102
0,74,235868.298935
0,75,240465.315305
0,76,240068.806865
0,77,237098.302976
0,78,236042.601527
0,79,239164.144846
0,80,237389.242936
0,81,237848.176692
0,82,237088.224418
0,83,238630.963995
0,84,236902.427457
0,85,236419.606287
0,86,236757.657686
0,87,237350.429307
0,88,234175.437682
0,89,236232.682153
0,90,232857.671837
0,91,237095.569688
0,92,237722.010484
0,93,237546.474129
0,94,233926.685228
0,95,237707.487444
0,96,237201.900717
0,97,239524.211258
0,98,239088.990812
0,99,236229.361491
0,100,237049.184994
1,0,28429.721841
1,1,210739.887081
1,2,233344.830633
1,3,242540.761135
1,4,246920.977363
1,5,249254.714607
1,6,250282.821897
1,7,251088.710795
1,8,251523.235097
1,9,251980.356342
1,10,252168.069224
1,11,252108.183865
1,12,252354.756827
1,13,252155.975672
1,14,251175.769197
1,15,251709.280769
1,16,250793.951336
1,17,251210.499979
1,18,249419.940644
1,19,249812.992291
1,20,248326.170758
1,21,249904.974961
1,22,246873.190204
1,23,246844.147952
1,24,246689.9091
1,25,245088.736485
1,26,245951.461484
1,27,246379.611183
1,28,246011.116382
1,29,243895.669731
1,30,244659.771986
1,31,245596.790163
1,32,242303.168544
1,33,243925.282367
1,34,244381.314685
1,35,242662.707525
1,36,240491.971459
1,37,245545.000237
1,38,242552.512012
1,39,242725.524409
1,40,241380.513561
1,41,238368.688107
1,42,239733.202869
1,43,243010.305587
1,44,242060.699431
1,45,241129.829573
1,46,241864.187617
1,47,236570.853432
1,48,243872.929118
1,49,241417.513726
1,50,239871.220168
1,51,240902.385339
1,52,243155.58859
1,53,242428.058691
1,54,240121.191208
1,55,238841.776086
1,56,239720.870796
1,57,239645.969171
1,58,237372.282504
1,59,238320.681156
1,60,240123.396494
1,61,237509.263183
1,62,237552.492934
1,63,236653.596748
1,64,240476.367567
1,65,237747.341575
1,66,237230.144593
1,67,241358.168229
1,68,239111.510933
1,69,239763.294968
1,70,240656.45243
1,71,238816.39699
1,72,238185.726795
1,73,238968.270442
1,74,237423.135043
1,75,233874.787285
1,76,236352.863759
1,77,238318.838244
1,78,239569.144745
1,79,236484.787698
1,80,237614.886655
1,81,238670.5405
1,82,234208.852198
1,83,233822.348041
1,84,235956.914624
1,85,237981.849177
1,86,238114.338577
1,87,237012.137861
1,88,238328.634375
1,89,236637.56082
1,90,236530.031324
1,91,235967.173676
1,92,235465.783108
1,93,235992.936337
1,94,234193.953991
1,95,237655.28721
1,96,233517.595711
1,97,237353.10292
1,98,237726.69719
1,99,238898.447145
1,100,240351.186798
2,0,28468.434392
2,1,210746.86011
2,2,233467.294913
2,3,242515.326291
2,4,246874.728463
2,5,248912.4955
2,6,250263.179645
2,7,250920.860927
2,8,251675.151691
2,9,252058.770808
2,10,252267.404976
2,11,252639.797132
2,12,252130.90754
2,13,252263.659947
2,14,251388.762122
2,15,250698.435507
2,16,251850.708037
2,17,251032.036153
2,18,249769.615608
2,19,248714.881221
2,20,250335.959279
2,21,248919.766238
2,22,247989.179072
2,23,246985.669958
2,24,246824.635351
2,25,248066.49991
2,26,246472.603426
2,27,247159.88688
2,28,246887.652826
2,29,247520.904937
2,30,245141.628372
2,31,243467.569141
2,32,243473.407447
2,33,241972.454261
2,34,244859.050658
2,35,242131.41547
2,36,242231.285561
2,37,238788.825284
2,38,235626.877101
2,39,240950.611353
2,40,244766.969665
2,41,240081.977653
2,42,242356.482989
2,43,242630.374257
2,44,240030.963718
2,45,241328.907255
2,46,241468.709549
2,47,239561.878112
2,48,238442.287656
2,49,240741.37429
2,50,243224.610981
2,51,242003.598559
2,52,242137.928513
2,53,239489.05518
2,54,240094.954904
2,55,238729.70051
2,56,238552.485423
2,57,241035.703292
2,58,242384.530494
2,59,238237.415399
2,60,239228.621249
2,61,234496.793999
2,62,235260.47775
2,63,236779.506285
2,64,240343.952397
2,65,236544.88046
2,66,239816.140122
2,67,238288.677062
2,68,237986.119017
2,69,237888.164306
2,70,236139.695592
2,71,238154.529839
2,72,235774.566568
2,73,239685.871842
2,74,235003.312624
2,75,234823.242512
2,76,239924.020819
2,77,237221.956273
2,78,239100.037372
2,79,235246.583717
2,80,236614.123711
2,81,237654.415764
2,82,237476.943171
2,83,238408.789497
2,84,235757.856947
2,85,232566.879559
2,86,239757.912141
2,87,237129.192513
2,88,235301.967172
2,89,245006.643625
2,90,232437.234829
2,91,233322.047291
2,92,235450.886214
2,93,237936.735456
2,94,237635.943795
2,95,240328.989113
2,96,237095.546885
2,97,237575.575046
2,98,238003.073118
2,99,237883.447304
2,100,242653.70822
3,0,28468.434392
3,1,210054.378375
3,2,232489.960313
3,3,242358.617292
3,4,246657.908147
3,5,249005.244364
