amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.883466, 2.781534, 0.714643, 2.978407, 2.362394, A
0.883466, 2.812142, 0.545003, 2.978407, 2.422738, A
0.883466, 2.916543, 0.545648, 2.978407, 2.372642, A
0.883466, 3.016322, 0.576422, 2.978407, 2.239921, A
0.883466, 3.106743, 0.427783, 2.978407, 2.355056, A
0.883466, 3.203536, 0.458153, 2.978407, 2.278179, A
0.883466, 3.355492, 0.490661, 2.978407, 2.118538, A
0.883466, 3.449822, 0.485380, 2.978407, 2.302764, A
0.883466, 3.604895, 0.479132, 2.978407, 2.246870, A
0.883466, 3.563858, 0.488956, 2.978407, 2.595916, A
0.883466, 3.685181, 0.528748, 2.978407, 2.305618, A
0.883466, 3.806267, 0.660733, 2.978407, 2.383057, A
0.883466, 3.834540, 0.532615, 2.978407, 2.453944, A
0.883466, 4.064751, 0.556279, 2.978407, 2.271127, A
0.883466, 4.115707, 0.521851, 2.978407, 2.343813, A
0.883466, 3.973019, 0.520841, 2.978407, 2.589459, A
0.883466, 3.975414, 0.509419, 2.978407, 2.505036, A
0.883466, 4.237094, 0.649281, 2.978407, 2.099474, A
0.883466, 4.327348, 0.669769, 2.978407, 2.386754, A
0.883466, 4.396743, 0.698593, 2.978407, 2.324079, A
0.883466, 4.547736, 0.722243, 2.978407, 2.237833, A
0.883466, 4.613678, 0.710178, 2.978407, 2.452424, A
0.883466, 4.894792, 0.851298, 2.978407, 2.129258, A
0.883466, 5.064637, 0.895494, 2.978407, 2.360222, A
0.883466, 5.193144, 0.764433, 2.978407, 2.302111, A
0.883466, 5.314223, 0.853993, 2.978407, 2.389111, A
0.883466, 5.453036, 0.754654, 2.978407, 2.393881, A
0.883466, 5.580527, 0.744759, 2.978407, 2.391358, A
0.883466, 5.545850, 0.706800, 2.978407, 2.623585, A
0.883466, 5.754495, 0.811439, 2.978407, 2.263921, A
0.883466, 5.880384, 0.892594, 2.978407, 2.378710, A
0.883466, 5.969264, 0.813057, 2.978407, 2.293803, A
0.883466, 6.034746, 0.878837, 2.978407, 2.362842, A
0.883466, 6.112199, 0.796984, 2.978407, 2.323157, A
0.883466, 6.514020, 0.894279, 2.978407, 2.281950, A
0.883466, 6.906301, 0.915160, 2.978407, 2.222382, A
0.883466, 7.345855, 0.964147, 2.978407, 2.244123, A
0.883466, 7.810514, 1.185456, 2.978407, 2.126409, A
0.883466, 7.943329, 1.079347, 2.978407, 2.417393, A
0.883466, 8.215638, 1.271305, 2.978407, 2.195775, A
0.883466, 8.577317, 1.533169, 2.978407, 2.224011, A
0.883466, 8.869945, 1.396319, 2.978407, 2.258152, A
0.883466, 8.995679, 1.244323, 2.978407, 2.464285, A
0.883466, 9.369859, 1.473923, 2.978407, 2.315376, A
0.883466, 9.963731, 1.419169, 2.978407, 2.153259, A
0.883466, 10.201018, 1.467815, 2.978407, 2.332053, A
0.883466, 10.530806, 1.370884, 2.978407, 2.277922, A
0.883466, 10.992835, 1.430421, 2.978407, 2.386829, A
0.883466, 11.201859, 1.574010, 2.978407, 2.388251, A
0.883466, 11.661272, 1.927478, 2.978407, 2.195247, A
0.883466, 12.051315, 2.045262, 2.978407, 2.418700, A
0.883466, 12.417357, 2.054920, 2.978407, 2.189159, A
0.883466, 12.626919, 1.813641, 2.978407, 2.390871, A
0.883466, 12.775031, 1.796817, 2.978407, 2.435344, A
0.883466, 13.200558, 1.906662, 2.978407, 2.345992, A
0.883466, 13.743751, 2.459211, 2.978407, 2.361906, A
0.883466, 14.103191, 2.019233, 2.978407, 2.381560, A
0.883466, 14.286589, 1.742317, 2.978407, 2.423071, A
0.883466, 14.529234, 1.792091, 2.978407, 2.449831, A
0.883466, 15.260787, 2.163846, 2.978407, 2.150812, A
0.883466, 15.506921, 2.144177, 2.978407, 2.466883, A
0.883466, 16.014553, 1.973460, 2.978407, 2.228021, A
0.883466, 16.594461, 2.039368, 2.978407, 2.412337, A
0.883466, 17.528086, 2.727719, 2.978407, 2.330700, A
0.883466, 17.764349, 2.557068, 2.978407, 2.371630, A
0.883466, 18.711499, 2.871383, 2.978407, 2.215331, A
0.883466, 19.019215, 2.890188, 2.978407, 2.324687, A
0.883466, 19.587046, 3.109899, 2.978407, 2.265433, A
0.883466, 20.499342, 3.205820, 2.978407, 2.286424, A
0.883466, 21.044826, 3.004082, 2.978407, 2.273242, A
0.883466, 21.485829, 3.043244, 2.978407, 2.392856, A
0.883466, 21.453434, 2.709520, 2.978407, 2.558923, A
0.883466, 22.259802, 3.080405, 2.978407, 2.239582, A
0.883466, 22.115388, 3.166379, 2.978407, 2.535750, A
0.883466, 22.556503, 3.331607, 2.978407, 2.440711, A
0.883466, 23.282717, 3.599060, 2.978407, 2.353273, A
0.883466, 24.061438, 4.327171, 2.978407, 2.441128, A
0.883466, 24.341970, 3.400744, 2.978407, 2.442883, A
0.883466, 24.992183, 3.561627, 2.978407, 2.399908, A
0.883466, 25.498386, 3.725292, 2.978407, 2.389190, A
0.883466, 26.067966, 3.683022, 2.978407, 2.439949, A
0.883466, 25.846256, 3.737430, 2.978407, 2.482644, A
0.883466, 26.739655, 3.585342, 2.978407, 2.263589, A
0.883466, 26.943377, 3.564872, 2.978407, 2.387414, A
0.883466, 28.414849, 4.412810, 2.978407, 2.198827, A
0.883466, 30.016998, 4.607617, 2.978407, 2.187399, A
0.883466, 31.532816, 4.754607, 2.978407, 2.286934, A
0.883466, 32.809220, 5.158100, 2.978407, 2.212495, A
0.883466, 34.024314, 4.945915, 2.978407, 2.232639, A
0.883466, 35.220527, 5.544693, 2.978407, 2.231756, A
0.883466, 36.699392, 5.355495, 2.978407, 2.241676, A
0.883466, 36.896330, 5.613998, 2.978407, 2.497852, A
0.883466, 37.560183, 5.598426, 2.978407, 2.365014, A
