amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.793129, 3.441090, 0.865425, 2.021896, 1.405422, C
0.793129, 3.818592, 0.796821, 2.021896, 1.304327, C
0.793129, 4.315683, 0.896616, 2.021896, 1.214371, C
0.793129, 4.693153, 0.665075, 2.021896, 1.381217, C
0.793129, 5.256220, 0.806200, 2.021896, 1.248765, C
0.793129, 5.899749, 0.871486, 2.021896, 1.199246, C
0.793129, 6.652472, 1.098720, 2.021896, 1.320560, C
0.793129, 7.155864, 1.309432, 2.021896, 1.446268, C
0.793129, 8.071303, 1.477922, 2.021896, 1.280122, C
0.793129, 8.869132, 1.349842, 2.021896, 1.437187, C
0.793129, 10.156097, 1.553632, 2.021896, 1.184122, C
0.793129, 11.168461, 1.530355, 2.021896, 1.374889, C
0.793129, 12.663727, 1.972227, 2.021896, 1.214371, C
0.793129, 14.310423, 2.394845, 2.021896, 1.295246, C
0.793129, 16.498643, 3.276668, 2.021896, 1.194152, C
0.793129, 19.092231, 3.449622, 2.021896, 1.199246, C
0.793129, 21.150134, 3.603272, 2.021896, 1.335684, C
0.793129, 23.836198, 4.014999, 2.021896, 1.259903, C
0.793129, 25.742602, 3.837014, 2.021896, 1.435546, C
0.793129, 27.859610, 4.230388, 2.021896, 1.501297, C
0.793129, 31.139933, 4.368884, 2.021896, 1.239684, C
0.793129, 35.291149, 5.657475, 2.021896, 1.275027, C
0.793129, 40.225952, 6.518509, 2.021896, 1.179027, C
0.793129, 46.042546, 8.879971, 2.021896, 1.153714, C
0.793129, 49.560449, 8.677928, 2.021896, 1.436779, C
0.793129, 54.407517, 7.967009, 2.021896, 1.366625, C
0.793129, 58.116782, 7.739393, 2.021896, 1.436779, C
0.793129, 63.466913, 8.812389, 2.021896, 1.376531, C
0.793129, 69.374533, 9.788216, 2.021896, 1.330874, C
0.793129, 77.541467, 10.815931, 2.021896, 1.290436, C
0.793129, 83.482747, 13.899296, 2.021896, 1.426874, C
0.793129, 90.096891, 13.649906, 2.021896, 1.335968, C
0.793129, 100.214136, 17.247087, 2.021896, 1.355903, C
0.793129, 109.131987, 18.020378, 2.021896, 1.376122, C
0.793129, 122.764292, 18.549753, 2.021896, 1.280122, C
0.793129, 140.127283, 22.955582, 2.021896, 1.315465, C
0.793129, 149.940339, 22.890086, 2.021896, 1.361406, C
0.793129, 169.409856, 25.787443, 2.021896, 1.265122, C
0.793129, 196.545426, 31.755111, 2.021896, 1.214654, C
0.793129, 218.412718, 31.696901, 2.021896, 1.334451, C
