amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.124094, 3.039063, 0.834219, 2.585320, 2.202024, D
1.124094, 3.032120, 0.566756, 2.585320, 2.223731, D
1.124094, 3.012040, 0.484366, 2.585320, 2.166466, D
1.124094, 2.968006, 0.412885, 2.585320, 2.257907, D
1.124094, 2.830074, 0.490271, 2.585320, 2.313810, D
1.124094, 2.768414, 0.411738, 2.585320, 2.269878, D
1.124094, 2.687500, 0.409945, 2.585320, 2.223375, D
1.124094, 2.602073, 0.392423, 2.585320, 2.359898, D
1.124094, 2.571870, 0.439950, 2.585320, 2.269878, D
1.124094, 2.608698, 0.458110, 2.585320, 2.126110, D
1.124094, 2.589828, 0.410756, 2.585320, 2.174780, D
1.124094, 2.555300, 0.365239, 2.585320, 2.275438, D
1.124094, 2.460316, 0.333498, 2.585320, 2.421886, D
1.124094, 2.460367, 0.401525, 2.585320, 2.172025, D
1.124094, 2.442109, 0.372994, 2.585320, 2.232659, D
1.124094, 2.370411, 0.369078, 2.585320, 2.329651, D
1.124094, 2.307291, 0.352229, 2.585320, 2.209253, D
1.124094, 2.285503, 0.387737, 2.585320, 2.189207, D
1.124094, 2.294422, 0.370840, 2.585320, 2.171668, D
1.124094, 2.162505, 0.330356, 2.585320, 2.304046, D
1.124094, 2.149576, 0.316398, 2.585320, 2.174780, D
1.124094, 2.154316, 0.402909, 2.585320, 2.200633, D
1.124094, 2.071463, 0.387012, 2.585320, 2.352641, D
1.124094, 2.017625, 0.313461, 2.585320, 2.292620, D
1.124094, 1.988437, 0.298754, 2.585320, 2.281253, D
1.124094, 1.922665, 0.259726, 2.585320, 2.332960, D
1.124094, 1.897713, 0.266551, 2.585320, 2.171985, D
1.124094, 1.825176, 0.236255, 2.585320, 2.223731, D
1.124094, 1.727705, 0.220346, 2.585320, 2.309614, D
1.124094, 1.673105, 0.197999, 2.585320, 2.298239, D
1.124094, 1.645751, 0.216545, 2.585320, 2.220438, D
1.124094, 1.633870, 0.245457, 2.585320, 2.145815, D
1.124094, 1.574234, 0.252874, 2.585320, 2.244025, D
1.124094, 1.501226, 0.232620, 2.585320, 2.318533, D
1.124094, 1.435383, 0.204009, 2.585320, 2.275081, D
1.124094, 1.417400, 0.221714, 2.585320, 2.254787, D
1.124094, 1.381775, 0.220160, 2.585320, 2.216860, D
1.124094, 1.374774, 0.208719, 2.585320, 2.223375, D
1.124094, 1.363318, 0.216728, 2.585320, 2.111648, D
1.124094, 1.358572, 0.209985, 2.585320, 2.120327, D
1.124094, 1.328892, 0.211072, 2.585320, 2.215120, D
1.124094, 1.277810, 0.193621, 2.585320, 2.352641, D
1.124094, 1.256229, 0.184156, 2.585320, 2.197878, D
1.124094, 1.236119, 0.192260, 2.585320, 2.246532, D
1.124094, 1.181735, 0.172789, 2.585320, 2.333405, D
1.124094, 1.176220, 0.162503, 2.585320, 2.019661, D
1.124094, 1.118358, 0.156940, 2.585320, 2.272326, D
1.124094, 1.117228, 0.173781, 2.585320, 2.197522, D
1.124094, 1.089764, 0.169147, 2.585320, 2.373291, D
1.124094, 1.056127, 0.154650, 2.585320, 2.300934, D
1.124094, 1.017466, 0.140276, 2.585320, 2.300934, D
1.124094, 0.992852, 0.143568, 2.585320, 2.300934, D
1.124094, 0.918120, 0.126830, 2.585320, 2.481907, D
1.124094, 0.839139, 0.103975, 2.585320, 2.423031, D
1.124094, 0.819775, 0.108902, 2.585320, 2.230584, D
1.124094, 0.788588, 0.118286, 2.585320, 2.263715, D
1.124094, 0.765516, 0.110279, 2.585320, 2.223731, D
1.124094, 0.738894, 0.109133, 2.585320, 2.326788, D
1.124094, 0.715088, 0.099462, 2.585320, 2.312053, D
1.124094, 0.697514, 0.098134, 2.585320, 2.272385, D
1.124094, 0.696268, 0.105253, 2.585320, 2.244025, D
1.124094, 0.666794, 0.093068, 2.585320, 2.143119, D
1.124094, 0.647623, 0.086241, 2.585320, 2.249228, D
1.124094, 0.624284, 0.085922, 2.585320, 2.281253, D
1.124094, 0.605381, 0.088307, 2.585320, 2.266767, D
1.124094, 0.575416, 0.082383, 2.585320, 2.318473, D
1.124094, 0.555299, 0.081736, 2.585320, 2.306494, D
1.124094, 0.538162, 0.076842, 2.585320, 2.252340, D
1.124094, 0.521207, 0.065396, 2.585320, 2.275081, D
1.124094, 0.502894, 0.056196, 2.585320, 2.198003, D
1.124094, 0.511244, 0.068348, 2.585320, 2.021111, D
1.124094, 0.495769, 0.061394, 2.585320, 2.383055, D
1.124094, 0.475802, 0.065090, 2.585320, 2.326788, D
1.124094, 0.466063, 0.068715, 2.585320, 2.125521, D
1.124094, 0.462088, 0.057272, 2.585320, 2.272326, D
1.124094, 0.447312, 0.058887, 2.585320, 2.329899, D
1.124094, 0.433042, 0.060553, 2.585320, 2.237861, D
1.124094, 0.410000, 0.062202, 2.585320, 2.300934, D
1.124094, 0.402092, 0.057986, 2.585320, 2.275081, D
1.124094, 0.389691, 0.059995, 2.585320, 2.269878, D
1.124094, 0.379462, 0.051026, 2.585320, 2.344326, D
1.124094, 0.372619, 0.059796, 2.585320, 2.123074, D
1.124094, 0.373660, 0.057479, 2.585320, 2.189207, D
1.124094, 0.359247, 0.050126, 2.585320, 2.329899, D
1.124094, 0.352577, 0.051202, 2.585320, 2.215060, D
1.124094, 0.347898, 0.059482, 2.585320, 2.174780, D
1.124094, 0.331302, 0.053061, 2.585320, 2.332960, D
1.124094, 0.312101, 0.044237, 2.585320, 2.462226, D
1.124094, 0.301021, 0.041702, 2.585320, 2.292620, D
1.124094, 0.289200, 0.036997, 2.585320, 2.456054, D
1.124094, 0.281142, 0.041253, 2.585320, 2.347190, D
1.124094, 0.277077, 0.043202, 2.585320, 2.145815, D
1.124094, 0.272955, 0.044658, 2.585320, 2.189267, D
1.124094, 0.262497, 0.039404, 2.585320, 2.297990, D
1.124094, 0.255585, 0.041771, 2.585320, 2.252340, D
1.124094, 0.249473, 0.042266, 2.585320, 2.228934, D
1.124094, 0.233826, 0.034653, 2.585320, 2.404347, D
1.124094, 0.221447, 0.032690, 2.585320, 2.373043, D
1.124094, 0.215940, 0.028511, 2.585320, 2.278193, D
1.124094, 0.215723, 0.033800, 2.585320, 2.237861, D
