amtProduced_need, avg_price, sd, consumption_rate, consumed, char
1.412168, 2.853254, 0.706609, 2.509260, 2.363300, E
1.412168, 2.724099, 0.566864, 2.509260, 2.233242, E
1.412168, 2.570867, 0.452069, 2.509260, 2.385609, E
1.412168, 2.334819, 0.364725, 2.509260, 2.400850, E
1.412168, 2.166956, 0.314820, 2.509260, 2.341706, E
1.412168, 2.063629, 0.299475, 2.509260, 2.209843, E
1.412168, 1.995879, 0.307869, 2.509260, 2.270707, E
1.412168, 1.845632, 0.327616, 2.509260, 2.337774, E
1.412168, 1.704949, 0.273474, 2.509260, 2.433983, E
1.412168, 1.614180, 0.243789, 2.509260, 2.333612, E
1.412168, 1.480762, 0.202460, 2.509260, 2.378415, E
1.412168, 1.412721, 0.202332, 2.509260, 2.248516, E
1.412168, 1.336820, 0.187587, 2.509260, 2.283427, E
1.412168, 1.237518, 0.180095, 2.509260, 2.346300, E
1.412168, 1.133696, 0.175162, 2.509260, 2.359892, E
1.412168, 1.078778, 0.171126, 2.509260, 2.272250, E
1.412168, 1.015095, 0.177932, 2.509260, 2.268403, E
1.412168, 0.960664, 0.170158, 2.509260, 2.358705, E
1.412168, 0.905442, 0.151722, 2.509260, 2.215146, E
1.412168, 0.847295, 0.129231, 2.509260, 2.300710, E
1.412168, 0.808379, 0.146173, 2.509260, 2.278885, E
1.412168, 0.747598, 0.122129, 2.509260, 2.383797, E
1.412168, 0.711046, 0.099389, 2.509260, 2.289707, E
1.412168, 0.659679, 0.107931, 2.509260, 2.320229, E
1.412168, 0.631023, 0.130497, 2.509260, 2.277027, E
1.412168, 0.578735, 0.106166, 2.509260, 2.408890, E
1.412168, 0.537236, 0.089129, 2.509260, 2.308520, E
1.412168, 0.499996, 0.087055, 2.509260, 2.333612, E
1.412168, 0.473607, 0.067790, 2.509260, 2.311397, E
1.412168, 0.436170, 0.056514, 2.509260, 2.323793, E
1.412168, 0.419730, 0.053368, 2.509260, 2.265995, E
1.412168, 0.401253, 0.060382, 2.509260, 2.278373, E
1.412168, 0.379807, 0.054380, 2.509260, 2.283427, E
1.412168, 0.366711, 0.055178, 2.509260, 2.189626, E
1.412168, 0.343359, 0.054375, 2.509260, 2.256897, E
1.412168, 0.323769, 0.063337, 2.509260, 2.243724, E
1.412168, 0.294511, 0.049120, 2.509260, 2.433983, E
1.412168, 0.274225, 0.045058, 2.509260, 2.396773, E
1.412168, 0.259978, 0.040727, 2.509260, 2.202756, E
1.412168, 0.239448, 0.037274, 2.509260, 2.377398, E
1.412168, 0.227436, 0.036298, 2.509260, 2.319002, E
1.412168, 0.215115, 0.036413, 2.509260, 2.308520, E
1.412168, 0.204035, 0.035999, 2.509260, 2.280526, E
1.412168, 0.192119, 0.031719, 2.509260, 2.231634, E
1.412168, 0.179869, 0.027606, 2.509260, 2.358705, E
1.412168, 0.171232, 0.025341, 2.509260, 2.323793, E
1.412168, 0.165532, 0.025122, 2.509260, 2.174618, E
1.412168, 0.157255, 0.024526, 2.509260, 2.261321, E
1.412168, 0.154403, 0.025632, 2.509260, 2.198330, E
1.412168, 0.144714, 0.024951, 2.509260, 2.320229, E
1.412168, 0.135017, 0.020701, 2.509260, 2.442193, E
1.412168, 0.126441, 0.020165, 2.509260, 2.327213, E
1.412168, 0.121381, 0.018807, 2.509260, 2.231771, E
1.412168, 0.114530, 0.017770, 2.509260, 2.306912, E
1.412168, 0.106622, 0.015256, 2.509260, 2.362203, E
1.412168, 0.097446, 0.013077, 2.509260, 2.443836, E
1.412168, 0.090884, 0.012781, 2.509260, 2.323793, E
1.412168, 0.084803, 0.012106, 2.509260, 2.392008, E
1.412168, 0.081109, 0.011136, 2.509260, 2.251935, E
1.412168, 0.077205, 0.011941, 2.509260, 2.261833, E
1.412168, 0.070950, 0.009338, 2.509260, 2.392987, E
1.412168, 0.066549, 0.009899, 2.509260, 2.312018, E
1.412168, 0.060999, 0.008324, 2.509260, 2.432375, E
1.412168, 0.057765, 0.009178, 2.509260, 2.208149, E
1.412168, 0.055464, 0.008794, 2.509260, 2.165880, E
1.412168, 0.052856, 0.008384, 2.509260, 2.250327, E
1.412168, 0.048324, 0.006998, 2.509260, 2.408890, E
1.412168, 0.047110, 0.007502, 2.509260, 2.122856, E
1.412168, 0.044782, 0.007731, 2.509260, 2.243724, E
1.412168, 0.042021, 0.006648, 2.509260, 2.333612, E
1.412168, 0.039873, 0.006601, 2.509260, 2.272086, E
1.412168, 0.036245, 0.005530, 2.509260, 2.341823, E
1.412168, 0.033839, 0.004833, 2.509260, 2.374642, E
1.412168, 0.032249, 0.004664, 2.509260, 2.303296, E
1.412168, 0.030854, 0.004748, 2.509260, 2.122856, E
1.412168, 0.028763, 0.004460, 2.509260, 2.308520, E
1.412168, 0.026658, 0.004217, 2.509260, 2.283427, E
1.412168, 0.025336, 0.003834, 2.509260, 2.208149, E
1.412168, 0.024072, 0.003746, 2.509260, 2.344094, E
1.412168, 0.023036, 0.003520, 2.509260, 2.348916, E
1.412168, 0.021382, 0.003058, 2.509260, 2.358875, E
1.412168, 0.020035, 0.003103, 2.509260, 2.333612, E
1.412168, 0.019119, 0.003047, 2.509260, 2.272180, E
1.412168, 0.017775, 0.002850, 2.509260, 2.344094, E
1.412168, 0.016490, 0.002585, 2.509260, 2.378585, E
1.412168, 0.015546, 0.002259, 2.509260, 2.340182, E
1.412168, 0.014774, 0.002362, 2.509260, 2.258334, E
1.412168, 0.014269, 0.002155, 2.509260, 2.261833, E
