amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.453340, 3.478504, 1.000236, 4.986297, 2.260487, F
0.453340, 4.092272, 0.874264, 4.986297, 2.260487, F
0.453340, 4.795216, 0.841316, 4.986297, 2.260487, F
0.453340, 5.592739, 0.793258, 4.986297, 2.260487, F
0.453340, 6.738008, 1.091435, 4.986297, 2.260487, F
0.453340, 7.977731, 1.312413, 4.986297, 2.260487, F
0.453340, 9.640513, 1.619575, 4.986297, 2.260487, F
0.453340, 11.684745, 1.975255, 4.986297, 2.174653, F
0.453340, 13.642182, 2.220417, 4.986297, 2.346320, F
0.453340, 16.105654, 2.584884, 4.986297, 2.260487, F
0.453340, 19.299329, 3.124162, 4.986297, 2.260487, F
0.453340, 22.583492, 3.508039, 4.986297, 2.260487, F
0.453340, 27.008996, 4.549279, 4.986297, 2.260487, F
0.453340, 31.458877, 5.164662, 4.986297, 2.260487, F
0.453340, 37.182227, 6.452716, 4.986297, 2.260487, F
0.453340, 44.181072, 6.531460, 4.986297, 2.260487, F
0.453340, 52.446968, 7.554062, 4.986297, 2.260487, F
0.453340, 62.796237, 9.294851, 4.986297, 2.260487, F
0.453340, 74.727228, 12.771550, 4.986297, 2.260487, F
0.453340, 88.289709, 14.950812, 4.986297, 2.207251, F
0.453340, 103.074416, 14.277072, 4.986297, 2.313722, F
0.453340, 122.209302, 18.260673, 4.986297, 2.260487, F
0.453340, 144.427084, 22.789331, 4.986297, 2.260487, F
0.453340, 172.574069, 26.744621, 4.986297, 2.260487, F
0.453340, 201.132629, 28.562181, 4.986297, 2.260487, F
0.453340, 240.766892, 37.154349, 4.986297, 2.224516, F
0.453340, 285.055104, 44.104300, 4.986297, 2.199331, F
0.453340, 335.755829, 48.780013, 4.986297, 2.316553, F
0.453340, 393.179288, 56.725808, 4.986297, 2.301546, F
0.453340, 460.166591, 65.541598, 4.986297, 2.260487, F
0.453340, 550.948663, 76.204969, 4.986297, 2.260487, F
0.453340, 652.993428, 100.430568, 4.986297, 2.260487, F
0.453340, 780.169808, 154.565462, 4.986297, 2.260487, F
0.453340, 910.305874, 195.946754, 4.986297, 2.260487, F
0.453340, 1059.100662, 151.481842, 4.986297, 2.260487, F
0.453340, 1245.876201, 175.475469, 4.986297, 2.260487, F
0.453340, 1458.940540, 221.861188, 4.986297, 2.260487, F
0.453340, 1740.487886, 263.527451, 4.986297, 2.224516, F
0.453340, 2070.455751, 345.056436, 4.986297, 2.296457, F
0.453340, 2461.036386, 384.426359, 4.986297, 2.260487, F
0.453340, 2913.893830, 453.073211, 4.986297, 2.260487, F
0.453340, 3405.771871, 484.467816, 4.986297, 2.260487, F
0.453340, 3957.471732, 537.384092, 4.986297, 2.260487, F
0.453340, 4660.733242, 748.970146, 4.986297, 2.260487, F
0.453340, 5613.216558, 911.181877, 4.986297, 2.260487, F
0.453340, 6726.681254, 1194.295457, 4.986297, 2.260487, F
0.453340, 8079.574417, 1468.089397, 4.986297, 2.260487, F
0.453340, 9599.321603, 1645.505200, 4.986297, 2.260487, F
0.453340, 11249.933142, 1524.902865, 4.986297, 2.260487, F
0.453340, 13181.236035, 1830.201127, 4.986297, 2.260487, F
0.453340, 15406.028131, 2319.871167, 4.986297, 2.260487, F
0.453340, 18190.231924, 2478.523615, 4.986297, 2.218470, F
0.453340, 21522.239156, 3066.804699, 4.986297, 2.302503, F
0.453340, 25689.728099, 3953.539465, 4.986297, 2.260487, F
0.453340, 30449.467176, 4454.278736, 4.986297, 2.260487, F
0.453340, 36067.087918, 5783.949889, 4.986297, 2.232390, F
0.453340, 43194.717907, 6524.911682, 4.986297, 2.288583, F
