amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.724490, 3.393271, 0.937383, 2.632789, 1.603576, G
0.724490, 3.883546, 0.966962, 2.632789, 1.617448, G
0.724490, 4.416746, 0.875022, 2.632789, 1.643154, G
0.724490, 4.831797, 0.904187, 2.632789, 1.875239, G
0.724490, 5.484946, 1.027842, 2.632789, 1.710566, G
0.724490, 6.065206, 1.084661, 2.632789, 1.705079, G
0.724490, 6.416446, 0.884956, 2.632789, 1.958539, G
0.724490, 7.104218, 1.041503, 2.632789, 1.733782, G
0.724490, 7.493466, 1.304056, 2.632789, 1.901567, G
0.724490, 8.187315, 1.166721, 2.632789, 1.841318, G
0.724490, 9.206258, 1.458752, 2.632789, 1.555462, G
0.724490, 9.797253, 1.457288, 2.632789, 1.769928, G
0.724490, 10.945380, 1.632486, 2.632789, 1.705239, G
0.724490, 11.992899, 1.872171, 2.632789, 1.743616, G
0.724490, 13.347490, 2.215561, 2.632789, 1.656426, G
0.724490, 13.810032, 2.087590, 2.632789, 2.023404, G
0.724490, 15.410172, 2.608217, 2.632789, 1.682008, G
0.724490, 16.741591, 2.379079, 2.632789, 1.790296, G
0.724490, 18.825450, 2.625612, 2.632789, 1.731406, G
0.724490, 20.488398, 3.216969, 2.632789, 1.778005, G
0.724490, 22.146851, 3.591259, 2.632789, 1.778103, G
0.724490, 23.417888, 3.646767, 2.632789, 1.945790, G
0.724490, 24.665009, 3.692252, 2.632789, 1.938187, G
0.724490, 26.663671, 3.879860, 2.632789, 1.774244, G
0.724490, 28.958194, 4.365811, 2.632789, 1.736894, G
0.724490, 29.943620, 3.940262, 2.632789, 1.949892, G
0.724490, 33.351311, 4.533363, 2.632789, 1.755520, G
0.724490, 37.755117, 6.260068, 2.632789, 1.605254, G
0.724490, 41.966841, 7.158839, 2.632789, 1.733035, G
0.724490, 46.178783, 8.005339, 2.632789, 1.818253, G
0.724490, 49.445677, 7.890210, 2.632789, 1.926658, G
0.724490, 50.078757, 7.913082, 2.632789, 2.113819, G
0.724490, 53.218849, 8.134910, 2.632789, 1.867049, G
0.724490, 59.034440, 8.410465, 2.632789, 1.646464, G
0.724490, 62.110595, 8.647177, 2.632789, 2.000173, G
0.724490, 66.746727, 9.684303, 2.632789, 1.960655, G
0.724490, 72.682954, 11.926035, 2.632789, 1.824685, G
0.724490, 77.014886, 10.663950, 2.632789, 1.964027, G
0.724490, 86.274674, 12.802371, 2.632789, 1.631582, G
0.724490, 93.035937, 12.731472, 2.632789, 1.812019, G
0.724490, 99.692106, 14.069738, 2.632789, 1.891002, G
0.724490, 114.244366, 17.162385, 2.632789, 1.564792, G
0.724490, 124.407799, 21.285573, 2.632789, 1.973845, G
0.724490, 130.261510, 19.682278, 2.632789, 2.000529, G
0.724490, 136.649965, 17.718437, 2.632789, 1.938187, G
0.724490, 149.115464, 22.387827, 2.632789, 1.802216, G
0.724490, 161.481283, 25.700445, 2.632789, 1.868533, G
0.724490, 170.873119, 23.815319, 2.632789, 2.010738, G
0.724490, 190.997852, 29.738728, 2.632789, 1.684985, G
0.724490, 215.688983, 35.186678, 2.632789, 1.632445, G
0.724490, 233.007645, 33.430899, 2.632789, 1.897724, G
0.724490, 254.207557, 37.223878, 2.632789, 1.751775, G
0.724490, 279.941365, 42.356717, 2.632789, 1.784078, G
0.724490, 299.621675, 46.644587, 2.632789, 1.856972, G
0.724490, 331.419810, 52.153812, 2.632789, 1.702864, G
0.724490, 362.962906, 57.022995, 2.632789, 1.751775, G
0.724490, 407.661168, 59.997598, 2.632789, 1.868435, G
0.724490, 449.025819, 63.520544, 2.632789, 1.710566, G
0.724490, 500.801169, 74.629437, 2.632789, 1.632329, G
0.724490, 531.603207, 73.392970, 2.632789, 1.972575, G
0.724490, 586.001016, 86.824281, 2.632789, 1.737641, G
0.724490, 638.170594, 89.153559, 2.632789, 1.792139, G
0.724490, 701.144220, 97.085703, 2.632789, 1.723233, G
0.724490, 748.165888, 115.566468, 2.632789, 1.929981, G
0.724490, 830.380945, 122.631495, 2.632789, 1.684238, G
0.724490, 921.352063, 147.790854, 2.632789, 1.706707, G
0.724490, 1021.908526, 150.826463, 2.632789, 1.697553, G
0.724490, 1142.721435, 183.952292, 2.632789, 1.680395, G
0.724490, 1238.914196, 204.774072, 2.632789, 1.840722, G
0.724490, 1375.797700, 253.458423, 2.632789, 1.603626, G
0.724490, 1500.525563, 271.367825, 2.632789, 1.853145, G
0.724490, 1628.289319, 279.957892, 2.632789, 1.845052, G
0.724490, 1772.985949, 297.855801, 2.632789, 1.812019, G
0.724490, 2023.959981, 312.191537, 2.632789, 1.603771, G
0.724490, 2125.196350, 296.657907, 2.632789, 2.022642, G
0.724490, 2261.691068, 334.099092, 2.632789, 1.994701, G
0.724490, 2432.371798, 346.004463, 2.632789, 1.962398, G
0.724490, 2684.296237, 366.482263, 2.632789, 1.646464, G
0.724490, 2982.998620, 504.203369, 2.632789, 1.617905, G
0.724490, 3183.524713, 435.742013, 2.632789, 1.873498, G
0.724490, 3484.049291, 463.712694, 2.632789, 1.755520, G
0.724490, 3784.799164, 589.537918, 2.632789, 1.731567, G
0.724490, 4061.663677, 620.234453, 2.632789, 1.996314, G
0.724490, 4333.578789, 616.055910, 2.632789, 1.842205, G
0.724490, 4950.403487, 731.731255, 2.632789, 1.595436, G
0.724490, 5345.524893, 749.837848, 2.632789, 1.891002, G
0.724490, 5702.022290, 804.221889, 2.632789, 1.918093, G
0.724490, 6239.079567, 927.681799, 2.632789, 1.853228, G
0.724490, 6705.722411, 1168.693240, 2.632789, 1.901567, G
0.724490, 7233.161018, 1259.748184, 2.632789, 1.826900, G
0.724490, 7860.860964, 1378.478111, 2.632789, 1.839975, G
0.724490, 8311.417427, 1363.359368, 2.632789, 1.980551, G
0.724490, 8951.131457, 1339.022088, 2.632789, 1.893233, G
0.724490, 9639.390651, 1491.512613, 2.632789, 1.838346, G
0.724490, 10357.210064, 1407.055120, 2.632789, 1.839093, G
0.724490, 11245.077704, 1639.469818, 2.632789, 1.842205, G
0.724490, 12235.198815, 1654.934058, 2.632789, 1.822584, G
0.724490, 13472.739289, 2158.929683, 2.632789, 1.654051, G
0.724490, 14151.451693, 1956.356397, 2.632789, 1.982179, G
0.724490, 15854.210008, 2403.787847, 2.632789, 1.668948, G
