amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.736620, 3.095922, 0.832239, 4.087576, 2.695909, H
0.736620, 3.313535, 0.671716, 4.087576, 2.963401, H
0.736620, 3.530025, 0.552159, 4.087576, 2.629839, H
0.736620, 3.744168, 0.605837, 4.087576, 2.947551, H
0.736620, 4.005625, 0.630289, 4.087576, 2.935939, H
0.736620, 4.210477, 0.609566, 4.087576, 2.850248, H
0.736620, 4.344825, 0.621484, 4.087576, 2.981616, H
0.736620, 4.606501, 0.619922, 4.087576, 2.927212, H
0.736620, 4.902459, 0.788102, 4.087576, 3.076949, H
0.736620, 5.255689, 0.789683, 4.087576, 2.707538, H
0.736620, 5.379778, 0.732390, 4.087576, 3.224167, H
0.736620, 5.829601, 0.778802, 4.087576, 2.886428, H
0.736620, 6.007031, 0.861143, 4.087576, 3.132200, H
0.736620, 6.668502, 0.889282, 4.087576, 2.657218, H
0.736620, 7.148387, 1.073163, 4.087576, 2.780007, H
0.736620, 7.606921, 1.036498, 4.087576, 2.986249, H
0.736620, 7.899623, 1.043759, 4.087576, 2.920415, H
0.736620, 8.458280, 1.142262, 4.087576, 2.876708, H
0.736620, 9.031922, 1.364489, 4.087576, 2.808258, H
0.736620, 9.713693, 1.423530, 4.087576, 2.672314, H
0.736620, 10.444804, 1.688152, 4.087576, 2.934158, H
0.736620, 11.188755, 1.687341, 4.087576, 2.843501, H
0.736620, 12.005441, 1.787430, 4.087576, 2.927703, H
0.736620, 12.660190, 1.920824, 4.087576, 3.027006, H
0.736620, 13.880016, 2.134999, 4.087576, 2.939037, H
0.736620, 14.362620, 2.251256, 4.087576, 2.894901, H
0.736620, 15.595416, 2.727958, 4.087576, 2.860801, H
0.736620, 17.040144, 2.845553, 4.087576, 2.836208, H
0.736620, 17.499256, 2.306090, 4.087576, 3.054796, H
0.736620, 19.024958, 2.926704, 4.087576, 2.750186, H
0.736620, 20.250861, 3.305292, 4.087576, 2.933760, H
0.736620, 22.120795, 3.307601, 4.087576, 2.702897, H
0.736620, 23.089156, 4.217963, 4.087576, 2.987073, H
0.736620, 24.723546, 3.977897, 4.087576, 2.989223, H
0.736620, 25.709605, 4.397323, 4.087576, 3.025407, H
0.736620, 27.145996, 6.016915, 4.087576, 3.114480, H
