amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.688203, 3.148942, 0.846476, 4.042147, 2.552496, I
0.688203, 3.442319, 0.685204, 4.042147, 2.700281, I
0.688203, 3.663393, 0.664050, 4.042147, 2.911406, I
0.688203, 4.024785, 0.669043, 4.042147, 2.705237, I
0.688203, 4.315347, 0.754259, 4.042147, 2.770471, I
0.688203, 4.668788, 0.670877, 4.042147, 2.638201, I
0.688203, 5.187565, 0.789756, 4.042147, 2.629729, I
0.688203, 5.390575, 0.763575, 4.042147, 2.862213, I
0.688203, 5.700766, 0.819994, 4.042147, 2.863145, I
0.688203, 6.250906, 0.905361, 4.042147, 2.616804, I
0.688203, 6.730011, 1.072314, 4.042147, 2.755914, I
0.688203, 7.245763, 1.202478, 4.042147, 2.836155, I
0.688203, 7.612258, 1.130301, 4.042147, 2.806080, I
0.688203, 8.085381, 1.199486, 4.042147, 2.863741, I
0.688203, 8.889399, 1.481702, 4.042147, 2.556726, I
0.688203, 9.394393, 1.515443, 4.042147, 2.717234, I
0.688203, 10.057801, 1.572737, 4.042147, 2.781666, I
0.688203, 10.796837, 1.449188, 4.042147, 2.746131, I
0.688203, 11.469086, 1.583342, 4.042147, 2.938217, I
0.688203, 12.070858, 1.619509, 4.042147, 2.956542, I
0.688203, 12.478497, 1.869698, 4.042147, 3.077979, I
0.688203, 13.384695, 1.619653, 4.042147, 2.852359, I
0.688203, 14.569746, 2.035978, 4.042147, 2.752601, I
0.688203, 15.575669, 2.414056, 4.042147, 2.715365, I
0.688203, 16.921150, 2.509913, 4.042147, 2.610119, I
0.688203, 17.429675, 2.419498, 4.042147, 2.868047, I
0.688203, 19.285812, 2.833057, 4.042147, 2.608096, I
0.688203, 21.211877, 3.210586, 4.042147, 2.781419, I
0.688203, 22.501611, 3.296522, 4.042147, 2.813905, I
0.688203, 24.153500, 3.727308, 4.042147, 2.735132, I
0.688203, 25.297933, 3.612089, 4.042147, 2.840002, I
0.688203, 27.517616, 3.867462, 4.042147, 2.745341, I
0.688203, 30.375316, 5.017564, 4.042147, 2.512441, I
0.688203, 32.241392, 4.292295, 4.042147, 2.782444, I
0.688203, 33.711877, 4.371828, 4.042147, 2.932952, I
0.688203, 36.916686, 5.402107, 4.042147, 2.483423, I
0.688203, 38.958164, 5.888112, 4.042147, 2.875286, I
0.688203, 43.093027, 6.333888, 4.042147, 2.539906, I
0.688203, 45.394964, 6.027639, 4.042147, 2.829726, I
0.688203, 47.728969, 6.825514, 4.042147, 2.824242, I
