amtProduced_need, avg_price, sd, consumption_rate, consumed, char
0.726488, 3.280900, 0.796826, 2.240037, 1.539169, J
0.726488, 3.672677, 0.739560, 2.240037, 1.452818, J
0.726488, 4.059151, 0.644967, 2.240037, 1.504856, J
0.726488, 4.534160, 0.752905, 2.240037, 1.384782, J
0.726488, 4.925715, 0.712132, 2.240037, 1.579243, J
0.726488, 5.221111, 0.759224, 2.240037, 1.579491, J
0.726488, 5.792227, 0.844226, 2.240037, 1.432584, J
0.726488, 6.243914, 0.959961, 2.240037, 1.619666, J
0.726488, 6.779522, 1.102423, 2.240037, 1.601295, J
0.726488, 7.444086, 1.165419, 2.240037, 1.508042, J
0.726488, 8.198465, 1.305923, 2.240037, 1.554713, J
0.726488, 9.035190, 1.375981, 2.240037, 1.532163, J
0.726488, 9.991644, 1.792311, 2.240037, 1.519158, J
0.726488, 10.705504, 1.669775, 2.240037, 1.535525, J
0.726488, 11.976200, 1.943362, 2.240037, 1.378404, J
0.726488, 13.326436, 2.092529, 2.240037, 1.479483, J
0.726488, 13.990977, 1.996354, 2.240037, 1.582811, J
0.726488, 15.351141, 2.403673, 2.240037, 1.549810, J
0.726488, 16.292096, 2.466812, 2.240037, 1.627587, J
0.726488, 17.778729, 2.766963, 2.240037, 1.517192, J
0.726488, 19.817042, 3.188144, 2.240037, 1.428107, J
0.726488, 22.014662, 3.607216, 2.240037, 1.516349, J
0.726488, 23.384373, 3.528536, 2.240037, 1.651414, J
0.726488, 26.065110, 3.578289, 2.240037, 1.481381, J
0.726488, 28.152564, 4.056318, 2.240037, 1.572030, J
0.726488, 30.002135, 4.069264, 2.240037, 1.564139, J
0.726488, 32.202281, 4.747020, 2.240037, 1.479302, J
0.726488, 34.124958, 4.791923, 2.240037, 1.664844, J
0.726488, 37.538481, 6.024803, 2.240037, 1.509215, J
0.726488, 40.392410, 6.162540, 2.240037, 1.644165, J
0.726488, 45.389219, 7.231598, 2.240037, 1.398391, J
0.726488, 49.358869, 7.244625, 2.240037, 1.431457, J
0.726488, 54.950513, 8.638666, 2.240037, 1.386476, J
0.726488, 61.498980, 9.551917, 2.240037, 1.453677, J
0.726488, 66.031201, 9.829037, 2.240037, 1.588260, J
0.726488, 72.310421, 11.067920, 2.240037, 1.463253, J
0.726488, 78.387670, 10.832041, 2.240037, 1.591610, J
0.726488, 87.192911, 14.902434, 2.240037, 1.461611, J
0.726488, 98.449752, 16.914120, 2.240037, 1.468324, J
0.726488, 109.865481, 17.308854, 2.240037, 1.460209, J
0.726488, 118.273564, 21.060576, 2.240037, 1.563958, J
0.726488, 126.896331, 18.147388, 2.240037, 1.505010, J
0.726488, 137.332035, 20.970734, 2.240037, 1.557925, J
0.726488, 149.917773, 25.782758, 2.240037, 1.589902, J
0.726488, 168.341823, 26.676677, 2.240037, 1.416811, J
0.726488, 181.042184, 21.302694, 2.240037, 1.560272, J
0.726488, 193.847297, 23.097826, 2.240037, 1.520878, J
0.726488, 210.840725, 25.866053, 2.240037, 1.497824, J
0.726488, 226.647861, 34.801448, 2.240037, 1.597973, J
0.726488, 242.339245, 44.014669, 2.240037, 1.644165, J
0.726488, 269.681734, 50.878792, 2.240037, 1.460252, J
0.726488, 302.643847, 50.122716, 2.240037, 1.337103, J
0.726488, 329.032419, 48.810395, 2.240037, 1.509955, J
0.726488, 352.377900, 55.338766, 2.240037, 1.596014, J
0.726488, 386.892189, 59.321883, 2.240037, 1.484012, J
0.726488, 419.919079, 65.093070, 2.240037, 1.422465, J
0.726488, 457.214366, 76.613211, 2.240037, 1.576459, J
