amount produced/need, avg price, sd, char
 year: 1
0.873396, 2.379569, 0.819460, A
1.076404, 1.958854, 0.606748, B
0.552480, 3.308480, 1.024086, C
1.319914, 2.060801, 0.618874, D
0.998943, 2.017482, 0.601638, E
1.059761, 2.182547, 0.690467, F
1.241988, 2.022321, 0.643831, G
1.015411, 2.034385, 0.754314, H
0.465079, 3.015863, 1.087224, I
1.162011, 2.074810, 0.483240, J
amount produced/need, avg price, sd, char
 year: 2
0.873396, 1.656954, 0.583676, A
1.076404, 1.222100, 0.380261, B
0.552480, 3.081342, 1.110865, C
1.319914, 1.314455, 0.397515, D
0.998943, 1.377074, 0.391836, E
1.059761, 1.453563, 0.465562, F
1.241988, 1.255194, 0.420326, G
1.015411, 1.374959, 0.486270, H
0.465079, 3.111713, 1.184840, I
1.162011, 1.396239, 0.378540, J
amount produced/need, avg price, sd, char
 year: 3
0.873396, 1.213557, 0.510549, A
1.076404, 0.799670, 0.247087, B
0.552480, 2.777154, 0.871609, C
1.319914, 0.839705, 0.274462, D
0.998943, 0.964435, 0.325044, E
1.059761, 1.022323, 0.356253, F
1.241988, 0.775517, 0.276594, G
1.015411, 0.911937, 0.320332, H
0.465079, 3.258548, 1.382019, I
1.162011, 0.926827, 0.267271, J
amount produced/need, avg price, sd, char
 year: 4
0.873396, 0.835746, 0.249862, A
1.076404, 0.539341, 0.182111, B
0.552480, 2.546165, 0.892864, C
1.319914, 0.531310, 0.176328, D
0.998943, 0.670992, 0.221049, E
1.059761, 0.691181, 0.233074, F
1.241988, 0.479034, 0.173205, G
1.015411, 0.606683, 0.215255, H
0.465079, 3.336679, 1.370418, I
1.162011, 0.620848, 0.189813, J
amount produced/need, avg price, sd, char
 year: 5
0.873396, 0.615796, 0.216951, A
1.076404, 0.356024, 0.117270, B
0.552480, 2.153163, 0.875171, C
1.319914, 0.341098, 0.117698, D
0.998943, 0.460189, 0.160177, E
1.059761, 0.483708, 0.173620, F
1.241988, 0.300505, 0.112469, G
1.015411, 0.403830, 0.148060, H
0.465079, 3.487573, 1.342451, I
1.162011, 0.412593, 0.139997, J
amount produced/need, avg price, sd, char
 year: 6
0.873396, 0.448808, 0.167002, A
1.076404, 0.241187, 0.082119, B
0.552480, 1.887045, 0.712535, C
1.319914, 0.222851, 0.081637, D
0.998943, 0.311490, 0.113266, E
1.059761, 0.334603, 0.120193, F
1.241988, 0.193484, 0.076923, G
1.015411, 0.270115, 0.107368, H
0.465079, 3.704926, 1.587724, I
1.162011, 0.278671, 0.096520, J
amount produced/need, avg price, sd, char
 year: 7
0.873396, 0.323985, 0.125662, A
1.076404, 0.162698, 0.064760, B
0.552480, 1.635651, 0.605745, C
1.319914, 0.145604, 0.055354, D
0.998943, 0.230175, 0.087490, E
1.059761, 0.233166, 0.087133, F
1.241988, 0.124823, 0.052123, G
1.015411, 0.180857, 0.072620, H
0.465079, 3.964182, 1.935037, I
1.162011, 0.180765, 0.063699, J
amount produced/need, avg price, sd, char
 year: 8
0.873396, 0.227119, 0.082283, A
1.076404, 0.108279, 0.043526, B
0.552480, 1.459677, 0.492206, C
1.319914, 0.093299, 0.036034, D
0.998943, 0.157923, 0.057323, E
1.059761, 0.168925, 0.071776, F
1.241988, 0.081991, 0.034346, G
1.015411, 0.115914, 0.048359, H
0.465079, 4.123522, 2.159454, I
1.162011, 0.117870, 0.042853, J
amount produced/need, avg price, sd, char
 year: 9
0.873396, 0.163021, 0.055976, A
1.076404, 0.072575, 0.028139, B
0.552480, 1.262923, 0.421826, C
1.319914, 0.059861, 0.023064, D
0.998943, 0.109045, 0.041826, E
1.059761, 0.123660, 0.056573, F
1.241988, 0.052261, 0.021819, G
1.015411, 0.075981, 0.031602, H
0.465079, 4.282762, 2.418457, I
1.162011, 0.077326, 0.028617, J
amount produced/need, avg price, sd, char
 year: 10
0.873396, 0.163021, 0.055976, A
1.076404, 0.072575, 0.028139, B
0.552480, 1.262923, 0.421826, C
1.319914, 0.059861, 0.023064, D
0.998943, 0.109045, 0.041826, E
1.059761, 0.123660, 0.056573, F
1.241988, 0.052261, 0.021819, G
1.015411, 0.075981, 0.031602, H
0.465079, 4.282762, 2.418457, I
1.162011, 0.077326, 0.028617, J
