amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.387918, 3.132255, 0.892219, 2.978407, 9.440000, A
0.387918, 3.193293, 0.708908, 2.978407, 9.130000, A
0.387918, 3.229005, 0.608209, 2.978407, 8.930000, A
0.387918, 3.301755, 0.512017, 2.978407, 8.890000, A
0.387918, 3.106580, 0.370847, 2.978407, 8.790000, A
0.387918, 3.015486, 0.344797, 2.978407, 8.630000, A
0.387918, 2.938744, 0.308503, 2.978407, 8.590000, A
0.387918, 2.917041, 0.281923, 2.978407, 8.480000, A
0.387918, 2.852257, 0.280923, 2.978407, 8.460000, A
0.387918, 2.685478, 0.222872, 2.978407, 8.420000, A
0.387918, 2.655796, 0.241488, 2.978407, 8.300000, A
0.387918, 2.425671, 0.214989, 2.978407, 8.260000, A
0.387918, 2.239997, 0.217254, 2.978407, 8.150000, A
0.387918, 2.097977, 0.216449, 2.978407, 8.250000, A
0.387918, 2.157797, 0.223900, 2.978407, 8.090000, A
0.387918, 2.167132, 0.231190, 2.978407, 8.270000, A
0.387918, 1.938709, 0.188853, 2.978407, 8.420000, A
0.387918, 1.750433, 0.162115, 2.978407, 8.240000, A
0.387918, 1.588818, 0.153817, 2.978407, 8.120000, A
0.387918, 1.489777, 0.166223, 2.978407, 8.110000, A
0.387918, 1.572633, 0.183805, 2.978407, 8.080000, A
0.387918, 1.657060, 0.183849, 2.978407, 7.970000, A
0.387918, 1.481059, 0.142359, 2.978407, 7.960000, A
0.387918, 1.338434, 0.117036, 2.978407, 8.010000, A
0.387918, 1.223508, 0.115316, 2.978407, 8.090000, A
0.387918, 1.215037, 0.133434, 2.978407, 8.010000, A
0.387918, 1.134701, 0.112929, 2.978407, 7.940000, A
0.387918, 1.091762, 0.127175, 2.978407, 8.050000, A
0.387918, 1.024522, 0.109513, 2.978407, 8.020000, A
0.387918, 1.000400, 0.104238, 2.978407, 8.070000, A
0.387918, 0.937752, 0.080958, 2.978407, 7.990000, A
0.387918, 0.868707, 0.073391, 2.978407, 7.980000, A
0.387918, 0.809119, 0.072070, 2.978407, 8.020000, A
0.387918, 0.743622, 0.066634, 2.978407, 8.000000, A
0.387918, 0.701309, 0.066528, 2.978407, 8.040000, A
0.387918, 0.706461, 0.071347, 2.978407, 8.070000, A
0.387918, 0.665856, 0.065113, 2.978407, 7.920000, A
0.387918, 0.611373, 0.053241, 2.978407, 7.970000, A
0.387918, 0.565726, 0.045644, 2.978407, 8.110000, A
0.387918, 0.540607, 0.045904, 2.978407, 8.070000, A
0.387918, 0.539511, 0.050475, 2.978407, 7.960000, A
0.387918, 0.495662, 0.040717, 2.978407, 7.990000, A
0.387918, 0.445122, 0.036398, 2.978407, 8.070000, A
0.387918, 0.417061, 0.040987, 2.978407, 7.930000, A
0.387918, 0.405759, 0.047501, 2.978407, 8.060000, A
0.387918, 0.388063, 0.036909, 2.978407, 7.990000, A
0.387918, 0.372222, 0.033148, 2.978407, 7.840000, A
0.387918, 0.349300, 0.030677, 2.978407, 7.930000, A
0.387918, 0.316256, 0.028279, 2.978407, 8.090000, A
0.387918, 0.301388, 0.031397, 2.978407, 8.030000, A
0.387918, 0.284280, 0.029761, 2.978407, 8.120000, A
0.387918, 0.283475, 0.029929, 2.978407, 8.100000, A
0.387918, 0.274646, 0.028137, 2.978407, 8.010000, A
0.387918, 0.254290, 0.021904, 2.978407, 7.980000, A
0.387918, 0.233279, 0.019569, 2.978407, 7.930000, A
0.387918, 0.212323, 0.018519, 2.978407, 8.120000, A
0.387918, 0.203990, 0.019436, 2.978407, 8.090000, A
0.387918, 0.198535, 0.020028, 2.978407, 7.940000, A
0.387918, 0.186908, 0.019938, 2.978407, 8.020000, A
0.387918, 0.178832, 0.018785, 2.978407, 8.010000, A
0.387918, 0.166486, 0.017339, 2.978407, 8.130000, A
0.387918, 0.151309, 0.014734, 2.978407, 7.970000, A
0.387918, 0.140093, 0.015390, 2.978407, 8.090000, A
0.387918, 0.130655, 0.013453, 2.978407, 7.990000, A
0.387918, 0.130375, 0.015898, 2.978407, 8.070000, A
0.387918, 0.131592, 0.014614, 2.978407, 7.970000, A
0.387918, 0.117916, 0.012393, 2.978407, 7.900000, A
0.387918, 0.107433, 0.011831, 2.978407, 8.130000, A
0.387918, 0.098190, 0.011028, 2.978407, 8.040000, A
0.387918, 0.092511, 0.011022, 2.978407, 8.140000, A
0.387918, 0.093387, 0.011198, 2.978407, 8.130000, A
0.387918, 0.091120, 0.009672, 2.978407, 8.130000, A
0.387918, 0.086379, 0.007972, 2.978407, 8.130000, A
0.387918, 0.078143, 0.006973, 2.978407, 8.170000, A
0.387918, 0.072790, 0.006928, 2.978407, 8.180000, A
0.387918, 0.068431, 0.006815, 2.978407, 8.200000, A
0.387918, 0.068251, 0.007024, 2.978407, 8.030000, A
0.387918, 0.068058, 0.006071, 2.978407, 8.070000, A
0.387918, 0.062522, 0.005520, 2.978407, 8.130000, A
0.387918, 0.057223, 0.004877, 2.978407, 8.070000, A
0.387918, 0.054044, 0.004851, 2.978407, 8.030000, A
0.387918, 0.051951, 0.005056, 2.978407, 8.150000, A
0.387918, 0.048809, 0.004508, 2.978407, 8.130000, A
0.387918, 0.045015, 0.004022, 2.978407, 8.170000, A
0.387918, 0.042421, 0.003801, 2.978407, 8.150000, A
0.387918, 0.040422, 0.003996, 2.978407, 8.240000, A
0.387918, 0.038378, 0.003691, 2.978407, 8.150000, A
0.387918, 0.036641, 0.003520, 2.978407, 8.070000, A
0.387918, 0.034601, 0.003499, 2.978407, 8.110000, A
0.387918, 0.034585, 0.003790, 2.978407, 8.010000, A
0.387918, 0.031526, 0.002952, 2.978407, 8.220000, A
0.387918, 0.028905, 0.002732, 2.978407, 8.120000, A
0.387918, 0.027121, 0.002847, 2.978407, 8.100000, A
0.387918, 0.025873, 0.002944, 2.978407, 8.100000, A
0.387918, 0.026130, 0.002939, 2.978407, 8.130000, A
0.387918, 0.024271, 0.002520, 2.978407, 8.340000, A
0.387918, 0.022653, 0.002299, 2.978407, 8.210000, A
0.387918, 0.021765, 0.002290, 2.978407, 8.180000, A
0.387918, 0.022231, 0.002508, 2.978407, 8.100000, A
0.387918, 0.020769, 0.001893, 2.978407, 8.070000, A
0.387918, 0.019179, 0.001730, 2.978407, 8.150000, A
0.387918, 0.017765, 0.001644, 2.978407, 8.050000, A
0.387918, 0.016392, 0.001459, 2.978407, 8.010000, A
0.387918, 0.015787, 0.001487, 2.978407, 8.020000, A
0.387918, 0.016148, 0.001673, 2.978407, 8.070000, A
0.387918, 0.014427, 0.001294, 2.978407, 8.130000, A
0.387918, 0.013040, 0.001131, 2.978407, 8.020000, A
0.387918, 0.012194, 0.001199, 2.978407, 8.060000, A
0.387918, 0.011684, 0.001283, 2.978407, 8.080000, A
0.387918, 0.011603, 0.001276, 2.978407, 8.150000, A
0.387918, 0.011759, 0.001342, 2.978407, 8.140000, A
0.387918, 0.010444, 0.000983, 2.978407, 8.030000, A
0.387918, 0.009322, 0.000860, 2.978407, 7.930000, A
0.387918, 0.008647, 0.000768, 2.978407, 7.950000, A
0.387918, 0.008791, 0.000847, 2.978407, 8.060000, A
0.387918, 0.008828, 0.000793, 2.978407, 8.000000, A
0.387918, 0.007968, 0.000700, 2.978407, 8.040000, A
0.387918, 0.007138, 0.000623, 2.978407, 8.090000, A
0.387918, 0.006561, 0.000597, 2.978407, 8.010000, A
0.387918, 0.006296, 0.000678, 2.978407, 8.030000, A
0.387918, 0.006300, 0.000801, 2.978407, 8.110000, A
0.387918, 0.006136, 0.000711, 2.978407, 8.040000, A
0.387918, 0.005651, 0.000517, 2.978407, 8.010000, A
0.387918, 0.005329, 0.000453, 2.978407, 8.100000, A
0.387918, 0.004952, 0.000437, 2.978407, 8.100000, A
0.387918, 0.004816, 0.000494, 2.978407, 8.300000, A
0.387918, 0.004529, 0.000463, 2.978407, 8.270000, A
0.387918, 0.004222, 0.000400, 2.978407, 8.100000, A
0.387918, 0.004218, 0.000410, 2.978407, 8.050000, A
0.387918, 0.004036, 0.000387, 2.978407, 8.020000, A
0.387918, 0.003777, 0.000346, 2.978407, 8.050000, A
0.387918, 0.003482, 0.000331, 2.978407, 8.110000, A
0.387918, 0.003193, 0.000295, 2.978407, 8.090000, A
0.387918, 0.003023, 0.000324, 2.978407, 8.060000, A
0.387918, 0.002909, 0.000327, 2.978407, 8.030000, A
0.387918, 0.002741, 0.000281, 2.978407, 8.090000, A
0.387918, 0.002612, 0.000256, 2.978407, 8.100000, A
0.387918, 0.002682, 0.000311, 2.978407, 8.020000, A
0.387918, 0.002371, 0.000258, 2.978407, 7.920000, A
0.387918, 0.002116, 0.000229, 2.978407, 8.130000, A
0.387918, 0.001931, 0.000212, 2.978407, 8.050000, A
0.387918, 0.001800, 0.000219, 2.978407, 8.010000, A
0.387918, 0.001763, 0.000211, 2.978407, 8.130000, A
0.387918, 0.001807, 0.000176, 2.978407, 8.160000, A
0.387918, 0.001771, 0.000189, 2.978407, 8.000000, A
0.387918, 0.001644, 0.000165, 2.978407, 7.970000, A
0.387918, 0.001499, 0.000144, 2.978407, 8.100000, A
0.387918, 0.001372, 0.000128, 2.978407, 8.170000, A
0.387918, 0.001306, 0.000133, 2.978407, 8.060000, A
0.387918, 0.001258, 0.000127, 2.978407, 8.070000, A
