amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.464701, 3.270297, 0.897731, 2.021896, 9.440000, C
1.464701, 3.170745, 0.677662, 2.021896, 9.130000, C
1.464701, 3.122765, 0.541745, 2.021896, 8.930000, C
1.464701, 3.242961, 0.516738, 2.021896, 8.890000, C
1.464701, 3.130794, 0.372944, 2.021896, 8.790000, C
1.464701, 3.111774, 0.342151, 2.021896, 8.630000, C
1.464701, 2.945397, 0.298978, 2.021896, 8.590000, C
1.464701, 2.763054, 0.263161, 2.021896, 8.480000, C
1.464701, 2.632465, 0.261779, 2.021896, 8.460000, C
1.464701, 2.515476, 0.252022, 2.021896, 8.420000, C
1.464701, 2.583317, 0.282507, 2.021896, 8.300000, C
1.464701, 2.447353, 0.253560, 2.021896, 8.260000, C
1.464701, 2.257382, 0.220610, 2.021896, 8.150000, C
1.464701, 2.106483, 0.214615, 2.021896, 8.250000, C
1.464701, 2.029670, 0.237658, 2.021896, 8.090000, C
1.464701, 1.955346, 0.232361, 2.021896, 8.270000, C
1.464701, 1.897039, 0.222617, 2.021896, 8.420000, C
1.464701, 1.916376, 0.216524, 2.021896, 8.240000, C
1.464701, 1.844811, 0.202462, 2.021896, 8.120000, C
1.464701, 1.670079, 0.166738, 2.021896, 8.110000, C
1.464701, 1.513363, 0.159728, 2.021896, 8.080000, C
1.464701, 1.415839, 0.153457, 2.021896, 7.970000, C
1.464701, 1.391427, 0.173672, 2.021896, 7.960000, C
1.464701, 1.354597, 0.144314, 2.021896, 8.010000, C
1.464701, 1.349070, 0.122818, 2.021896, 8.090000, C
1.464701, 1.235031, 0.099042, 2.021896, 8.010000, C
1.464701, 1.128142, 0.091355, 2.021896, 7.940000, C
1.464701, 1.050846, 0.093073, 2.021896, 8.050000, C
1.464701, 0.979090, 0.099673, 2.021896, 8.020000, C
1.464701, 0.950425, 0.110119, 2.021896, 8.070000, C
1.464701, 0.879083, 0.092350, 2.021896, 7.990000, C
1.464701, 0.825789, 0.083876, 2.021896, 7.980000, C
1.464701, 0.808508, 0.081724, 2.021896, 8.020000, C
1.464701, 0.755018, 0.074998, 2.021896, 8.000000, C
1.464701, 0.717860, 0.076887, 2.021896, 8.040000, C
1.464701, 0.682510, 0.071565, 2.021896, 8.070000, C
1.464701, 0.635377, 0.068033, 2.021896, 7.920000, C
1.464701, 0.585068, 0.057330, 2.021896, 7.970000, C
1.464701, 0.539026, 0.053092, 2.021896, 8.110000, C
1.464701, 0.501956, 0.054373, 2.021896, 8.070000, C
1.464701, 0.485462, 0.054292, 2.021896, 7.960000, C
1.464701, 0.462098, 0.050722, 2.021896, 7.990000, C
1.464701, 0.451345, 0.052615, 2.021896, 8.070000, C
1.464701, 0.436637, 0.048002, 2.021896, 7.930000, C
1.464701, 0.399502, 0.044364, 2.021896, 8.060000, C
1.464701, 0.370526, 0.039684, 2.021896, 7.990000, C
1.464701, 0.343719, 0.040706, 2.021896, 7.840000, C
1.464701, 0.324942, 0.040268, 2.021896, 7.930000, C
1.464701, 0.310529, 0.042209, 2.021896, 8.090000, C
1.464701, 0.310526, 0.041954, 2.021896, 8.030000, C
1.464701, 0.287203, 0.034990, 2.021896, 8.120000, C
1.464701, 0.266019, 0.026338, 2.021896, 8.100000, C
1.464701, 0.253009, 0.027016, 2.021896, 8.010000, C
1.464701, 0.239409, 0.026939, 2.021896, 7.980000, C
1.464701, 0.230195, 0.025546, 2.021896, 7.930000, C
1.464701, 0.225059, 0.026567, 2.021896, 8.120000, C
1.464701, 0.205588, 0.020570, 2.021896, 8.090000, C
1.464701, 0.190303, 0.018166, 2.021896, 7.940000, C
1.464701, 0.177643, 0.017792, 2.021896, 8.020000, C
1.464701, 0.168111, 0.019307, 2.021896, 8.010000, C
1.464701, 0.157801, 0.018795, 2.021896, 8.130000, C
1.464701, 0.152647, 0.018858, 2.021896, 7.970000, C
1.464701, 0.147593, 0.017812, 2.021896, 8.090000, C
1.464701, 0.137652, 0.015643, 2.021896, 7.990000, C
1.464701, 0.127500, 0.014177, 2.021896, 8.070000, C
1.464701, 0.116688, 0.012699, 2.021896, 7.970000, C
1.464701, 0.108634, 0.011915, 2.021896, 7.900000, C
1.464701, 0.102279, 0.011256, 2.021896, 8.130000, C
1.464701, 0.100900, 0.011839, 2.021896, 8.040000, C
1.464701, 0.097664, 0.010084, 2.021896, 8.140000, C
1.464701, 0.094392, 0.009681, 2.021896, 8.130000, C
1.464701, 0.087302, 0.008740, 2.021896, 8.130000, C
1.464701, 0.080541, 0.008282, 2.021896, 8.130000, C
1.464701, 0.076584, 0.007875, 2.021896, 8.170000, C
1.464701, 0.074390, 0.008493, 2.021896, 8.180000, C
1.464701, 0.070850, 0.007462, 2.021896, 8.200000, C
1.464701, 0.068213, 0.006994, 2.021896, 8.030000, C
1.464701, 0.064896, 0.007215, 2.021896, 8.070000, C
1.464701, 0.060130, 0.006553, 2.021896, 8.130000, C
1.464701, 0.055158, 0.005431, 2.021896, 8.070000, C
1.464701, 0.051220, 0.005242, 2.021896, 8.030000, C
1.464701, 0.047596, 0.005199, 2.021896, 8.150000, C
1.464701, 0.045405, 0.004996, 2.021896, 8.130000, C
1.464701, 0.043453, 0.004924, 2.021896, 8.170000, C
1.464701, 0.043365, 0.005122, 2.021896, 8.150000, C
1.464701, 0.039825, 0.003988, 2.021896, 8.240000, C
1.464701, 0.038677, 0.003701, 2.021896, 8.150000, C
1.464701, 0.037319, 0.003773, 2.021896, 8.070000, C
1.464701, 0.034994, 0.003585, 2.021896, 8.110000, C
1.464701, 0.032330, 0.003117, 2.021896, 8.010000, C
1.464701, 0.030592, 0.002906, 2.021896, 8.220000, C
1.464701, 0.028425, 0.002559, 2.021896, 8.120000, C
1.464701, 0.026711, 0.002637, 2.021896, 8.100000, C
1.464701, 0.026294, 0.002871, 2.021896, 8.100000, C
1.464701, 0.025985, 0.002627, 2.021896, 8.130000, C
1.464701, 0.024303, 0.002440, 2.021896, 8.340000, C
1.464701, 0.022905, 0.002417, 2.021896, 8.210000, C
1.464701, 0.021096, 0.002135, 2.021896, 8.180000, C
1.464701, 0.019420, 0.002037, 2.021896, 8.100000, C
1.464701, 0.018437, 0.002065, 2.021896, 8.070000, C
1.464701, 0.017573, 0.002009, 2.021896, 8.150000, C
1.464701, 0.017982, 0.002194, 2.021896, 8.050000, C
1.464701, 0.018029, 0.001976, 2.021896, 8.010000, C
1.464701, 0.016643, 0.001589, 2.021896, 8.020000, C
1.464701, 0.015213, 0.001243, 2.021896, 8.070000, C
1.464701, 0.013873, 0.001220, 2.021896, 8.130000, C
1.464701, 0.012838, 0.001365, 2.021896, 8.020000, C
1.464701, 0.011846, 0.001293, 2.021896, 8.060000, C
1.464701, 0.011380, 0.001375, 2.021896, 8.080000, C
1.464701, 0.010973, 0.001393, 2.021896, 8.150000, C
1.464701, 0.010813, 0.001352, 2.021896, 8.140000, C
1.464701, 0.010428, 0.001265, 2.021896, 8.030000, C
1.464701, 0.010054, 0.001292, 2.021896, 7.930000, C
1.464701, 0.009241, 0.001121, 2.021896, 7.950000, C
1.464701, 0.008345, 0.000909, 2.021896, 8.060000, C
1.464701, 0.007627, 0.000843, 2.021896, 8.000000, C
1.464701, 0.007074, 0.000829, 2.021896, 8.040000, C
1.464701, 0.006943, 0.000841, 2.021896, 8.090000, C
1.464701, 0.006984, 0.000827, 2.021896, 8.010000, C
1.464701, 0.006782, 0.000726, 2.021896, 8.030000, C
1.464701, 0.006312, 0.000576, 2.021896, 8.110000, C
1.464701, 0.005864, 0.000525, 2.021896, 8.040000, C
1.464701, 0.005481, 0.000515, 2.021896, 8.010000, C
1.464701, 0.005071, 0.000521, 2.021896, 8.100000, C
1.464701, 0.004793, 0.000510, 2.021896, 8.100000, C
1.464701, 0.004617, 0.000509, 2.021896, 8.300000, C
1.464701, 0.004413, 0.000542, 2.021896, 8.270000, C
1.464701, 0.004123, 0.000483, 2.021896, 8.100000, C
1.464701, 0.003869, 0.000456, 2.021896, 8.050000, C
1.464701, 0.003608, 0.000436, 2.021896, 8.020000, C
1.464701, 0.003415, 0.000386, 2.021896, 8.050000, C
1.464701, 0.003358, 0.000382, 2.021896, 8.110000, C
1.464701, 0.003240, 0.000306, 2.021896, 8.090000, C
1.464701, 0.003075, 0.000254, 2.021896, 8.060000, C
1.464701, 0.002961, 0.000292, 2.021896, 8.030000, C
1.464701, 0.002777, 0.000271, 2.021896, 8.090000, C
1.464701, 0.002605, 0.000276, 2.021896, 8.100000, C
1.464701, 0.002401, 0.000249, 2.021896, 8.020000, C
1.464701, 0.002262, 0.000227, 2.021896, 7.920000, C
1.464701, 0.002197, 0.000246, 2.021896, 8.130000, C
1.464701, 0.002067, 0.000233, 2.021896, 8.050000, C
1.464701, 0.001953, 0.000223, 2.021896, 8.010000, C
1.464701, 0.001786, 0.000205, 2.021896, 8.130000, C
1.464701, 0.001690, 0.000207, 2.021896, 8.160000, C
1.464701, 0.001617, 0.000202, 2.021896, 8.000000, C
1.464701, 0.001523, 0.000187, 2.021896, 7.970000, C
