amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.671035, 3.195708, 0.932462, 4.986297, 9.440000, F
0.671035, 3.495785, 0.815394, 4.986297, 9.130000, F
0.671035, 3.609883, 0.659682, 4.986297, 8.930000, F
0.671035, 3.401041, 0.501869, 4.986297, 8.890000, F
0.671035, 3.197981, 0.407582, 4.986297, 8.790000, F
0.671035, 3.157334, 0.328450, 4.986297, 8.630000, F
0.671035, 3.155202, 0.284121, 4.986297, 8.590000, F
0.671035, 2.879891, 0.210245, 4.986297, 8.480000, F
0.671035, 2.847038, 0.218983, 4.986297, 8.460000, F
0.671035, 2.893986, 0.247417, 4.986297, 8.420000, F
0.671035, 2.629264, 0.207834, 4.986297, 8.300000, F
0.671035, 2.555363, 0.264051, 4.986297, 8.260000, F
0.671035, 2.458408, 0.232051, 4.986297, 8.150000, F
0.671035, 2.383612, 0.207866, 4.986297, 8.250000, F
0.671035, 2.193344, 0.173390, 4.986297, 8.090000, F
0.671035, 2.050136, 0.165560, 4.986297, 8.270000, F
0.671035, 2.125240, 0.203671, 4.986297, 8.420000, F
0.671035, 1.866422, 0.160888, 4.986297, 8.240000, F
0.671035, 1.671411, 0.154010, 4.986297, 8.120000, F
0.671035, 1.614157, 0.170200, 4.986297, 8.110000, F
0.671035, 1.842450, 0.210471, 4.986297, 8.080000, F
0.671035, 1.590784, 0.165105, 4.986297, 7.970000, F
0.671035, 1.383847, 0.144569, 4.986297, 7.960000, F
0.671035, 1.262869, 0.131490, 4.986297, 8.010000, F
0.671035, 1.303457, 0.156681, 4.986297, 8.090000, F
0.671035, 1.346158, 0.155722, 4.986297, 8.010000, F
0.671035, 1.219433, 0.130132, 4.986297, 7.940000, F
0.671035, 1.111892, 0.116848, 4.986297, 8.050000, F
0.671035, 1.037448, 0.113975, 4.986297, 8.020000, F
0.671035, 1.002295, 0.096368, 4.986297, 8.070000, F
0.671035, 0.974715, 0.090514, 4.986297, 7.990000, F
0.671035, 0.886234, 0.073117, 4.986297, 7.980000, F
0.671035, 0.807680, 0.068830, 4.986297, 8.020000, F
0.671035, 0.767863, 0.076201, 4.986297, 8.000000, F
0.671035, 0.798099, 0.073237, 4.986297, 8.040000, F
0.671035, 0.697635, 0.060550, 4.986297, 8.070000, F
0.671035, 0.617551, 0.056650, 4.986297, 7.920000, F
0.671035, 0.559022, 0.057279, 4.986297, 7.970000, F
0.671035, 0.589657, 0.063155, 4.986297, 8.110000, F
0.671035, 0.597166, 0.056250, 4.986297, 8.070000, F
0.671035, 0.523660, 0.047346, 4.986297, 7.960000, F
0.671035, 0.469929, 0.046093, 4.986297, 7.990000, F
0.671035, 0.457997, 0.054319, 4.986297, 8.070000, F
0.671035, 0.449112, 0.049982, 4.986297, 7.930000, F
0.671035, 0.413062, 0.041784, 4.986297, 8.060000, F
0.671035, 0.402458, 0.041984, 4.986297, 7.990000, F
0.671035, 0.391181, 0.037740, 4.986297, 7.840000, F
0.671035, 0.352033, 0.031681, 4.986297, 7.930000, F
0.671035, 0.320083, 0.027817, 4.986297, 8.090000, F
0.671035, 0.312786, 0.029808, 4.986297, 8.030000, F
0.671035, 0.321460, 0.029665, 4.986297, 8.120000, F
0.671035, 0.277422, 0.022823, 4.986297, 8.100000, F
0.671035, 0.245394, 0.022004, 4.986297, 8.010000, F
0.671035, 0.223299, 0.023494, 4.986297, 7.980000, F
0.671035, 0.235616, 0.028981, 4.986297, 7.930000, F
0.671035, 0.237146, 0.025449, 4.986297, 8.120000, F
0.671035, 0.217272, 0.019913, 4.986297, 8.090000, F
0.671035, 0.199309, 0.017556, 4.986297, 7.940000, F
0.671035, 0.190510, 0.020091, 4.986297, 8.020000, F
0.671035, 0.176922, 0.017764, 4.986297, 8.010000, F
0.671035, 0.170120, 0.016879, 4.986297, 8.130000, F
0.671035, 0.160498, 0.016976, 4.986297, 7.970000, F
0.671035, 0.147691, 0.015256, 4.986297, 8.090000, F
0.671035, 0.144573, 0.015193, 4.986297, 7.990000, F
0.671035, 0.135351, 0.013788, 4.986297, 8.070000, F
0.671035, 0.131588, 0.013172, 4.986297, 7.970000, F
0.671035, 0.122141, 0.011401, 4.986297, 7.900000, F
0.671035, 0.112355, 0.009536, 4.986297, 8.130000, F
0.671035, 0.109461, 0.009740, 4.986297, 8.040000, F
0.671035, 0.101633, 0.008581, 4.986297, 8.140000, F
0.671035, 0.096650, 0.008715, 4.986297, 8.130000, F
0.671035, 0.091813, 0.008468, 4.986297, 8.130000, F
0.671035, 0.087242, 0.007892, 4.986297, 8.130000, F
0.671035, 0.083041, 0.006884, 4.986297, 8.170000, F
0.671035, 0.077861, 0.005983, 4.986297, 8.180000, F
0.671035, 0.075183, 0.007119, 4.986297, 8.200000, F
0.671035, 0.070124, 0.006206, 4.986297, 8.030000, F
0.671035, 0.066584, 0.005960, 4.986297, 8.070000, F
0.671035, 0.065594, 0.005967, 4.986297, 8.130000, F
0.671035, 0.058759, 0.004672, 4.986297, 8.070000, F
0.671035, 0.054666, 0.004985, 4.986297, 8.030000, F
0.671035, 0.054178, 0.005168, 4.986297, 8.150000, F
0.671035, 0.049541, 0.004620, 4.986297, 8.130000, F
0.671035, 0.046200, 0.004559, 4.986297, 8.170000, F
0.671035, 0.044479, 0.003795, 4.986297, 8.150000, F
0.671035, 0.044365, 0.003846, 4.986297, 8.240000, F
0.671035, 0.039705, 0.003152, 4.986297, 8.150000, F
0.671035, 0.036480, 0.003260, 4.986297, 8.070000, F
0.671035, 0.036427, 0.003652, 4.986297, 8.110000, F
0.671035, 0.034751, 0.003417, 4.986297, 8.010000, F
0.671035, 0.032388, 0.003225, 4.986297, 8.220000, F
0.671035, 0.031363, 0.003005, 4.986297, 8.120000, F
0.671035, 0.030574, 0.003145, 4.986297, 8.100000, F
0.671035, 0.027436, 0.002676, 4.986297, 8.100000, F
0.671035, 0.024981, 0.002529, 4.986297, 8.130000, F
0.671035, 0.024630, 0.002488, 4.986297, 8.340000, F
0.671035, 0.025444, 0.002551, 4.986297, 8.210000, F
0.671035, 0.022619, 0.002138, 4.986297, 8.180000, F
0.671035, 0.020105, 0.001877, 4.986297, 8.100000, F
0.671035, 0.018902, 0.002050, 4.986297, 8.070000, F
0.671035, 0.019360, 0.002312, 4.986297, 8.150000, F
0.671035, 0.018150, 0.001856, 4.986297, 8.050000, F
0.671035, 0.019125, 0.001940, 4.986297, 8.010000, F
0.671035, 0.016954, 0.001475, 4.986297, 8.020000, F
0.671035, 0.015299, 0.001357, 4.986297, 8.070000, F
0.671035, 0.014136, 0.001480, 4.986297, 8.130000, F
0.671035, 0.013946, 0.001486, 4.986297, 8.020000, F
0.671035, 0.014146, 0.001258, 4.986297, 8.060000, F
0.671035, 0.012668, 0.000960, 4.986297, 8.080000, F
0.671035, 0.011769, 0.001006, 4.986297, 8.150000, F
0.671035, 0.011620, 0.001048, 4.986297, 8.140000, F
0.671035, 0.011036, 0.000858, 4.986297, 8.030000, F
0.671035, 0.010186, 0.000838, 4.986297, 7.930000, F
0.671035, 0.009704, 0.000790, 4.986297, 7.950000, F
0.671035, 0.009233, 0.000664, 4.986297, 8.060000, F
0.671035, 0.008390, 0.000571, 4.986297, 8.000000, F
0.671035, 0.008086, 0.000679, 4.986297, 8.040000, F
0.671035, 0.007804, 0.000673, 4.986297, 8.090000, F
0.671035, 0.007381, 0.000598, 4.986297, 8.010000, F
0.671035, 0.006868, 0.000532, 4.986297, 8.030000, F
0.671035, 0.006650, 0.000598, 4.986297, 8.110000, F
0.671035, 0.006160, 0.000526, 4.986297, 8.040000, F
0.671035, 0.005911, 0.000536, 4.986297, 8.010000, F
0.671035, 0.005453, 0.000478, 4.986297, 8.100000, F
0.671035, 0.005117, 0.000538, 4.986297, 8.100000, F
0.671035, 0.004885, 0.000550, 4.986297, 8.300000, F
0.671035, 0.004819, 0.000473, 4.986297, 8.270000, F
0.671035, 0.004244, 0.000379, 4.986297, 8.100000, F
0.671035, 0.003915, 0.000357, 4.986297, 8.050000, F
0.671035, 0.003993, 0.000375, 4.986297, 8.020000, F
0.671035, 0.004095, 0.000350, 4.986297, 8.050000, F
0.671035, 0.003628, 0.000287, 4.986297, 8.110000, F
0.671035, 0.003265, 0.000276, 4.986297, 8.090000, F
0.671035, 0.003037, 0.000302, 4.986297, 8.060000, F
0.671035, 0.003062, 0.000337, 4.986297, 8.030000, F
0.671035, 0.002872, 0.000272, 4.986297, 8.090000, F
0.671035, 0.002658, 0.000234, 4.986297, 8.100000, F
0.671035, 0.002590, 0.000250, 4.986297, 8.020000, F
0.671035, 0.002520, 0.000227, 4.986297, 7.920000, F
0.671035, 0.002409, 0.000199, 4.986297, 8.130000, F
0.671035, 0.002179, 0.000156, 4.986297, 8.050000, F
0.671035, 0.002045, 0.000164, 4.986297, 8.010000, F
0.671035, 0.001902, 0.000173, 4.986297, 8.130000, F
0.671035, 0.001948, 0.000225, 4.986297, 8.160000, F
0.671035, 0.001799, 0.000192, 4.986297, 8.000000, F
0.671035, 0.001627, 0.000172, 4.986297, 7.970000, F
0.671035, 0.001536, 0.000156, 4.986297, 8.100000, F
0.671035, 0.001583, 0.000153, 4.986297, 8.170000, F
0.671035, 0.001389, 0.000124, 4.986297, 8.060000, F
0.671035, 0.001259, 0.000119, 4.986297, 8.070000, F
