amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.772478, 3.124401, 0.914875, 2.632789, 9.440000, G
0.772478, 3.341869, 0.794639, 2.632789, 9.130000, G
0.772478, 3.237107, 0.572783, 2.632789, 8.930000, G
0.772478, 3.173459, 0.436835, 2.632789, 8.890000, G
0.772478, 3.106903, 0.337112, 2.632789, 8.790000, G
0.772478, 3.050443, 0.311093, 2.632789, 8.630000, G
0.772478, 3.112993, 0.273153, 2.632789, 8.590000, G
0.772478, 2.925906, 0.258510, 2.632789, 8.480000, G
0.772478, 2.816170, 0.259262, 2.632789, 8.460000, G
0.772478, 2.568053, 0.243045, 2.632789, 8.420000, G
0.772478, 2.378430, 0.240383, 2.632789, 8.300000, G
0.772478, 2.321196, 0.276957, 2.632789, 8.260000, G
0.772478, 2.377918, 0.268004, 2.632789, 8.150000, G
0.772478, 2.357103, 0.220823, 2.632789, 8.250000, G
0.772478, 2.128942, 0.162655, 2.632789, 8.090000, G
0.772478, 1.939072, 0.165520, 2.632789, 8.270000, G
0.772478, 1.825801, 0.162994, 2.632789, 8.420000, G
0.772478, 1.928312, 0.190887, 2.632789, 8.240000, G
0.772478, 1.846709, 0.173386, 2.632789, 8.120000, G
0.772478, 1.743463, 0.150137, 2.632789, 8.110000, G
0.772478, 1.602975, 0.134944, 2.632789, 8.080000, G
0.772478, 1.525803, 0.143084, 2.632789, 7.970000, G
0.772478, 1.446437, 0.138922, 2.632789, 7.960000, G
0.772478, 1.414785, 0.143770, 2.632789, 8.010000, G
0.772478, 1.324415, 0.132787, 2.632789, 8.090000, G
0.772478, 1.236351, 0.123198, 2.632789, 8.010000, G
0.772478, 1.158196, 0.120354, 2.632789, 7.940000, G
0.772478, 1.071327, 0.111412, 2.632789, 8.050000, G
0.772478, 1.005699, 0.098435, 2.632789, 8.020000, G
0.772478, 0.974472, 0.098866, 2.632789, 8.070000, G
0.772478, 0.928104, 0.079184, 2.632789, 7.990000, G
0.772478, 0.854528, 0.070713, 2.632789, 7.980000, G
0.772478, 0.809713, 0.079734, 2.632789, 8.020000, G
0.772478, 0.796422, 0.081885, 2.632789, 8.000000, G
0.772478, 0.720984, 0.073540, 2.632789, 8.040000, G
0.772478, 0.655538, 0.070985, 2.632789, 8.070000, G
0.772478, 0.600208, 0.069428, 2.632789, 7.920000, G
0.772478, 0.588477, 0.075759, 2.632789, 7.970000, G
0.772478, 0.590694, 0.071993, 2.632789, 8.110000, G
0.772478, 0.552655, 0.063058, 2.632789, 8.070000, G
0.772478, 0.511807, 0.049356, 2.632789, 7.960000, G
0.772478, 0.481400, 0.045732, 2.632789, 7.990000, G
0.772478, 0.468612, 0.048378, 2.632789, 8.070000, G
0.772478, 0.437016, 0.043157, 2.632789, 7.930000, G
0.772478, 0.408800, 0.041600, 2.632789, 8.060000, G
0.772478, 0.397906, 0.039427, 2.632789, 7.990000, G
0.772478, 0.363454, 0.036174, 2.632789, 7.840000, G
0.772478, 0.334713, 0.033507, 2.632789, 7.930000, G
0.772478, 0.325021, 0.035516, 2.632789, 8.090000, G
0.772478, 0.316180, 0.033442, 2.632789, 8.030000, G
0.772478, 0.292259, 0.026912, 2.632789, 8.120000, G
0.772478, 0.273752, 0.026693, 2.632789, 8.100000, G
0.772478, 0.261438, 0.025502, 2.632789, 8.010000, G
0.772478, 0.256288, 0.027684, 2.632789, 7.980000, G
0.772478, 0.234594, 0.024225, 2.632789, 7.930000, G
0.772478, 0.213152, 0.020977, 2.632789, 8.120000, G
0.772478, 0.201858, 0.022072, 2.632789, 8.090000, G
0.772478, 0.192785, 0.023327, 2.632789, 7.940000, G
0.772478, 0.178877, 0.020481, 2.632789, 8.020000, G
0.772478, 0.173700, 0.020345, 2.632789, 8.010000, G
0.772478, 0.165033, 0.017203, 2.632789, 8.130000, G
0.772478, 0.160457, 0.015777, 2.632789, 7.970000, G
0.772478, 0.143710, 0.012989, 2.632789, 8.090000, G
0.772478, 0.129151, 0.012071, 2.632789, 7.990000, G
0.772478, 0.117785, 0.013760, 2.632789, 8.070000, G
0.772478, 0.112383, 0.014292, 2.632789, 7.970000, G
0.772478, 0.110798, 0.014576, 2.632789, 7.900000, G
0.772478, 0.112163, 0.013032, 2.632789, 8.130000, G
0.772478, 0.106389, 0.010452, 2.632789, 8.040000, G
0.772478, 0.100401, 0.009761, 2.632789, 8.140000, G
0.772478, 0.093419, 0.008949, 2.632789, 8.130000, G
0.772478, 0.083977, 0.007887, 2.632789, 8.130000, G
0.772478, 0.077015, 0.008056, 2.632789, 8.130000, G
0.772478, 0.072483, 0.008394, 2.632789, 8.170000, G
0.772478, 0.074434, 0.009521, 2.632789, 8.180000, G
0.772478, 0.068908, 0.007413, 2.632789, 8.200000, G
0.772478, 0.068514, 0.006905, 2.632789, 8.030000, G
0.772478, 0.066038, 0.006432, 2.632789, 8.070000, G
0.772478, 0.059731, 0.005112, 2.632789, 8.130000, G
0.772478, 0.054924, 0.004807, 2.632789, 8.070000, G
0.772478, 0.052522, 0.005210, 2.632789, 8.030000, G
0.772478, 0.050768, 0.005203, 2.632789, 8.150000, G
0.772478, 0.050665, 0.004820, 2.632789, 8.130000, G
0.772478, 0.045815, 0.003834, 2.632789, 8.170000, G
0.772478, 0.041906, 0.003614, 2.632789, 8.150000, G
0.772478, 0.038783, 0.003704, 2.632789, 8.240000, G
0.772478, 0.037702, 0.003740, 2.632789, 8.150000, G
0.772478, 0.039363, 0.003976, 2.632789, 8.070000, G
0.772478, 0.035547, 0.002895, 2.632789, 8.110000, G
0.772478, 0.031946, 0.002665, 2.632789, 8.010000, G
0.772478, 0.029491, 0.002856, 2.632789, 8.220000, G
0.772478, 0.027905, 0.003131, 2.632789, 8.120000, G
0.772478, 0.027608, 0.003115, 2.632789, 8.100000, G
0.772478, 0.026891, 0.002978, 2.632789, 8.100000, G
0.772478, 0.025332, 0.002539, 2.632789, 8.130000, G
0.772478, 0.024422, 0.002332, 2.632789, 8.340000, G
0.772478, 0.023258, 0.002246, 2.632789, 8.210000, G
0.772478, 0.022077, 0.002115, 2.632789, 8.180000, G
0.772478, 0.021000, 0.002077, 2.632789, 8.100000, G
0.772478, 0.020171, 0.002134, 2.632789, 8.070000, G
0.772478, 0.018658, 0.001817, 2.632789, 8.150000, G
0.772478, 0.018017, 0.001891, 2.632789, 8.050000, G
0.772478, 0.017075, 0.001842, 2.632789, 8.010000, G
0.772478, 0.015982, 0.001600, 2.632789, 8.020000, G
0.772478, 0.015457, 0.001597, 2.632789, 8.070000, G
0.772478, 0.014919, 0.001557, 2.632789, 8.130000, G
0.772478, 0.013835, 0.001308, 2.632789, 8.020000, G
0.772478, 0.012790, 0.001379, 2.632789, 8.060000, G
0.772478, 0.012097, 0.001259, 2.632789, 8.080000, G
0.772478, 0.011739, 0.001196, 2.632789, 8.150000, G
0.772478, 0.011162, 0.001083, 2.632789, 8.140000, G
0.772478, 0.010368, 0.000998, 2.632789, 8.030000, G
0.772478, 0.010022, 0.000927, 2.632789, 7.930000, G
0.772478, 0.009348, 0.000859, 2.632789, 7.950000, G
0.772478, 0.008714, 0.000793, 2.632789, 8.060000, G
0.772478, 0.008219, 0.000670, 2.632789, 8.000000, G
0.772478, 0.007860, 0.000665, 2.632789, 8.040000, G
0.772478, 0.007438, 0.000708, 2.632789, 8.090000, G
0.772478, 0.007277, 0.000741, 2.632789, 8.010000, G
0.772478, 0.006726, 0.000650, 2.632789, 8.030000, G
0.772478, 0.006152, 0.000631, 2.632789, 8.110000, G
0.772478, 0.005676, 0.000649, 2.632789, 8.040000, G
0.772478, 0.005542, 0.000653, 2.632789, 8.010000, G
0.772478, 0.005148, 0.000605, 2.632789, 8.100000, G
0.772478, 0.004857, 0.000570, 2.632789, 8.100000, G
0.772478, 0.004610, 0.000525, 2.632789, 8.300000, G
0.772478, 0.004555, 0.000521, 2.632789, 8.270000, G
0.772478, 0.004356, 0.000432, 2.632789, 8.100000, G
0.772478, 0.004087, 0.000383, 2.632789, 8.050000, G
0.772478, 0.003769, 0.000349, 2.632789, 8.020000, G
0.772478, 0.003693, 0.000382, 2.632789, 8.050000, G
0.772478, 0.003504, 0.000327, 2.632789, 8.110000, G
0.772478, 0.003330, 0.000309, 2.632789, 8.090000, G
0.772478, 0.003077, 0.000292, 2.632789, 8.060000, G
0.772478, 0.002833, 0.000278, 2.632789, 8.030000, G
0.772478, 0.002636, 0.000257, 2.632789, 8.090000, G
0.772478, 0.002523, 0.000261, 2.632789, 8.100000, G
0.772478, 0.002478, 0.000270, 2.632789, 8.020000, G
0.772478, 0.002377, 0.000245, 2.632789, 7.920000, G
0.772478, 0.002240, 0.000220, 2.632789, 8.130000, G
0.772478, 0.002164, 0.000241, 2.632789, 8.050000, G
0.772478, 0.002090, 0.000225, 2.632789, 8.010000, G
0.772478, 0.001929, 0.000186, 2.632789, 8.130000, G
0.772478, 0.001780, 0.000179, 2.632789, 8.160000, G
0.772478, 0.001650, 0.000172, 2.632789, 8.000000, G
0.772478, 0.001544, 0.000172, 2.632789, 7.970000, G
0.772478, 0.001458, 0.000176, 2.632789, 8.100000, G
0.772478, 0.001372, 0.000164, 2.632789, 8.170000, G
0.772478, 0.001350, 0.000158, 2.632789, 8.060000, G
0.772478, 0.001321, 0.000135, 2.632789, 8.070000, G
