amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.516535, 3.360386, 1.194785, 4.087576, 9.440000, H
0.516535, 3.113658, 0.912597, 4.087576, 9.130000, H
0.516535, 2.978939, 0.635494, 4.087576, 8.930000, H
0.516535, 3.013301, 0.507888, 4.087576, 8.890000, H
0.516535, 3.146225, 0.445181, 4.087576, 8.790000, H
0.516535, 3.165866, 0.360420, 4.087576, 8.630000, H
0.516535, 2.968898, 0.271640, 4.087576, 8.590000, H
0.516535, 3.038575, 0.311250, 4.087576, 8.480000, H
0.516535, 2.846720, 0.248564, 4.087576, 8.460000, H
0.516535, 2.764746, 0.232160, 4.087576, 8.420000, H
0.516535, 2.536658, 0.205467, 4.087576, 8.300000, H
0.516535, 2.466414, 0.233496, 4.087576, 8.260000, H
0.516535, 2.345283, 0.222867, 4.087576, 8.150000, H
0.516535, 2.279673, 0.211768, 4.087576, 8.250000, H
0.516535, 2.275932, 0.204029, 4.087576, 8.090000, H
0.516535, 2.069369, 0.156800, 4.087576, 8.270000, H
0.516535, 1.952794, 0.154519, 4.087576, 8.420000, H
0.516535, 1.980973, 0.189425, 4.087576, 8.240000, H
0.516535, 1.894282, 0.170110, 4.087576, 8.120000, H
0.516535, 1.744650, 0.140495, 4.087576, 8.110000, H
0.516535, 1.607224, 0.136299, 4.087576, 8.080000, H
0.516535, 1.603547, 0.160808, 4.087576, 7.970000, H
0.516535, 1.500195, 0.129293, 4.087576, 7.960000, H
0.516535, 1.378339, 0.109968, 4.087576, 8.010000, H
0.516535, 1.297161, 0.112766, 4.087576, 8.090000, H
0.516535, 1.291083, 0.116894, 4.087576, 8.010000, H
0.516535, 1.202001, 0.090106, 4.087576, 7.940000, H
0.516535, 1.128784, 0.090421, 4.087576, 8.050000, H
0.516535, 1.082501, 0.097393, 4.087576, 8.020000, H
0.516535, 0.988220, 0.087153, 4.087576, 8.070000, H
0.516535, 0.901234, 0.081668, 4.087576, 7.990000, H
0.516535, 0.844037, 0.083980, 4.087576, 7.980000, H
0.516535, 0.849220, 0.100284, 4.087576, 8.020000, H
0.516535, 0.799869, 0.082281, 4.087576, 8.000000, H
0.516535, 0.716846, 0.067208, 4.087576, 8.040000, H
0.516535, 0.673135, 0.066154, 4.087576, 8.070000, H
0.516535, 0.656679, 0.064810, 4.087576, 7.920000, H
0.516535, 0.628933, 0.063176, 4.087576, 7.970000, H
0.516535, 0.582725, 0.053871, 4.087576, 8.110000, H
0.516535, 0.552775, 0.050804, 4.087576, 8.070000, H
0.516535, 0.542037, 0.050285, 4.087576, 7.960000, H
0.516535, 0.498804, 0.044419, 4.087576, 7.990000, H
