amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.387918, 3.132255, 0.892219, 2.978407, 9.440000, A
1.044679, 2.983970, 0.886667, 1.912332, 9.440000, B
1.464701, 3.270297, 0.897731, 2.021896, 9.440000, C
1.168551, 3.349515, 1.032655, 2.585320, 9.440000, D
1.127113, 3.252097, 0.971745, 2.509260, 9.440000, E
0.671035, 3.195708, 0.932462, 4.986297, 9.440000, F
0.772478, 3.124401, 0.914875, 2.632789, 9.440000, G
0.516535, 3.360386, 1.194785, 4.087576, 9.440000, H
0.637623, 3.081738, 0.863255, 4.042147, 9.440000, I
2.501958, 3.099143, 0.845765, 2.240037, 9.440000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 2
0.387918, 3.193293, 0.708908, 2.978407, 9.130000, A
1.044679, 3.028379, 0.733949, 1.912332, 9.130000, B
1.464701, 3.170745, 0.677662, 2.021896, 9.130000, C
1.168551, 3.296701, 0.748089, 2.585320, 9.130000, D
1.127113, 3.238122, 0.759274, 2.509260, 9.130000, E
0.671035, 3.495785, 0.815394, 4.986297, 9.130000, F
0.772478, 3.341869, 0.794639, 2.632789, 9.130000, G
0.516535, 3.113658, 0.912597, 4.087576, 9.130000, H
0.637623, 3.504427, 0.801817, 4.042147, 9.130000, I
2.501958, 3.163841, 0.694426, 2.240037, 9.130000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 3
0.387918, 3.229005, 0.608209, 2.978407, 8.930000, A
1.044679, 2.996809, 0.566046, 1.912332, 8.930000, B
1.464701, 3.122765, 0.541745, 2.021896, 8.930000, C
1.168551, 3.220516, 0.546032, 2.585320, 8.930000, D
1.127113, 3.234811, 0.576719, 2.509260, 8.930000, E
0.671035, 3.609883, 0.659682, 4.986297, 8.930000, F
0.772478, 3.237107, 0.572783, 2.632789, 8.930000, G
0.516535, 2.978939, 0.635494, 4.087576, 8.930000, H
0.637623, 3.471897, 0.605655, 4.042147, 8.930000, I
2.501958, 3.230312, 0.547295, 2.240037, 8.930000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 4
0.387918, 3.301755, 0.512017, 2.978407, 8.890000, A
1.044679, 2.936496, 0.411016, 1.912332, 8.890000, B
1.464701, 3.242961, 0.516738, 2.021896, 8.890000, C
1.168551, 3.295557, 0.414095, 2.585320, 8.890000, D
1.127113, 3.179535, 0.421212, 2.509260, 8.890000, E
0.671035, 3.401041, 0.501869, 4.986297, 8.890000, F
0.772478, 3.173459, 0.436835, 2.632789, 8.890000, G
0.516535, 3.013301, 0.507888, 4.087576, 8.890000, H
0.637623, 3.262133, 0.435832, 4.042147, 8.890000, I
2.501958, 3.201066, 0.422884, 2.240037, 8.890000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 5
0.387918, 3.106580, 0.370847, 2.978407, 8.790000, A
1.044679, 3.056993, 0.384856, 1.912332, 8.790000, B
1.464701, 3.130794, 0.372944, 2.021896, 8.790000, C
1.168551, 3.257221, 0.361333, 2.585320, 8.790000, D
1.127113, 3.035869, 0.340392, 2.509260, 8.790000, E
0.671035, 3.197981, 0.407582, 4.986297, 8.790000, F
0.772478, 3.106903, 0.337112, 2.632789, 8.790000, G
0.516535, 3.146225, 0.445181, 4.087576, 8.790000, H
0.637623, 3.338486, 0.358557, 4.042147, 8.790000, I
2.501958, 3.141645, 0.373086, 2.240037, 8.790000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 6
0.387918, 3.015486, 0.344797, 2.978407, 8.630000, A
1.044679, 3.042094, 0.316013, 1.912332, 8.630000, B
1.464701, 3.111774, 0.342151, 2.021896, 8.630000, C
1.168551, 3.076489, 0.307892, 2.585320, 8.630000, D
1.127113, 2.993521, 0.308104, 2.509260, 8.630000, E
0.671035, 3.157334, 0.328450, 4.986297, 8.630000, F
0.772478, 3.050443, 0.311093, 2.632789, 8.630000, G
0.516535, 3.165866, 0.360420, 4.087576, 8.630000, H
0.637623, 3.126590, 0.307786, 4.042147, 8.630000, I
2.501958, 2.925780, 0.297280, 2.240037, 8.630000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 7
0.387918, 2.938744, 0.308503, 2.978407, 8.590000, A
1.044679, 2.947759, 0.279515, 1.912332, 8.590000, B
1.464701, 2.945397, 0.298978, 2.021896, 8.590000, C
1.168551, 2.873375, 0.265848, 2.585320, 8.590000, D
1.127113, 2.994211, 0.310088, 2.509260, 8.590000, E
0.671035, 3.155202, 0.284121, 4.986297, 8.590000, F
0.772478, 3.112993, 0.273153, 2.632789, 8.590000, G
0.516535, 2.968898, 0.271640, 4.087576, 8.590000, H
0.637623, 3.007142, 0.261258, 4.042147, 8.590000, I
2.501958, 2.797797, 0.275434, 2.240037, 8.590000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 8
0.387918, 2.917041, 0.281923, 2.978407, 8.480000, A
1.044679, 2.794944, 0.269493, 1.912332, 8.480000, B
1.464701, 2.763054, 0.263161, 2.021896, 8.480000, C
1.168551, 2.779591, 0.248393, 2.585320, 8.480000, D
1.127113, 2.795026, 0.252157, 2.509260, 8.480000, E
0.671035, 2.879891, 0.210245, 4.986297, 8.480000, F
0.772478, 2.925906, 0.258510, 2.632789, 8.480000, G
0.516535, 3.038575, 0.311250, 4.087576, 8.480000, H
0.637623, 3.028172, 0.272881, 4.042147, 8.480000, I
2.501958, 2.854810, 0.280421, 2.240037, 8.480000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 9
