amtProduced_need, avg_price, sd, char
0.942267, 2.560387, 0.401193, A
0.942267, 2.040960, 0.293370, A
0.942267, 1.608301, 0.247575, A
0.942267, 1.227025, 0.204894, A
0.942267, 0.938346, 0.161405, A
0.942267, 0.741600, 0.133183, A
0.942267, 0.581978, 0.090417, A
0.942267, 0.422183, 0.071049, A
0.942267, 0.309543, 0.050861, A
0.942267, 0.234356, 0.037293, A
0.942267, 0.187363, 0.029574, A
0.942267, 0.146578, 0.028256, A
0.942267, 0.108611, 0.017298, A
0.942267, 0.081594, 0.012326, A
0.942267, 0.060405, 0.008097, A
