amtProduced_need, avg_price, sd, char
1.210579, 2.200310, 0.535719, B
1.210579, 1.600201, 0.307958, B
1.210579, 1.188738, 0.220055, B
1.210579, 0.868904, 0.157906, B
1.210579, 0.625886, 0.109648, B
1.210579, 0.449959, 0.081430, B
1.210579, 0.327941, 0.071163, B
1.210579, 0.236933, 0.042591, B
1.210579, 0.178353, 0.032378, B
1.210579, 0.131340, 0.024597, B
1.210579, 0.097479, 0.016186, B
1.210579, 0.071331, 0.011419, B
1.210579, 0.051151, 0.008274, B
1.210579, 0.037288, 0.006333, B
1.210579, 0.027305, 0.004467, B
