amtProduced_need, avg_price, sd, char
0.574486, 3.815158, 0.938951, C
0.574486, 4.708218, 0.827136, C
0.574486, 5.900968, 1.587785, C
0.574486, 7.665939, 2.068446, C
0.574486, 8.850822, 2.046818, C
0.574486, 10.781752, 2.217879, C
0.574486, 12.219934, 2.105318, C
0.574486, 13.756359, 2.418868, C
0.574486, 16.223395, 3.617530, C
0.574486, 18.590208, 3.105089, C
0.574486, 22.208949, 4.278229, C
0.574486, 23.635663, 4.567411, C
0.574486, 30.580070, 5.910794, C
0.574486, 37.516398, 7.397105, C
0.574486, 47.087515, 8.340432, C
