amtProduced_need, avg_price, sd, char
1.491019, 2.014043, 0.516408, D
1.491019, 1.324217, 0.314899, D
1.491019, 0.895803, 0.199035, D
1.491019, 0.607510, 0.122324, D
1.491019, 0.420129, 0.088586, D
1.491019, 0.285563, 0.061026, D
1.491019, 0.195526, 0.038724, D
1.491019, 0.133327, 0.025564, D
1.491019, 0.091313, 0.017537, D
1.491019, 0.063826, 0.011598, D
1.491019, 0.042367, 0.007963, D
1.491019, 0.028852, 0.005610, D
1.491019, 0.019485, 0.003585, D
1.491019, 0.013099, 0.002660, D
1.491019, 0.008859, 0.001842, D
