amtProduced_need, avg_price, sd, char
0.547703, 3.917828, 0.872300, E
0.547703, 4.619761, 0.711832, E
0.547703, 5.212463, 0.875309, E
0.547703, 6.063357, 0.921866, E
0.547703, 7.269574, 1.110793, E
0.547703, 8.077552, 0.892104, E
0.547703, 9.235306, 1.635049, E
0.547703, 11.323110, 2.030231, E
0.547703, 13.014377, 2.345525, E
0.547703, 15.961301, 2.857673, E
0.547703, 18.201234, 2.831167, E
0.547703, 20.212080, 3.016835, E
0.547703, 23.214207, 3.585234, E
0.547703, 25.752995, 4.095819, E
0.547703, 30.253161, 4.303430, E
