amtProduced_need, avg_price, sd, char
0.757111, 2.912797, 0.523107, F
0.757111, 2.888427, 0.353188, F
0.757111, 2.934124, 0.318448, F
0.757111, 2.891694, 0.258765, F
0.757111, 2.842068, 0.267522, F
0.757111, 2.948330, 0.390326, F
0.757111, 2.823443, 0.253718, F
0.757111, 2.791625, 0.233290, F
0.757111, 2.726792, 0.244457, F
0.757111, 2.704897, 0.270311, F
0.757111, 2.727674, 0.323200, F
0.757111, 2.746531, 0.291520, F
0.757111, 2.675008, 0.245297, F
0.757111, 2.646082, 0.249254, F
0.757111, 2.630459, 0.292691, F
