amtProduced_need, avg_price, sd, char
0.868986, 2.823638, 0.519953, G
0.868986, 2.413302, 0.326438, G
0.868986, 2.031164, 0.310128, G
0.868986, 1.618801, 0.223845, G
0.868986, 1.426385, 0.287935, G
0.868986, 1.222281, 0.261161, G
0.868986, 1.047143, 0.201986, G
0.868986, 0.950515, 0.143810, G
0.868986, 0.784457, 0.118117, G
0.868986, 0.688173, 0.154005, G
0.868986, 0.586290, 0.147507, G
0.868986, 0.462844, 0.105561, G
0.868986, 0.402112, 0.094381, G
0.868986, 0.352666, 0.086551, G
0.868986, 0.305760, 0.075292, G
