amtProduced_need, avg_price, sd, char
0.822893, 2.740424, 0.397981, H
0.822893, 2.415307, 0.259260, H
0.822893, 2.126664, 0.281500, H
0.822893, 1.836069, 0.220536, H
0.822893, 1.571704, 0.131846, H
0.822893, 1.284890, 0.112610, H
0.822893, 1.084948, 0.129082, H
0.822893, 0.921594, 0.104339, H
0.822893, 0.757220, 0.084799, H
0.822893, 0.662115, 0.063483, H
0.822893, 0.585736, 0.092542, H
0.822893, 0.483686, 0.049379, H
0.822893, 0.425565, 0.045027, H
0.822893, 0.359066, 0.039406, H
0.822893, 0.306741, 0.041028, H
