amtProduced_need, avg_price, sd, char
1.026569, 2.175945, 0.555966, I
1.026569, 1.611434, 0.316908, I
1.026569, 1.188094, 0.238918, I
1.026569, 0.855457, 0.141662, I
1.026569, 0.643932, 0.120705, I
1.026569, 0.465588, 0.086331, I
1.026569, 0.334129, 0.057516, I
1.026569, 0.245390, 0.038198, I
1.026569, 0.183581, 0.025275, I
1.026569, 0.133952, 0.017711, I
1.026569, 0.099062, 0.018271, I
1.026569, 0.075045, 0.014907, I
1.026569, 0.054977, 0.010210, I
1.026569, 0.040868, 0.007053, I
1.026569, 0.030174, 0.004885, I
