amtProduced_need, avg_price, sd, char
0.866561, 2.927618, 0.689325, J
0.866561, 2.406514, 0.397476, J
0.866561, 1.907424, 0.297309, J
0.866561, 1.643060, 0.275331, J
0.866561, 1.319558, 0.195378, J
0.866561, 1.081363, 0.188656, J
0.866561, 0.901420, 0.124671, J
0.866561, 0.714238, 0.111062, J
0.866561, 0.630774, 0.114926, J
0.866561, 0.543899, 0.099332, J
0.866561, 0.461858, 0.066777, J
0.866561, 0.392918, 0.065280, J
0.866561, 0.333613, 0.071283, J
0.866561, 0.293320, 0.055072, J
0.866561, 0.232816, 0.039627, J
