amount produced/need, avg price, sd, char
 year: 1
0.942267, 2.560387, 0.401193, A
1.210579, 2.200310, 0.535719, B
0.574486, 3.815158, 0.938951, C
1.491019, 2.014043, 0.516408, D
0.547703, 3.917828, 0.872300, E
0.757111, 2.912797, 0.523107, F
0.868986, 2.823638, 0.519953, G
0.822893, 2.740424, 0.397981, H
1.026569, 2.175945, 0.555966, I
0.866561, 2.927618, 0.689325, J
amount produced/need, avg price, sd, char
 year: 2
0.942267, 2.040960, 0.293370, A
1.210579, 1.600201, 0.307958, B
0.574486, 4.708218, 0.827136, C
1.491019, 1.324217, 0.314899, D
0.547703, 4.619761, 0.711832, E
0.757111, 2.888427, 0.353188, F
0.868986, 2.413302, 0.326438, G
0.822893, 2.415307, 0.259260, H
1.026569, 1.611434, 0.316908, I
0.866561, 2.406514, 0.397476, J
amount produced/need, avg price, sd, char
 year: 3
0.942267, 1.608301, 0.247575, A
1.210579, 1.188738, 0.220055, B
0.574486, 5.900968, 1.587785, C
1.491019, 0.895803, 0.199035, D
0.547703, 5.212463, 0.875309, E
0.757111, 2.934124, 0.318448, F
0.868986, 2.031164, 0.310128, G
0.822893, 2.126664, 0.281500, H
1.026569, 1.188094, 0.238918, I
0.866561, 1.907424, 0.297309, J
amount produced/need, avg price, sd, char
 year: 4
0.942267, 1.227025, 0.204894, A
1.210579, 0.868904, 0.157906, B
0.574486, 7.665939, 2.068446, C
1.491019, 0.607510, 0.122324, D
0.547703, 6.063357, 0.921866, E
0.757111, 2.891694, 0.258765, F
0.868986, 1.618801, 0.223845, G
0.822893, 1.836069, 0.220536, H
1.026569, 0.855457, 0.141662, I
0.866561, 1.643060, 0.275331, J
amount produced/need, avg price, sd, char
 year: 5
0.942267, 0.938346, 0.161405, A
1.210579, 0.625886, 0.109648, B
0.574486, 8.850822, 2.046818, C
1.491019, 0.420129, 0.088586, D
0.547703, 7.269574, 1.110793, E
0.757111, 2.842068, 0.267522, F
0.868986, 1.426385, 0.287935, G
0.822893, 1.571704, 0.131846, H
1.026569, 0.643932, 0.120705, I
0.866561, 1.319558, 0.195378, J
amount produced/need, avg price, sd, char
 year: 6
0.942267, 0.741600, 0.133183, A
1.210579, 0.449959, 0.081430, B
0.574486, 10.781752, 2.217879, C
1.491019, 0.285563, 0.061026, D
0.547703, 8.077552, 0.892104, E
0.757111, 2.948330, 0.390326, F
0.868986, 1.222281, 0.261161, G
0.822893, 1.284890, 0.112610, H
1.026569, 0.465588, 0.086331, I
0.866561, 1.081363, 0.188656, J
amount produced/need, avg price, sd, char
 year: 7
0.942267, 0.581978, 0.090417, A
1.210579, 0.327941, 0.071163, B
0.574486, 12.219934, 2.105318, C
1.491019, 0.195526, 0.038724, D
0.547703, 9.235306, 1.635049, E
0.757111, 2.823443, 0.253718, F
0.868986, 1.047143, 0.201986, G
0.822893, 1.084948, 0.129082, H
1.026569, 0.334129, 0.057516, I
0.866561, 0.901420, 0.124671, J
amount produced/need, avg price, sd, char
 year: 8
0.942267, 0.422183, 0.071049, A
1.210579, 0.236933, 0.042591, B
0.574486, 13.756359, 2.418868, C
1.491019, 0.133327, 0.025564, D
0.547703, 11.323110, 2.030231, E
0.757111, 2.791625, 0.233290, F
0.868986, 0.950515, 0.143810, G
0.822893, 0.921594, 0.104339, H
1.026569, 0.245390, 0.038198, I
0.866561, 0.714238, 0.111062, J
amount produced/need, avg price, sd, char
 year: 9
0.942267, 0.309543, 0.050861, A
1.210579, 0.178353, 0.032378, B
0.574486, 16.223395, 3.617530, C
1.491019, 0.091313, 0.017537, D
0.547703, 13.014377, 2.345525, E
0.757111, 2.726792, 0.244457, F
0.868986, 0.784457, 0.118117, G
0.822893, 0.757220, 0.084799, H
1.026569, 0.183581, 0.025275, I
0.866561, 0.630774, 0.114926, J
amount produced/need, avg price, sd, char
 year: 10
0.942267, 0.234356, 0.037293, A
1.210579, 0.131340, 0.024597, B
0.574486, 18.590208, 3.105089, C
1.491019, 0.063826, 0.011598, D
0.547703, 15.961301, 2.857673, E
0.757111, 2.704897, 0.270311, F
0.868986, 0.688173, 0.154005, G
0.822893, 0.662115, 0.063483, H
1.026569, 0.133952, 0.017711, I
0.866561, 0.543899, 0.099332, J
amount produced/need, avg price, sd, char
 year: 11
0.942267, 0.187363, 0.029574, A
1.210579, 0.097479, 0.016186, B
0.574486, 22.208949, 4.278229, C
1.491019, 0.042367, 0.007963, D
0.547703, 18.201234, 2.831167, E
0.757111, 2.727674, 0.323200, F
0.868986, 0.586290, 0.147507, G
0.822893, 0.585736, 0.092542, H
1.026569, 0.099062, 0.018271, I
0.866561, 0.461858, 0.066777, J
amount produced/need, avg price, sd, char
 year: 12
0.942267, 0.146578, 0.028256, A
1.210579, 0.071331, 0.011419, B
0.574486, 23.635663, 4.567411, C
1.491019, 0.028852, 0.005610, D
0.547703, 20.212080, 3.016835, E
0.757111, 2.746531, 0.291520, F
0.868986, 0.462844, 0.105561, G
0.822893, 0.483686, 0.049379, H
1.026569, 0.075045, 0.014907, I
0.866561, 0.392918, 0.065280, J
amount produced/need, avg price, sd, char
 year: 13
0.942267, 0.108611, 0.017298, A
1.210579, 0.051151, 0.008274, B
0.574486, 30.580070, 5.910794, C
1.491019, 0.019485, 0.003585, D
0.547703, 23.214207, 3.585234, E
0.757111, 2.675008, 0.245297, F
0.868986, 0.402112, 0.094381, G
0.822893, 0.425565, 0.045027, H
1.026569, 0.054977, 0.010210, I
0.866561, 0.333613, 0.071283, J
amount produced/need, avg price, sd, char
 year: 14
0.942267, 0.081594, 0.012326, A
1.210579, 0.037288, 0.006333, B
0.574486, 37.516398, 7.397105, C
1.491019, 0.013099, 0.002660, D
0.547703, 25.752995, 4.095819, E
0.757111, 2.646082, 0.249254, F
0.868986, 0.352666, 0.086551, G
0.822893, 0.359066, 0.039406, H
1.026569, 0.040868, 0.007053, I
0.866561, 0.293320, 0.055072, J
amount produced/need, avg price, sd, char
 year: 15
0.942267, 0.060405, 0.008097, A
1.210579, 0.027305, 0.004467, B
0.574486, 47.087515, 8.340432, C
1.491019, 0.008859, 0.001842, D
0.547703, 30.253161, 4.303430, E
0.757111, 2.630459, 0.292691, F
0.868986, 0.305760, 0.075292, G
0.822893, 0.306741, 0.041028, H
1.026569, 0.030174, 0.004885, I
0.866561, 0.232816, 0.039627, J
