amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.387918, 3.071836, 0.794411, 2.978407, 9.500000, A
0.387918, 3.033678, 0.511894, 2.978407, 9.260000, A
0.387918, 3.167522, 0.426751, 2.978407, 9.160000, A
0.387918, 3.035120, 0.325839, 2.978407, 9.180000, A
0.387918, 2.979367, 0.272119, 2.978407, 8.940000, A
0.387918, 3.132272, 0.309801, 2.978407, 8.900000, A
0.387918, 2.682584, 0.232421, 2.978407, 8.690000, A
0.387918, 2.361738, 0.217569, 2.978407, 8.670000, A
0.387918, 2.269924, 0.230912, 2.978407, 8.570000, A
0.387918, 2.781375, 0.342603, 2.978407, 8.380000, A
0.387918, 2.320893, 0.221182, 2.978407, 8.130000, A
0.387918, 1.945778, 0.173224, 2.978407, 7.960000, A
0.387918, 1.711183, 0.161156, 2.978407, 7.950000, A
0.387918, 1.650329, 0.176976, 2.978407, 8.330000, A
0.387918, 1.713034, 0.181957, 2.978407, 8.130000, A
0.387918, 1.481714, 0.135338, 2.978407, 8.000000, A
0.387918, 1.325140, 0.121637, 2.978407, 7.850000, A
0.387918, 1.287057, 0.145201, 2.978407, 7.970000, A
0.387918, 1.146189, 0.111996, 2.978407, 8.090000, A
0.387918, 0.984214, 0.087836, 2.978407, 8.080000, A
0.387918, 0.866217, 0.088202, 2.978407, 8.030000, A
0.387918, 0.797022, 0.098153, 2.978407, 8.120000, A
0.387918, 0.850360, 0.112213, 2.978407, 7.920000, A
0.387918, 0.731702, 0.083414, 2.978407, 7.840000, A
0.387918, 0.636262, 0.070752, 2.978407, 7.780000, A
0.387918, 0.549431, 0.063016, 2.978407, 7.820000, A
0.387918, 0.518995, 0.059973, 2.978407, 7.850000, A
0.387918, 0.466073, 0.051508, 2.978407, 7.780000, A
0.387918, 0.483906, 0.064566, 2.978407, 7.780000, A
0.387918, 0.411459, 0.047259, 2.978407, 7.690000, A
0.387918, 0.342598, 0.034593, 2.978407, 7.790000, A
0.387918, 0.294656, 0.029095, 2.978407, 7.810000, A
0.387918, 0.270275, 0.032700, 2.978407, 7.690000, A
0.387918, 0.278179, 0.034157, 2.978407, 7.850000, A
0.387918, 0.239248, 0.024861, 2.978407, 7.880000, A
0.387918, 0.199647, 0.020899, 2.978407, 7.870000, A
