amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.044679, 2.917978, 0.797121, 1.912332, 9.500000, B
1.044679, 2.876819, 0.557429, 1.912332, 9.260000, B
1.044679, 2.949261, 0.478511, 1.912332, 9.160000, B
1.044679, 3.020931, 0.431488, 1.912332, 9.180000, B
1.044679, 2.864076, 0.301978, 1.912332, 8.940000, B
1.044679, 2.873269, 0.316132, 1.912332, 8.900000, B
1.044679, 2.588322, 0.236220, 1.912332, 8.690000, B
1.044679, 2.566851, 0.287968, 1.912332, 8.670000, B
1.044679, 2.481903, 0.292369, 1.912332, 8.570000, B
1.044679, 2.441680, 0.300486, 1.912332, 8.380000, B
1.044679, 2.243273, 0.254180, 1.912332, 8.130000, B
1.044679, 2.188187, 0.237980, 1.912332, 7.960000, B
1.044679, 2.102289, 0.222104, 1.912332, 7.950000, B
1.044679, 1.760088, 0.173624, 1.912332, 8.330000, B
1.044679, 1.467807, 0.153962, 1.912332, 8.130000, B
1.044679, 1.240018, 0.165815, 1.912332, 8.000000, B
1.044679, 1.053449, 0.157453, 1.912332, 7.850000, B
1.044679, 0.932686, 0.146445, 1.912332, 7.970000, B
1.044679, 0.858000, 0.123377, 1.912332, 8.090000, B
1.044679, 0.919760, 0.137519, 1.912332, 8.080000, B
1.044679, 0.930149, 0.127062, 1.912332, 8.030000, B
1.044679, 0.856463, 0.109219, 1.912332, 8.120000, B
1.044679, 0.783187, 0.080966, 1.912332, 7.920000, B
1.044679, 0.698392, 0.073387, 1.912332, 7.840000, B
1.044679, 0.634134, 0.066287, 1.912332, 7.780000, B
1.044679, 0.609273, 0.070219, 1.912332, 7.820000, B
1.044679, 0.550883, 0.058265, 1.912332, 7.850000, B
1.044679, 0.472160, 0.051448, 1.912332, 7.780000, B
1.044679, 0.408173, 0.049670, 1.912332, 7.780000, B
1.044679, 0.352456, 0.047272, 1.912332, 7.690000, B
1.044679, 0.323700, 0.048319, 1.912332, 7.790000, B
1.044679, 0.303263, 0.040743, 1.912332, 7.810000, B
1.044679, 0.281786, 0.040349, 1.912332, 7.690000, B
1.044679, 0.268676, 0.035305, 1.912332, 7.850000, B
1.044679, 0.227449, 0.027648, 1.912332, 7.880000, B
1.044679, 0.195963, 0.024015, 1.912332, 7.870000, B
1.044679, 0.169607, 0.021300, 1.912332, 7.720000, B
1.044679, 0.155139, 0.019625, 1.912332, 7.490000, B
1.044679, 0.157590, 0.019538, 1.912332, 7.620000, B
1.044679, 0.132696, 0.014969, 1.912332, 7.730000, B
1.044679, 0.110481, 0.012052, 1.912332, 7.740000, B
1.044679, 0.093976, 0.011617, 1.912332, 7.620000, B
1.044679, 0.081477, 0.011038, 1.912332, 7.630000, B
1.044679, 0.074255, 0.010283, 1.912332, 7.620000, B
1.044679, 0.071415, 0.010238, 1.912332, 7.710000, B
1.044679, 0.080625, 0.010448, 1.912332, 8.040000, B
1.044679, 0.063591, 0.007413, 1.912332, 7.950000, B
1.044679, 0.050801, 0.005723, 1.912332, 7.740000, B
1.044679, 0.040762, 0.005278, 1.912332, 7.560000, B
1.044679, 0.033058, 0.004784, 1.912332, 7.610000, B
1.044679, 0.026992, 0.004588, 1.912332, 7.600000, B
1.044679, 0.022271, 0.004292, 1.912332, 7.440000, B
1.044679, 0.018637, 0.003770, 1.912332, 7.370000, B
1.044679, 0.015979, 0.003239, 1.912332, 7.420000, B
1.044679, 0.014139, 0.002863, 1.912332, 7.540000, B
1.044679, 0.013891, 0.002264, 1.912332, 7.740000, B
1.044679, 0.016892, 0.002782, 1.912332, 7.810000, B
1.044679, 0.022252, 0.003764, 1.912332, 7.650000, B
1.044679, 0.019186, 0.002352, 1.912332, 7.500000, B
1.044679, 0.016902, 0.002014, 1.912332, 7.320000, B
1.044679, 0.014761, 0.001662, 1.912332, 7.210000, B
1.044679, 0.013556, 0.001622, 1.912332, 7.400000, B
1.044679, 0.012453, 0.001452, 1.912332, 7.250000, B
1.044679, 0.011356, 0.001403, 1.912332, 7.290000, B
1.044679, 0.010574, 0.001325, 1.912332, 7.120000, B
1.044679, 0.009245, 0.001076, 1.912332, 7.360000, B
1.044679, 0.007929, 0.000951, 1.912332, 7.280000, B
1.044679, 0.006828, 0.000830, 1.912332, 7.130000, B
1.044679, 0.005956, 0.000788, 1.912332, 7.070000, B
1.044679, 0.005382, 0.000779, 1.912332, 7.140000, B
1.044679, 0.005011, 0.000707, 1.912332, 7.170000, B
1.044679, 0.004513, 0.000545, 1.912332, 7.570000, B
1.044679, 0.003728, 0.000420, 1.912332, 7.610000, B
1.044679, 0.003106, 0.000368, 1.912332, 7.320000, B
1.044679, 0.002576, 0.000362, 1.912332, 7.220000, B
1.044679, 0.002200, 0.000341, 1.912332, 7.370000, B
1.044679, 0.001935, 0.000307, 1.912332, 7.350000, B
1.044679, 0.001780, 0.000299, 1.912332, 7.080000, B
1.044679, 0.001735, 0.000253, 1.912332, 7.120000, B
1.044679, 0.001823, 0.000226, 1.912332, 7.300000, B
1.044679, 0.001460, 0.000156, 1.912332, 7.330000, B
1.044679, 0.001166, 0.000122, 1.912332, 7.220000, B
1.044679, 0.000935, 0.000111, 1.912332, 7.350000, B
1.044679, 0.000754, 0.000102, 1.912332, 7.100000, B
1.044679, 0.000617, 0.000095, 1.912332, 7.020000, B
1.044679, 0.000505, 0.000092, 1.912332, 7.100000, B
1.044679, 0.000421, 0.000079, 1.912332, 7.330000, B
1.044679, 0.000374, 0.000070, 1.912332, 7.190000, B
1.044679, 0.000350, 0.000064, 1.912332, 7.220000, B
1.044679, 0.000354, 0.000055, 1.912332, 7.570000, B
1.044679, 0.000401, 0.000065, 1.912332, 7.460000, B
1.044679, 0.000370, 0.000048, 1.912332, 7.360000, B
1.044679, 0.000344, 0.000038, 1.912332, 7.210000, B
1.044679, 0.000323, 0.000036, 1.912332, 7.150000, B
1.044679, 0.000280, 0.000027, 1.912332, 7.320000, B
1.044679, 0.000248, 0.000024, 1.912332, 7.320000, B
1.044679, 0.000206, 0.000022, 1.912332, 7.380000, B
1.044679, 0.000173, 0.000020, 1.912332, 7.410000, B
1.044679, 0.000147, 0.000019, 1.912332, 7.500000, B
1.044679, 0.000126, 0.000017, 1.912332, 7.520000, B
