amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.464701, 3.204481, 0.722275, 2.021896, 9.500000, C
1.464701, 3.112664, 0.517268, 2.021896, 9.260000, C
1.464701, 2.893997, 0.367814, 2.021896, 9.160000, C
1.464701, 2.955301, 0.361678, 2.021896, 9.180000, C
1.464701, 3.066840, 0.327858, 2.021896, 8.940000, C
1.464701, 2.742570, 0.254982, 2.021896, 8.900000, C
1.464701, 2.546331, 0.253951, 2.021896, 8.690000, C
1.464701, 2.484081, 0.253156, 2.021896, 8.670000, C
1.464701, 2.494133, 0.256668, 2.021896, 8.570000, C
1.464701, 2.443363, 0.260471, 2.021896, 8.380000, C
1.464701, 2.432705, 0.244071, 2.021896, 8.130000, C
1.464701, 2.143922, 0.209122, 2.021896, 7.960000, C
1.464701, 1.984463, 0.231015, 2.021896, 7.950000, C
1.464701, 1.789571, 0.195599, 2.021896, 8.330000, C
1.464701, 1.598414, 0.156990, 2.021896, 8.130000, C
1.464701, 1.412502, 0.152087, 2.021896, 8.000000, C
1.464701, 1.343856, 0.167397, 2.021896, 7.850000, C
1.464701, 1.301430, 0.165644, 2.021896, 7.970000, C
1.464701, 1.114374, 0.123458, 2.021896, 8.090000, C
1.464701, 0.962566, 0.096766, 2.021896, 8.080000, C
1.464701, 0.838683, 0.087213, 2.021896, 8.030000, C
1.464701, 0.746203, 0.090894, 2.021896, 8.120000, C
1.464701, 0.735821, 0.086496, 2.021896, 7.920000, C
1.464701, 0.737150, 0.102640, 2.021896, 7.840000, C
1.464701, 0.645369, 0.079784, 2.021896, 7.780000, C
1.464701, 0.585184, 0.068508, 2.021896, 7.820000, C
1.464701, 0.525524, 0.061330, 2.021896, 7.850000, C
1.464701, 0.457838, 0.055038, 2.021896, 7.780000, C
1.464701, 0.412413, 0.049614, 2.021896, 7.780000, C
1.464701, 0.381355, 0.043949, 2.021896, 7.690000, C
1.464701, 0.371081, 0.035330, 2.021896, 7.790000, C
1.464701, 0.331593, 0.029767, 2.021896, 7.810000, C
1.464701, 0.283967, 0.028120, 2.021896, 7.690000, C
1.464701, 0.251751, 0.026166, 2.021896, 7.850000, C
1.464701, 0.226451, 0.028620, 2.021896, 7.880000, C
1.464701, 0.201944, 0.027396, 2.021896, 7.870000, C
1.464701, 0.194175, 0.027042, 2.021896, 7.720000, C
1.464701, 0.185140, 0.025342, 2.021896, 7.490000, C
1.464701, 0.151207, 0.019247, 2.021896, 7.620000, C
1.464701, 0.122552, 0.015905, 2.021896, 7.730000, C
1.464701, 0.099915, 0.014577, 2.021896, 7.740000, C
1.464701, 0.082003, 0.013486, 2.021896, 7.620000, C
1.464701, 0.069315, 0.012159, 2.021896, 7.630000, C
1.464701, 0.060598, 0.010809, 2.021896, 7.620000, C
1.464701, 0.055638, 0.009363, 2.021896, 7.710000, C
1.464701, 0.055829, 0.010027, 2.021896, 8.040000, C
1.464701, 0.061148, 0.009737, 2.021896, 7.950000, C
1.464701, 0.066227, 0.008928, 2.021896, 7.740000, C
1.464701, 0.053917, 0.006642, 2.021896, 7.560000, C
1.464701, 0.043438, 0.005098, 2.021896, 7.610000, C
1.464701, 0.035347, 0.004581, 2.021896, 7.600000, C
1.464701, 0.029065, 0.004474, 2.021896, 7.440000, C
1.464701, 0.024366, 0.004156, 2.021896, 7.370000, C
1.464701, 0.020982, 0.003601, 2.021896, 7.420000, C
1.464701, 0.018410, 0.003304, 2.021896, 7.540000, C
1.464701, 0.016854, 0.002892, 2.021896, 7.740000, C
1.464701, 0.017331, 0.002604, 2.021896, 7.810000, C
1.464701, 0.020338, 0.002723, 2.021896, 7.650000, C
1.464701, 0.022803, 0.002306, 2.021896, 7.500000, C
1.464701, 0.017394, 0.001723, 2.021896, 7.320000, C
1.464701, 0.013276, 0.001392, 2.021896, 7.210000, C
1.464701, 0.010153, 0.001243, 2.021896, 7.400000, C
1.464701, 0.007832, 0.001082, 2.021896, 7.250000, C
1.464701, 0.006049, 0.000925, 2.021896, 7.290000, C
1.464701, 0.004767, 0.000863, 2.021896, 7.120000, C
1.464701, 0.003790, 0.000787, 2.021896, 7.360000, C
1.464701, 0.003075, 0.000683, 2.021896, 7.280000, C
1.464701, 0.002505, 0.000583, 2.021896, 7.130000, C
1.464701, 0.002089, 0.000469, 2.021896, 7.070000, C
1.464701, 0.001875, 0.000391, 2.021896, 7.140000, C
1.464701, 0.001890, 0.000368, 2.021896, 7.170000, C
1.464701, 0.002451, 0.000483, 2.021896, 7.570000, C
1.464701, 0.003304, 0.000648, 2.021896, 7.610000, C
1.464701, 0.004311, 0.000851, 2.021896, 7.320000, C
1.464701, 0.003537, 0.000599, 2.021896, 7.220000, C
1.464701, 0.002872, 0.000417, 2.021896, 7.370000, C
1.464701, 0.002334, 0.000331, 2.021896, 7.350000, C
1.464701, 0.001898, 0.000268, 2.021896, 7.080000, C
1.464701, 0.001584, 0.000244, 2.021896, 7.120000, C
1.464701, 0.001339, 0.000217, 2.021896, 7.300000, C
1.464701, 0.001168, 0.000187, 2.021896, 7.330000, C
1.464701, 0.001065, 0.000160, 2.021896, 7.220000, C
1.464701, 0.001040, 0.000142, 2.021896, 7.350000, C
1.464701, 0.001060, 0.000137, 2.021896, 7.100000, C
1.464701, 0.000913, 0.000099, 2.021896, 7.020000, C
