amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.168551, 3.298315, 0.848815, 2.585320, 9.500000, D
1.168551, 3.497159, 0.556738, 2.585320, 9.260000, D
1.168551, 3.174515, 0.417169, 2.585320, 9.160000, D
1.168551, 2.793912, 0.301928, 2.585320, 9.180000, D
1.168551, 2.607151, 0.299373, 2.585320, 8.940000, D
1.168551, 2.882808, 0.379845, 2.585320, 8.900000, D
1.168551, 2.818202, 0.321969, 2.585320, 8.690000, D
1.168551, 2.690546, 0.256927, 2.585320, 8.670000, D
1.168551, 2.581052, 0.269083, 2.585320, 8.570000, D
1.168551, 2.473677, 0.264386, 2.585320, 8.380000, D
1.168551, 2.406946, 0.247072, 2.585320, 8.130000, D
1.168551, 2.297391, 0.222512, 2.585320, 7.960000, D
1.168551, 2.079028, 0.195749, 2.585320, 7.950000, D
1.168551, 1.758908, 0.178664, 2.585320, 8.330000, D
1.168551, 1.471316, 0.162140, 2.585320, 8.130000, D
1.168551, 1.239387, 0.156157, 2.585320, 8.000000, D
1.168551, 1.073940, 0.140460, 2.585320, 7.850000, D
1.168551, 0.952606, 0.132380, 2.585320, 7.970000, D
1.168551, 1.007259, 0.146710, 2.585320, 8.090000, D
1.168551, 1.158454, 0.160896, 2.585320, 8.080000, D
1.168551, 0.919972, 0.108412, 2.585320, 8.030000, D
1.168551, 0.739152, 0.084052, 2.585320, 8.120000, D
1.168551, 0.608070, 0.071546, 2.585320, 7.920000, D
1.168551, 0.509806, 0.066436, 2.585320, 7.840000, D
1.168551, 0.430021, 0.059399, 2.585320, 7.780000, D
1.168551, 0.393195, 0.057358, 2.585320, 7.820000, D
1.168551, 0.460055, 0.065598, 2.585320, 7.850000, D
1.168551, 0.542102, 0.076632, 2.585320, 7.780000, D
1.168551, 0.472289, 0.056423, 2.585320, 7.780000, D
1.168551, 0.402476, 0.046946, 2.585320, 7.690000, D
1.168551, 0.335857, 0.040103, 2.585320, 7.790000, D
1.168551, 0.282876, 0.037332, 2.585320, 7.810000, D
1.168551, 0.249737, 0.035176, 2.585320, 7.690000, D
1.168551, 0.238387, 0.031354, 2.585320, 7.850000, D
1.168551, 0.255344, 0.033508, 2.585320, 7.880000, D
1.168551, 0.209507, 0.022514, 2.585320, 7.870000, D
1.168551, 0.169056, 0.018694, 2.585320, 7.720000, D
1.168551, 0.139633, 0.017198, 2.585320, 7.490000, D
1.168551, 0.117343, 0.015854, 2.585320, 7.620000, D
1.168551, 0.103554, 0.014340, 2.585320, 7.730000, D
1.168551, 0.102030, 0.012840, 2.585320, 7.740000, D
1.168551, 0.122742, 0.016862, 2.585320, 7.620000, D
1.168551, 0.101292, 0.011088, 2.585320, 7.630000, D
1.168551, 0.083040, 0.008503, 2.585320, 7.620000, D
1.168551, 0.068227, 0.007596, 2.585320, 7.710000, D
1.168551, 0.058799, 0.007919, 2.585320, 8.040000, D
1.168551, 0.052405, 0.007533, 2.585320, 7.950000, D
1.168551, 0.051114, 0.007384, 2.585320, 7.740000, D
1.168551, 0.058192, 0.008535, 2.585320, 7.560000, D
1.168551, 0.051336, 0.005836, 2.585320, 7.610000, D
1.168551, 0.043262, 0.004668, 2.585320, 7.600000, D
1.168551, 0.036312, 0.004100, 2.585320, 7.440000, D
1.168551, 0.031662, 0.003714, 2.585320, 7.370000, D
1.168551, 0.029058, 0.003654, 2.585320, 7.420000, D
1.168551, 0.028940, 0.003431, 2.585320, 7.540000, D
1.168551, 0.026721, 0.003006, 2.585320, 7.740000, D
1.168551, 0.022900, 0.002452, 2.585320, 7.810000, D
