amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
1.127113, 3.209380, 0.823185, 2.509260, 9.500000, E
1.127113, 3.054498, 0.594052, 2.509260, 9.260000, E
1.127113, 3.151603, 0.542497, 2.509260, 9.160000, E
1.127113, 2.956000, 0.375874, 2.509260, 9.180000, E
1.127113, 2.754121, 0.306968, 2.509260, 8.940000, E
1.127113, 2.587340, 0.271084, 2.509260, 8.900000, E
1.127113, 2.910509, 0.336219, 2.509260, 8.690000, E
1.127113, 2.733722, 0.295551, 2.509260, 8.670000, E
1.127113, 2.438635, 0.217702, 2.509260, 8.570000, E
1.127113, 2.248073, 0.184153, 2.509260, 8.380000, E
1.127113, 2.419331, 0.276915, 2.509260, 8.130000, E
1.127113, 2.255459, 0.254640, 2.509260, 7.960000, E
1.127113, 2.084229, 0.222700, 2.509260, 7.950000, E
1.127113, 1.809649, 0.173585, 2.509260, 8.330000, E
1.127113, 1.535689, 0.149666, 2.509260, 8.130000, E
1.127113, 1.326641, 0.142914, 2.509260, 8.000000, E
1.127113, 1.176372, 0.141990, 2.509260, 7.850000, E
1.127113, 1.109690, 0.130370, 2.509260, 7.970000, E
1.127113, 1.150469, 0.140192, 2.509260, 8.090000, E
1.127113, 1.000991, 0.095776, 2.509260, 8.080000, E
1.127113, 0.877814, 0.084043, 2.509260, 8.030000, E
1.127113, 0.819221, 0.086931, 2.509260, 8.120000, E
1.127113, 0.818500, 0.103079, 2.509260, 7.920000, E
1.127113, 0.781822, 0.087823, 2.509260, 7.840000, E
1.127113, 0.656002, 0.071268, 2.509260, 7.780000, E
1.127113, 0.550913, 0.061699, 2.509260, 7.820000, E
1.127113, 0.473712, 0.054272, 2.509260, 7.850000, E
1.127113, 0.432073, 0.052070, 2.509260, 7.780000, E
1.127113, 0.456734, 0.060501, 2.509260, 7.780000, E
1.127113, 0.419331, 0.053919, 2.509260, 7.690000, E
1.127113, 0.352470, 0.039845, 2.509260, 7.790000, E
1.127113, 0.298898, 0.035563, 2.509260, 7.810000, E
1.127113, 0.260866, 0.034322, 2.509260, 7.690000, E
1.127113, 0.234472, 0.033999, 2.509260, 7.850000, E
1.127113, 0.208927, 0.028529, 2.509260, 7.880000, E
1.127113, 0.196860, 0.022218, 2.509260, 7.870000, E
1.127113, 0.210420, 0.025544, 2.509260, 7.720000, E
1.127113, 0.173648, 0.018350, 2.509260, 7.490000, E
1.127113, 0.146816, 0.014800, 2.509260, 7.620000, E
1.127113, 0.124511, 0.013906, 2.509260, 7.730000, E
1.127113, 0.105482, 0.014038, 2.509260, 7.740000, E
1.127113, 0.090683, 0.012242, 2.509260, 7.620000, E
1.127113, 0.083836, 0.011338, 2.509260, 7.630000, E
1.127113, 0.086200, 0.011009, 2.509260, 7.620000, E
1.127113, 0.077882, 0.008344, 2.509260, 7.710000, E
1.127113, 0.071239, 0.007493, 2.509260, 8.040000, E
1.127113, 0.067680, 0.007066, 2.509260, 7.950000, E
1.127113, 0.058724, 0.005941, 2.509260, 7.740000, E
1.127113, 0.051377, 0.005586, 2.509260, 7.560000, E
1.127113, 0.045785, 0.005501, 2.509260, 7.610000, E
1.127113, 0.047202, 0.006025, 2.509260, 7.600000, E
1.127113, 0.040033, 0.004723, 2.509260, 7.440000, E
1.127113, 0.034384, 0.003927, 2.509260, 7.370000, E
1.127113, 0.029429, 0.003442, 2.509260, 7.420000, E
1.127113, 0.027585, 0.003578, 2.509260, 7.540000, E
1.127113, 0.026104, 0.003251, 2.509260, 7.740000, E
1.127113, 0.023875, 0.002761, 2.509260, 7.810000, E
1.127113, 0.019331, 0.002141, 2.509260, 7.650000, E
1.127113, 0.016090, 0.002032, 2.509260, 7.500000, E
1.127113, 0.013297, 0.001836, 2.509260, 7.320000, E
1.127113, 0.011257, 0.001715, 2.509260, 7.210000, E
1.127113, 0.009972, 0.001548, 2.509260, 7.400000, E
1.127113, 0.010270, 0.001468, 2.509260, 7.250000, E
1.127113, 0.013672, 0.002035, 2.509260, 7.290000, E
1.127113, 0.011161, 0.001396, 2.509260, 7.120000, E
1.127113, 0.009024, 0.001143, 2.509260, 7.360000, E
1.127113, 0.007271, 0.000991, 2.509260, 7.280000, E
1.127113, 0.005931, 0.000908, 2.509260, 7.130000, E
1.127113, 0.004883, 0.000806, 2.509260, 7.070000, E
1.127113, 0.004089, 0.000732, 2.509260, 7.140000, E
1.127113, 0.003480, 0.000636, 2.509260, 7.170000, E
1.127113, 0.003183, 0.000599, 2.509260, 7.570000, E
1.127113, 0.003063, 0.000520, 2.509260, 7.610000, E
1.127113, 0.003151, 0.000483, 2.509260, 7.320000, E
1.127113, 0.003585, 0.000512, 2.509260, 7.220000, E
1.127113, 0.003011, 0.000349, 2.509260, 7.370000, E
1.127113, 0.002453, 0.000251, 2.509260, 7.350000, E
1.127113, 0.002019, 0.000227, 2.509260, 7.080000, E
1.127113, 0.001684, 0.000217, 2.509260, 7.120000, E
1.127113, 0.001430, 0.000200, 2.509260, 7.300000, E
1.127113, 0.001227, 0.000181, 2.509260, 7.330000, E
1.127113, 0.001152, 0.000169, 2.509260, 7.220000, E
1.127113, 0.001179, 0.000184, 2.509260, 7.350000, E
1.127113, 0.001078, 0.000135, 2.509260, 7.100000, E
1.127113, 0.000914, 0.000098, 2.509260, 7.020000, E
1.127113, 0.000776, 0.000090, 2.509260, 7.100000, E
1.127113, 0.000653, 0.000080, 2.509260, 7.330000, E
1.127113, 0.000583, 0.000075, 2.509260, 7.190000, E
1.127113, 0.000532, 0.000065, 2.509260, 7.220000, E
1.127113, 0.000501, 0.000069, 2.509260, 7.570000, E
1.127113, 0.000442, 0.000053, 2.509260, 7.460000, E
1.127113, 0.000382, 0.000045, 2.509260, 7.360000, E
1.127113, 0.000336, 0.000040, 2.509260, 7.210000, E
1.127113, 0.000318, 0.000039, 2.509260, 7.150000, E
1.127113, 0.000276, 0.000031, 2.509260, 7.320000, E
1.127113, 0.000245, 0.000026, 2.509260, 7.320000, E
1.127113, 0.000206, 0.000023, 2.509260, 7.380000, E
1.127113, 0.000181, 0.000021, 2.509260, 7.410000, E
1.127113, 0.000159, 0.000020, 2.509260, 7.500000, E
1.127113, 0.000141, 0.000017, 2.509260, 7.520000, E
