amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.671035, 3.176488, 0.827720, 4.986297, 9.500000, F
0.671035, 3.457357, 0.545132, 4.986297, 9.260000, F
0.671035, 3.110219, 0.374299, 4.986297, 9.160000, F
0.671035, 3.258403, 0.375106, 4.986297, 9.180000, F
0.671035, 2.976604, 0.273764, 4.986297, 8.940000, F
0.671035, 3.152315, 0.371670, 4.986297, 8.900000, F
0.671035, 2.730141, 0.241796, 4.986297, 8.690000, F
0.671035, 2.569735, 0.248493, 4.986297, 8.670000, F
0.671035, 3.181489, 0.373545, 4.986297, 8.570000, F
0.671035, 2.446588, 0.270348, 4.986297, 8.380000, F
0.671035, 1.923877, 0.231447, 4.986297, 8.130000, F
0.671035, 1.511935, 0.205478, 4.986297, 7.960000, F
0.671035, 1.245715, 0.192728, 4.986297, 7.950000, F
0.671035, 1.231942, 0.185022, 4.986297, 8.330000, F
0.671035, 1.661397, 0.257148, 4.986297, 8.130000, F
0.671035, 1.689497, 0.194869, 4.986297, 8.000000, F
0.671035, 1.446146, 0.136108, 4.986297, 7.850000, F
0.671035, 1.302784, 0.128332, 4.986297, 7.970000, F
0.671035, 1.131320, 0.091902, 4.986297, 8.090000, F
0.671035, 1.024998, 0.091864, 4.986297, 8.080000, F
0.671035, 0.958604, 0.099364, 4.986297, 8.030000, F
0.671035, 1.039066, 0.112205, 4.986297, 8.120000, F
0.671035, 0.810381, 0.082414, 4.986297, 7.920000, F
0.671035, 0.637501, 0.068326, 4.986297, 7.840000, F
0.671035, 0.511638, 0.060733, 4.986297, 7.780000, F
0.671035, 0.438667, 0.057641, 4.986297, 7.820000, F
0.671035, 0.454999, 0.061885, 4.986297, 7.850000, F
0.671035, 0.597235, 0.081565, 4.986297, 7.780000, F
0.671035, 0.474935, 0.062610, 4.986297, 7.780000, F
0.671035, 0.377258, 0.049337, 4.986297, 7.690000, F
0.671035, 0.309312, 0.042440, 4.986297, 7.790000, F
0.671035, 0.286383, 0.037674, 4.986297, 7.810000, F
0.671035, 0.324185, 0.041386, 4.986297, 7.690000, F
0.671035, 0.264862, 0.030351, 4.986297, 7.850000, F
0.671035, 0.220529, 0.025791, 4.986297, 7.880000, F
0.671035, 0.190364, 0.024034, 4.986297, 7.870000, F
0.671035, 0.207442, 0.029202, 4.986297, 7.720000, F
0.671035, 0.183974, 0.021473, 4.986297, 7.490000, F
0.671035, 0.154178, 0.014511, 4.986297, 7.620000, F
0.671035, 0.139511, 0.013283, 4.986297, 7.730000, F
0.671035, 0.118873, 0.011638, 4.986297, 7.740000, F
0.671035, 0.108282, 0.011728, 4.986297, 7.620000, F
0.671035, 0.112638, 0.012196, 4.986297, 7.630000, F
0.671035, 0.091353, 0.009249, 4.986297, 7.620000, F
0.671035, 0.074541, 0.008245, 4.986297, 7.710000, F
0.671035, 0.062424, 0.008096, 4.986297, 8.040000, F
0.671035, 0.056199, 0.007265, 4.986297, 7.950000, F
0.671035, 0.060037, 0.008939, 4.986297, 7.740000, F
0.671035, 0.056994, 0.006895, 4.986297, 7.560000, F
0.671035, 0.052038, 0.005207, 4.986297, 7.610000, F
0.671035, 0.044896, 0.003985, 4.986297, 7.600000, F
0.671035, 0.038810, 0.003937, 4.986297, 7.440000, F
0.671035, 0.038047, 0.003936, 4.986297, 7.370000, F
0.671035, 0.034344, 0.002787, 4.986297, 7.420000, F
0.671035, 0.030489, 0.002522, 4.986297, 7.540000, F
0.671035, 0.027416, 0.002498, 4.986297, 7.740000, F
0.671035, 0.023102, 0.002095, 4.986297, 7.810000, F
0.671035, 0.019538, 0.001956, 4.986297, 7.650000, F
0.671035, 0.017954, 0.001892, 4.986297, 7.500000, F
0.671035, 0.020478, 0.002686, 4.986297, 7.320000, F
0.671035, 0.018105, 0.001892, 4.986297, 7.210000, F
0.671035, 0.014339, 0.001638, 4.986297, 7.400000, F
0.671035, 0.011451, 0.001531, 4.986297, 7.250000, F
0.671035, 0.009356, 0.001458, 4.986297, 7.290000, F
0.671035, 0.008149, 0.001302, 4.986297, 7.120000, F
0.671035, 0.008594, 0.001254, 4.986297, 7.360000, F
0.671035, 0.009726, 0.001414, 4.986297, 7.280000, F
0.671035, 0.007514, 0.001138, 4.986297, 7.130000, F
0.671035, 0.005871, 0.000937, 4.986297, 7.070000, F
0.671035, 0.004660, 0.000790, 4.986297, 7.140000, F
0.671035, 0.003902, 0.000656, 4.986297, 7.170000, F
0.671035, 0.003628, 0.000662, 4.986297, 7.570000, F
0.671035, 0.004423, 0.000682, 4.986297, 7.610000, F
0.671035, 0.003595, 0.000454, 4.986297, 7.320000, F
0.671035, 0.003010, 0.000364, 4.986297, 7.220000, F
0.671035, 0.002856, 0.000363, 4.986297, 7.370000, F
0.671035, 0.002888, 0.000324, 4.986297, 7.350000, F
0.671035, 0.002306, 0.000256, 4.986297, 7.080000, F
0.671035, 0.001849, 0.000228, 4.986297, 7.120000, F
0.671035, 0.001504, 0.000199, 4.986297, 7.300000, F
0.671035, 0.001299, 0.000185, 4.986297, 7.330000, F
0.671035, 0.001311, 0.000169, 4.986297, 7.220000, F
0.671035, 0.001284, 0.000129, 4.986297, 7.350000, F
0.671035, 0.001045, 0.000105, 4.986297, 7.100000, F
0.671035, 0.000851, 0.000099, 4.986297, 7.020000, F
