amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.772478, 3.131989, 0.806428, 2.632789, 9.500000, G
0.772478, 3.188672, 0.582878, 2.632789, 9.260000, G
0.772478, 3.039080, 0.439017, 2.632789, 9.160000, G
0.772478, 3.146194, 0.376932, 2.632789, 9.180000, G
0.772478, 2.876582, 0.248381, 2.632789, 8.940000, G
0.772478, 2.734426, 0.298555, 2.632789, 8.900000, G
0.772478, 2.952191, 0.283737, 2.632789, 8.690000, G
0.772478, 2.678182, 0.253070, 2.632789, 8.670000, G
0.772478, 2.424909, 0.270204, 2.632789, 8.570000, G
0.772478, 2.235456, 0.248082, 2.632789, 8.380000, G
0.772478, 2.247324, 0.274971, 2.632789, 8.130000, G
0.772478, 2.455439, 0.291775, 2.632789, 7.960000, G
0.772478, 2.067309, 0.207020, 2.632789, 7.950000, G
0.772478, 1.726137, 0.167812, 2.632789, 8.330000, G
0.772478, 1.433576, 0.148376, 2.632789, 8.130000, G
0.772478, 1.232353, 0.143827, 2.632789, 8.000000, G
0.772478, 1.115137, 0.148523, 2.632789, 7.850000, G
0.772478, 1.113619, 0.149020, 2.632789, 7.970000, G
0.772478, 1.157843, 0.137683, 2.632789, 8.090000, G
0.772478, 1.021687, 0.099223, 2.632789, 8.080000, G
0.772478, 0.901980, 0.086000, 2.632789, 8.030000, G
0.772478, 0.821856, 0.075611, 2.632789, 8.120000, G
0.772478, 0.860118, 0.103071, 2.632789, 7.920000, G
0.772478, 0.733916, 0.073240, 2.632789, 7.840000, G
0.772478, 0.623890, 0.063372, 2.632789, 7.780000, G
0.772478, 0.538345, 0.056065, 2.632789, 7.820000, G
0.772478, 0.478386, 0.062237, 2.632789, 7.850000, G
0.772478, 0.436082, 0.052605, 2.632789, 7.780000, G
0.772478, 0.474800, 0.064402, 2.632789, 7.780000, G
0.772478, 0.430002, 0.042234, 2.632789, 7.690000, G
0.772478, 0.355476, 0.034952, 2.632789, 7.790000, G
0.772478, 0.298130, 0.030320, 2.632789, 7.810000, G
