amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.516535, 3.561766, 1.189312, 4.087576, 9.500000, H
0.516535, 3.048936, 0.766862, 4.087576, 9.260000, H
0.516535, 2.726503, 0.515390, 4.087576, 9.160000, H
0.516535, 2.857068, 0.458563, 4.087576, 9.180000, H
0.516535, 3.350250, 0.474786, 4.087576, 8.940000, H
0.516535, 2.724651, 0.334354, 4.087576, 8.900000, H
0.516535, 2.245019, 0.268922, 4.087576, 8.690000, H
0.516535, 1.926125, 0.231608, 4.087576, 8.670000, H
0.516535, 1.933565, 0.214165, 4.087576, 8.570000, H
0.516535, 2.598366, 0.320663, 4.087576, 8.380000, H
0.516535, 2.395945, 0.236283, 4.087576, 8.130000, H
0.516535, 2.392965, 0.241677, 4.087576, 7.960000, H
0.516535, 2.015473, 0.174652, 4.087576, 7.950000, H
0.516535, 1.780576, 0.160681, 4.087576, 8.330000, H
0.516535, 1.615845, 0.132567, 4.087576, 8.130000, H
0.516535, 1.738448, 0.183599, 4.087576, 8.000000, H
0.516535, 1.421184, 0.125049, 4.087576, 7.850000, H
0.516535, 1.145676, 0.114086, 4.087576, 7.970000, H
0.516535, 0.957100, 0.108014, 4.087576, 8.090000, H
0.516535, 0.908475, 0.111394, 4.087576, 8.080000, H
0.516535, 1.067205, 0.152672, 4.087576, 8.030000, H
0.516535, 0.871742, 0.102394, 4.087576, 8.120000, H
0.516535, 0.738226, 0.079258, 4.087576, 7.920000, H
0.516535, 0.653656, 0.067507, 4.087576, 7.840000, H
0.516535, 0.705900, 0.088170, 4.087576, 7.780000, H
0.516535, 0.664627, 0.070170, 4.087576, 7.820000, H
0.516535, 0.557679, 0.054032, 4.087576, 7.850000, H
0.516535, 0.462620, 0.045955, 4.087576, 7.780000, H
0.516535, 0.394402, 0.044887, 4.087576, 7.780000, H
0.516535, 0.357052, 0.043108, 4.087576, 7.690000, H
0.516535, 0.394581, 0.048996, 4.087576, 7.790000, H
0.516535, 0.321313, 0.034047, 4.087576, 7.810000, H
0.516535, 0.265868, 0.028627, 4.087576, 7.690000, H
0.516535, 0.232668, 0.027501, 4.087576, 7.850000, H
0.516535, 0.224645, 0.025573, 4.087576, 7.880000, H
0.516535, 0.247664, 0.027639, 4.087576, 7.870000, H
0.516535, 0.193740, 0.021516, 4.087576, 7.720000, H
0.516535, 0.155481, 0.017616, 4.087576, 7.490000, H
0.516535, 0.126121, 0.015871, 4.087576, 7.620000, H
0.516535, 0.108558, 0.015123, 4.087576, 7.730000, H
0.516535, 0.108031, 0.014708, 4.087576, 7.740000, H
0.516535, 0.122142, 0.015917, 4.087576, 7.620000, H
0.516535, 0.100697, 0.011318, 4.087576, 7.630000, H
0.516535, 0.084022, 0.010035, 4.087576, 7.620000, H
0.516535, 0.072075, 0.008870, 4.087576, 7.710000, H
0.516535, 0.067106, 0.008471, 4.087576, 8.040000, H
0.516535, 0.072155, 0.008154, 4.087576, 7.950000, H
0.516535, 0.058029, 0.005256, 4.087576, 7.740000, H
0.516535, 0.046931, 0.004170, 4.087576, 7.560000, H
0.516535, 0.039621, 0.004187, 4.087576, 7.610000, H
0.516535, 0.038221, 0.004119, 4.087576, 7.600000, H
0.516535, 0.046217, 0.004819, 4.087576, 7.440000, H
0.516535, 0.036593, 0.003794, 4.087576, 7.370000, H
0.516535, 0.028969, 0.003199, 4.087576, 7.420000, H
0.516535, 0.023827, 0.003058, 4.087576, 7.540000, H
0.516535, 0.020030, 0.002906, 4.087576, 7.740000, H
0.516535, 0.019338, 0.002489, 4.087576, 7.810000, H
0.516535, 0.024090, 0.003431, 4.087576, 7.650000, H
0.516535, 0.019478, 0.002538, 4.087576, 7.500000, H
0.516535, 0.016022, 0.002067, 4.087576, 7.320000, H
0.516535, 0.013409, 0.001821, 4.087576, 7.210000, H
0.516535, 0.012098, 0.001636, 4.087576, 7.400000, H
0.516535, 0.014421, 0.002048, 4.087576, 7.250000, H
0.516535, 0.012288, 0.001362, 4.087576, 7.290000, H
0.516535, 0.010551, 0.001133, 4.087576, 7.120000, H
0.516535, 0.009424, 0.001081, 4.087576, 7.360000, H
0.516535, 0.008008, 0.000980, 4.087576, 7.280000, H
0.516535, 0.006810, 0.000833, 4.087576, 7.130000, H
0.516535, 0.006322, 0.000804, 4.087576, 7.070000, H
0.516535, 0.006989, 0.000981, 4.087576, 7.140000, H
0.516535, 0.005397, 0.000734, 4.087576, 7.170000, H
0.516535, 0.004188, 0.000578, 4.087576, 7.570000, H
0.516535, 0.003280, 0.000463, 4.087576, 7.610000, H
0.516535, 0.002652, 0.000416, 4.087576, 7.320000, H
0.516535, 0.002222, 0.000349, 4.087576, 7.220000, H
0.516535, 0.001957, 0.000296, 4.087576, 7.370000, H
0.516535, 0.001903, 0.000276, 4.087576, 7.350000, H
0.516535, 0.002158, 0.000306, 4.087576, 7.080000, H
0.516535, 0.002095, 0.000218, 4.087576, 7.120000, H
0.516535, 0.001684, 0.000169, 4.087576, 7.300000, H
0.516535, 0.001355, 0.000153, 4.087576, 7.330000, H
0.516535, 0.001125, 0.000141, 4.087576, 7.220000, H
0.516535, 0.000991, 0.000139, 4.087576, 7.350000, H
0.516535, 0.000998, 0.000127, 4.087576, 7.100000, H
0.516535, 0.001043, 0.000146, 4.087576, 7.020000, H
0.516535, 0.000831, 0.000116, 4.087576, 7.100000, H
0.516535, 0.000663, 0.000092, 4.087576, 7.330000, H
0.516535, 0.000533, 0.000077, 4.087576, 7.190000, H
0.516535, 0.000444, 0.000064, 4.087576, 7.220000, H
0.516535, 0.000390, 0.000053, 4.087576, 7.570000, H
0.516535, 0.000402, 0.000056, 4.087576, 7.460000, H
0.516535, 0.000447, 0.000068, 4.087576, 7.360000, H
0.516535, 0.000372, 0.000046, 4.087576, 7.210000, H
0.516535, 0.000308, 0.000034, 4.087576, 7.150000, H
0.516535, 0.000266, 0.000031, 4.087576, 7.320000, H
0.516535, 0.000247, 0.000026, 4.087576, 7.320000, H
0.516535, 0.000213, 0.000023, 4.087576, 7.380000, H
0.516535, 0.000190, 0.000020, 4.087576, 7.410000, H
0.516535, 0.000167, 0.000018, 4.087576, 7.500000, H
0.516535, 0.000140, 0.000015, 4.087576, 7.520000, H
