amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
0.637623, 3.106717, 0.768416, 4.042147, 9.500000, I
0.637623, 3.325418, 0.538848, 4.042147, 9.260000, I
0.637623, 3.118124, 0.346501, 4.042147, 9.160000, I
0.637623, 3.323249, 0.321814, 4.042147, 9.180000, I
0.637623, 2.910731, 0.252530, 4.042147, 8.940000, I
0.637623, 2.614473, 0.237909, 4.042147, 8.900000, I
0.637623, 3.125555, 0.377575, 4.042147, 8.690000, I
0.637623, 2.592796, 0.231644, 4.042147, 8.670000, I
0.637623, 2.185977, 0.191158, 4.042147, 8.570000, I
0.637623, 2.098120, 0.216324, 4.042147, 8.380000, I
0.637623, 2.655914, 0.319912, 4.042147, 8.130000, I
0.637623, 2.165441, 0.218223, 4.042147, 7.960000, I
0.637623, 1.810109, 0.177780, 4.042147, 7.950000, I
0.637623, 1.685953, 0.191638, 4.042147, 8.330000, I
0.637623, 1.670102, 0.175402, 4.042147, 8.130000, I
0.637623, 1.585957, 0.163705, 4.042147, 8.000000, I
0.637623, 1.618646, 0.196629, 4.042147, 7.850000, I
0.637623, 1.252737, 0.139176, 4.042147, 7.970000, I
0.637623, 0.997897, 0.127832, 4.042147, 8.090000, I
0.637623, 0.801457, 0.116666, 4.042147, 8.080000, I
0.637623, 0.646192, 0.103192, 4.042147, 8.030000, I
0.637623, 0.554479, 0.088881, 4.042147, 8.120000, I
0.637623, 0.552031, 0.087271, 4.042147, 7.920000, I
0.637623, 0.684422, 0.107487, 4.042147, 7.840000, I
0.637623, 0.797781, 0.097094, 4.042147, 7.780000, I
0.637623, 0.632812, 0.070255, 4.042147, 7.820000, I
0.637623, 0.502353, 0.060582, 4.042147, 7.850000, I
0.637623, 0.408201, 0.056698, 4.042147, 7.780000, I
0.637623, 0.336987, 0.053434, 4.042147, 7.780000, I
0.637623, 0.295630, 0.044357, 4.042147, 7.690000, I
0.637623, 0.315589, 0.042507, 4.042147, 7.790000, I
0.637623, 0.380252, 0.054026, 4.042147, 7.810000, I
0.637623, 0.298668, 0.039310, 4.042147, 7.690000, I
0.637623, 0.232905, 0.027985, 4.042147, 7.850000, I
0.637623, 0.190909, 0.024429, 4.042147, 7.880000, I
0.637623, 0.160135, 0.021996, 4.042147, 7.870000, I
0.637623, 0.143971, 0.019500, 4.042147, 7.720000, I
0.637623, 0.145565, 0.021916, 4.042147, 7.490000, I
0.637623, 0.152212, 0.019404, 4.042147, 7.620000, I
0.637623, 0.137467, 0.014231, 4.042147, 7.730000, I
0.637623, 0.120382, 0.012146, 4.042147, 7.740000, I
