amtProduced_need, avg_price, sd, consumption_rate, avg_def, char
2.501958, 2.925160, 0.754115, 2.240037, 9.500000, J
2.501958, 2.884432, 0.514797, 2.240037, 9.260000, J
2.501958, 3.182383, 0.483740, 2.240037, 9.160000, J
2.501958, 2.801343, 0.324528, 2.240037, 9.180000, J
2.501958, 2.585042, 0.257370, 2.240037, 8.940000, J
2.501958, 2.531465, 0.277836, 2.240037, 8.900000, J
2.501958, 2.835328, 0.294000, 2.240037, 8.690000, J
2.501958, 2.899903, 0.333629, 2.240037, 8.670000, J
2.501958, 2.382574, 0.233588, 2.240037, 8.570000, J
2.501958, 1.957595, 0.200998, 2.240037, 8.380000, J
2.501958, 1.656518, 0.195329, 2.240037, 8.130000, J
2.501958, 1.435418, 0.195275, 2.240037, 7.960000, J
2.501958, 1.299331, 0.182559, 2.240037, 7.950000, J
2.501958, 1.320901, 0.207144, 2.240037, 8.330000, J
2.501958, 1.743628, 0.276113, 2.240037, 8.130000, J
2.501958, 1.513932, 0.218243, 2.240037, 8.000000, J
2.501958, 1.295346, 0.160276, 2.240037, 7.850000, J
2.501958, 1.150391, 0.142682, 2.240037, 7.970000, J
2.501958, 1.065572, 0.129248, 2.240037, 8.090000, J
2.501958, 0.987233, 0.110761, 2.240037, 8.080000, J
2.501958, 0.994925, 0.108367, 2.240037, 8.030000, J
2.501958, 0.896594, 0.099122, 2.240037, 8.120000, J
2.501958, 0.801310, 0.088751, 2.240037, 7.920000, J
2.501958, 0.734983, 0.074278, 2.240037, 7.840000, J
2.501958, 0.676949, 0.068544, 2.240037, 7.780000, J
2.501958, 0.652333, 0.063738, 2.240037, 7.820000, J
2.501958, 0.555182, 0.055373, 2.240037, 7.850000, J
2.501958, 0.464290, 0.051354, 2.240037, 7.780000, J
2.501958, 0.392758, 0.049250, 2.240037, 7.780000, J
2.501958, 0.333820, 0.047861, 2.240037, 7.690000, J
2.501958, 0.298490, 0.042606, 2.240037, 7.790000, J
2.501958, 0.281019, 0.040866, 2.240037, 7.810000, J
2.501958, 0.292207, 0.046847, 2.240037, 7.690000, J
2.501958, 0.267926, 0.037854, 2.240037, 7.850000, J
2.501958, 0.228428, 0.028286, 2.240037, 7.880000, J
2.501958, 0.197365, 0.023303, 2.240037, 7.870000, J
2.501958, 0.175684, 0.020921, 2.240037, 7.720000, J
2.501958, 0.163225, 0.020845, 2.240037, 7.490000, J
2.501958, 0.149453, 0.017305, 2.240037, 7.620000, J
2.501958, 0.132233, 0.015698, 2.240037, 7.730000, J
2.501958, 0.112832, 0.013297, 2.240037, 7.740000, J
2.501958, 0.095377, 0.011434, 2.240037, 7.620000, J
2.501958, 0.083451, 0.010707, 2.240037, 7.630000, J
2.501958, 0.077227, 0.010361, 2.240037, 7.620000, J
2.501958, 0.076820, 0.009858, 2.240037, 7.710000, J
2.501958, 0.069874, 0.007390, 2.240037, 8.040000, J
2.501958, 0.061793, 0.006010, 2.240037, 7.950000, J
2.501958, 0.055333, 0.005957, 2.240037, 7.740000, J
2.501958, 0.051699, 0.006390, 2.240037, 7.560000, J
2.501958, 0.051783, 0.005582, 2.240037, 7.610000, J
2.501958, 0.045196, 0.004011, 2.240037, 7.600000, J
2.501958, 0.038549, 0.003735, 2.240037, 7.440000, J
2.501958, 0.032912, 0.003336, 2.240037, 7.370000, J
2.501958, 0.029490, 0.003533, 2.240037, 7.420000, J
2.501958, 0.028137, 0.003359, 2.240037, 7.540000, J
2.501958, 0.026243, 0.003199, 2.240037, 7.740000, J
2.501958, 0.023541, 0.002630, 2.240037, 7.810000, J
2.501958, 0.019591, 0.001921, 2.240037, 7.650000, J
2.501958, 0.016289, 0.001955, 2.240037, 7.500000, J
2.501958, 0.013755, 0.001761, 2.240037, 7.320000, J
2.501958, 0.011626, 0.001679, 2.240037, 7.210000, J
2.501958, 0.010354, 0.001641, 2.240037, 7.400000, J
2.501958, 0.010267, 0.001527, 2.240037, 7.250000, J
2.501958, 0.011581, 0.001580, 2.240037, 7.290000, J
2.501958, 0.011039, 0.001441, 2.240037, 7.120000, J
2.501958, 0.009421, 0.001118, 2.240037, 7.360000, J
2.501958, 0.007701, 0.000843, 2.240037, 7.280000, J
2.501958, 0.006382, 0.000715, 2.240037, 7.130000, J
2.501958, 0.005372, 0.000724, 2.240037, 7.070000, J
2.501958, 0.004587, 0.000669, 2.240037, 7.140000, J
2.501958, 0.004040, 0.000627, 2.240037, 7.170000, J
2.501958, 0.003867, 0.000555, 2.240037, 7.570000, J
2.501958, 0.004110, 0.000587, 2.240037, 7.610000, J
2.501958, 0.003559, 0.000420, 2.240037, 7.320000, J
2.501958, 0.003033, 0.000324, 2.240037, 7.220000, J
2.501958, 0.002673, 0.000298, 2.240037, 7.370000, J
2.501958, 0.002462, 0.000289, 2.240037, 7.350000, J
2.501958, 0.002406, 0.000325, 2.240037, 7.080000, J
2.501958, 0.001931, 0.000251, 2.240037, 7.120000, J
2.501958, 0.001574, 0.000220, 2.240037, 7.300000, J
2.501958, 0.001278, 0.000186, 2.240037, 7.330000, J
2.501958, 0.001048, 0.000162, 2.240037, 7.220000, J
2.501958, 0.000877, 0.000139, 2.240037, 7.350000, J
2.501958, 0.000754, 0.000119, 2.240037, 7.100000, J
2.501958, 0.000683, 0.000115, 2.240037, 7.020000, J
2.501958, 0.000657, 0.000099, 2.240037, 7.100000, J
2.501958, 0.000775, 0.000122, 2.240037, 7.330000, J
2.501958, 0.000681, 0.000083, 2.240037, 7.190000, J
2.501958, 0.000580, 0.000069, 2.240037, 7.220000, J
2.501958, 0.000467, 0.000060, 2.240037, 7.570000, J
2.501958, 0.000380, 0.000052, 2.240037, 7.460000, J
2.501958, 0.000311, 0.000048, 2.240037, 7.360000, J
2.501958, 0.000261, 0.000042, 2.240037, 7.210000, J
2.501958, 0.000225, 0.000037, 2.240037, 7.150000, J
2.501958, 0.000204, 0.000033, 2.240037, 7.320000, J
2.501958, 0.000196, 0.000031, 2.240037, 7.320000, J
2.501958, 0.000201, 0.000031, 2.240037, 7.380000, J
2.501958, 0.000185, 0.000024, 2.240037, 7.410000, J
2.501958, 0.000163, 0.000019, 2.240037, 7.500000, J
2.501958, 0.000138, 0.000016, 2.240037, 7.520000, J
