amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 1
0.387918, 3.071836, 0.794411, 2.978407, 9.500000, A
1.044679, 2.917978, 0.797121, 1.912332, 9.500000, B
1.464701, 3.204481, 0.722275, 2.021896, 9.500000, C
1.168551, 3.298315, 0.848815, 2.585320, 9.500000, D
1.127113, 3.209380, 0.823185, 2.509260, 9.500000, E
0.671035, 3.176488, 0.827720, 4.986297, 9.500000, F
0.772478, 3.131989, 0.806428, 2.632789, 9.500000, G
0.516535, 3.561766, 1.189312, 4.087576, 9.500000, H
0.637623, 3.106717, 0.768416, 4.042147, 9.500000, I
2.501958, 2.925160, 0.754115, 2.240037, 9.500000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 2
0.387918, 3.033678, 0.511894, 2.978407, 9.260000, A
1.044679, 2.876819, 0.557429, 1.912332, 9.260000, B
1.464701, 3.112664, 0.517268, 2.021896, 9.260000, C
1.168551, 3.497159, 0.556738, 2.585320, 9.260000, D
1.127113, 3.054498, 0.594052, 2.509260, 9.260000, E
0.671035, 3.457357, 0.545132, 4.986297, 9.260000, F
0.772478, 3.188672, 0.582878, 2.632789, 9.260000, G
0.516535, 3.048936, 0.766862, 4.087576, 9.260000, H
0.637623, 3.325418, 0.538848, 4.042147, 9.260000, I
2.501958, 2.884432, 0.514797, 2.240037, 9.260000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 3
0.387918, 3.167522, 0.426751, 2.978407, 9.160000, A
1.044679, 2.949261, 0.478511, 1.912332, 9.160000, B
1.464701, 2.893997, 0.367814, 2.021896, 9.160000, C
1.168551, 3.174515, 0.417169, 2.585320, 9.160000, D
1.127113, 3.151603, 0.542497, 2.509260, 9.160000, E
0.671035, 3.110219, 0.374299, 4.986297, 9.160000, F
0.772478, 3.039080, 0.439017, 2.632789, 9.160000, G
0.516535, 2.726503, 0.515390, 4.087576, 9.160000, H
0.637623, 3.118124, 0.346501, 4.042147, 9.160000, I
2.501958, 3.182383, 0.483740, 2.240037, 9.160000, J
amount produced/need, avg price, sd, consumption_rate, avg def comm, char
 year: 4
0.387918, 3.035120, 0.325839, 2.978407, 9.180000, A
