amtProduced_need, avg_price, sd, char
0.873396, 2.681798, 0.465779, A
0.873396, 2.187080, 0.247409, A
0.873396, 1.747166, 0.228418, A
0.873396, 1.424669, 0.181234, A
0.873396, 1.129023, 0.163603, A
0.873396, 0.957117, 0.126825, A
0.873396, 0.788038, 0.146243, A
0.873396, 0.641250, 0.084540, A
0.873396, 0.532374, 0.064457, A
0.873396, 0.419352, 0.066402, A
0.873396, 0.342252, 0.052599, A
0.873396, 0.272959, 0.041462, A
0.873396, 0.234019, 0.045589, A
0.873396, 0.196361, 0.032653, A
0.873396, 0.155358, 0.024636, A
